Name,Position,Date of Birth,Age,Nationality,Market Value
Marvin Schwäbe,Goalkeeper,"Apr 25, 1995",28,Germany,€7.00m
Jonas Urbig,Goalkeeper,"Aug 8, 2003",19,Germany,€1.50m
Timo Horn,Goalkeeper,"May 12, 1993",30,Germany,€1.50m
Julian Roloff,Goalkeeper,"Jan 17, 2001",22,Germany,€100k
Matthias Köbbing,Goalkeeper,"May 28, 1997",26,Germany,€100k
Timo Hübers,Centre-Back,"Jul 20, 1996",26,Germany,€8.50m
Jeff Chabot,Centre-Back,"Feb 12, 1998",25,Germany,€5.50m
Luca Kilian,Centre-Back,"Sep 1, 1999",23,Germany,€3.50m
Nikola Soldo,Centre-Back,"Jan 25, 2001",22,Croatia,€1.50m
Elias Bakatukanda,Centre-Back,"Apr 13, 2004",19,Germany,€250k
Rijad Smajic,Centre-Back,"May 2, 2004",19,Bosnia-Herzegovina,€150k
Jonas Hector,Left-Back,"May 27, 1990",33,Germany,€3.50m
Kristian Pedersen,Left-Back,"Aug 4, 1994",28,Denmark,€1.20m
Jan Thielmann,Right-Back,"May 26, 2002",21,Germany,€6.50m
Benno Schmitz,Right-Back,"Nov 17, 1994",28,Germany,€3.00m
Kingsley Ehizibue,Right-Back,"May 25, 1995",28,Netherlands,€2.50m
Kingsley Schindler,Right-Back,"Jul 12, 1993",29,Ghana,€1.00m
Ellyes Skhiri,Defensive Midfield,"May 10, 1995",28,Tunisia,€13.00m
Dejan Ljubicic,Defensive Midfield,"Oct 8, 1997",25,Austria,€10.00m
Eric Martel,Defensive Midfield,"Apr 29, 2002",21,Germany,€9.00m
Georg Strauch,Defensive Midfield,"Mar 30, 2001",22,Germany,€200k
Denis Huseinbasic,Central Midfield,"Jul 3, 2001",21,Bosnia-Herzegovina,€5.00m
Ondrej Duda,Central Midfield,"Dec 5, 1994",28,Slovakia,€3.40m
Mathias Olesen,Central Midfield,"Mar 21, 2001",22,Luxembourg,€1.20m
Florian Kainz,Attacking Midfield,"Oct 24, 1992",30,Austria,€5.00m
Joshua Schwirten,Attacking Midfield,"Jan 7, 2002",21,Germany,€200k
Justin Diehl,Left Winger,"Nov 27, 2004",18,Germany,€500k
Linton Maina,Right Winger,"Jun 23, 1999",24,Germany,€6.00m
Dimitrios Limnios,Right Winger,"May 27, 1998",25,Greece,€2.00m
Steffen Tigges,Centre-Forward,"Jul 31, 1998",24,Germany,€3.50m
Davie Selke,Centre-Forward,"Jan 20, 1995",28,Germany,€2.50m
Mark Uth,Centre-Forward,"Aug 24, 1991",31,Germany,€1.50m
Tim Lemperle,Centre-Forward,"Feb 5, 2002",21,Germany,€1.50m
Sargis Adamyan,Centre-Forward,"May 23, 1993",30,Armenia,€1.00m
Florian Dietz,Centre-Forward,"Aug 3, 1998",24,Germany,€1.00m
Anthony Modeste,Centre-Forward,"Apr 14, 1988",35,France,€700k
Sebastian Andersson,Centre-Forward,"Jul 15, 1991",31,Sweden,€700k
Damion Downs,Centre-Forward,"Jul 6, 2004",18,United States,€250k
Maximilian Schmid,Centre-Forward,"Mar 5, 2003",20,Germany,€200k
