Name,Position,Date of Birth,Age,Nationality,Market Value
Péter Gulácsi,Goalkeeper,"May 6, 1990",33,Hungary,€5.00m
Janis Blaswich,Goalkeeper,"May 2, 1991",32,Germany,€2.50m
Ørjan Nyland,Goalkeeper,"Sep 10, 1990",32,Norway,€600k
Jonas Nickisch,Goalkeeper,"May 21, 2004",19,Germany,€200k
Timo Schlieck,Goalkeeper,"Mar 2, 2006",17,Germany,€200k
Oskar Preil,Goalkeeper,"Sep 14, 2003",19,Germany,€100k
Josko Gvardiol,Centre-Back,"Jan 23, 2002",21,Croatia,€75.00m
Mohamed Simakan,Centre-Back,"May 3, 2000",23,France,€25.00m
Lukas Klostermann,Centre-Back,"Jun 3, 1996",27,Germany,€12.00m
Willi Orbán,Centre-Back,"Nov 3, 1992",30,Hungary,€10.00m
Abdou Diallo,Centre-Back,"May 4, 1996",27,Senegal,€10.00m
Marcel Halstenberg,Centre-Back,"Sep 27, 1991",31,Germany,€3.50m
David Raum,Left-Back,"Apr 22, 1998",25,Germany,€14.00m
Sanoussy Ba,Left-Back,"Jan 5, 2004",19,Germany,€500k
Benjamin Henrichs,Right-Back,"Feb 23, 1997",26,Germany,€15.00m
Hugo Novoa,Right-Back,"Jan 24, 2003",20,Spain,€4.30m
Dominik Szoboszlai,Central Midfield,"Oct 25, 2000",22,Hungary,€50.00m
Konrad Laimer,Central Midfield,"May 27, 1997",26,Austria,€28.00m
Xaver Schlager,Central Midfield,"Sep 28, 1997",25,Austria,€22.00m
Amadou Haidara,Central Midfield,"Jan 31, 1998",25,Mali,€17.00m
Kevin Kampl,Central Midfield,"Oct 9, 1990",32,Slovenia,€3.50m
Christopher Nkunku,Attacking Midfield,"Nov 14, 1997",25,France,€80.00m
Dani Olmo,Attacking Midfield,"May 7, 1998",25,Spain,€40.00m
Emil Forsberg,Attacking Midfield,"Oct 23, 1991",31,Sweden,€7.00m
Caden Clark,Attacking Midfield,"May 27, 2003",20,United States,€2.00m
Timo Werner,Centre-Forward,"Mar 6, 1996",27,Germany,€25.00m
André Silva,Centre-Forward,"Nov 6, 1995",27,Portugal,€15.00m
Alexander Sørloth,Centre-Forward,"Dec 5, 1995",27,Norway,€12.00m
Yussuf Poulsen,Centre-Forward,"Jun 15, 1994",29,Denmark,€7.00m
