Unnamed: 0,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
1,Joshua Kimmich,37,Bayern,28," D(CR),DMC,M(R)  ",32(1),2815,6,2.6,75.5,89.7,2.2,4.8,0.3,7.47,5,4,1,0.8,0.5,4,0.4,1.5,0.0,0.8,0.8,2.4,1.2,0.7,0.0,1.1,1.0,0.2,0
4,Jamal Musiala,37,Bayern,20, M(CL)  ,26(7),2212,10,1.6,30.0,85.4,0.1,0.5,0.1,7.34,12,1,0,2.0,0.4,4,2.3,1.3,0.0,2.1,2.4,1.0,0.6,0.7,0.0,0.1,0.7,0.1,0
13,Kingsley Coman,37,Bayern,27," M(LR),FW  ",16(8),1421,5,1.8,29.9,84.7,0.9,0.8,0.1,7.2,8,0,1,2.0,0.5,4,2.0,0.9,0.2,0.8,2.0,0.5,0.1,0.4,0.0,0.3,0.4,0.0,0
14,Eric Choupo-Moting,37,Bayern,34," M(CLR),FW  ",14(5),1117,2,0.8,15.1,77.6,0.1,0.3,0.1,7.19,10,0,0,1.6,0.9,3,1.1,0.4,0.6,0.8,1.7,0.5,0.0,0.2,0.0,0.3,0.1,0.0,0
15,Benjamin Pavard,37,Bayern,27," D(CLR),M(R)  ",27(3),2432,1,0.6,74.4,89.9,0.4,3.2,0.0,7.17,4,6,0,1.1,2.1,2,0.0,0.6,0.2,0.1,0.4,2.3,1.5,0.9,0.2,2.5,0.4,0.5,0
16,Alphonso Davies,37,Bayern,22," D(L),M(LR)  ",24(2),2049,4,1.7,53.0,87.2,0.3,1.4,0.0,7.14,1,0,0,0.7,0.2,2,2.7,1.0,0.1,1.0,1.9,1.7,0.9,0.3,0.2,0.7,0.8,0.2,0
17,Thomas Müller,37,Bayern,33," M(CLR),FW  ",21(6),1672,8,1.4,28.7,77.4,0.1,0.5,0.1,7.12,7,0,0,1.7,1.4,1,0.3,0.4,0.2,0.7,1.8,0.8,0.1,0.3,0.0,0.5,0.4,0.1,0
21,Serge Gnabry,37,Bayern,27," AM(CLR),FW  ",22(12),1943,5,1.1,23.9,82.3,0.3,0.6,0.0,7.1,14,0,0,2.4,0.3,4,0.8,0.3,0.3,0.8,1.5,1.0,0.3,1.0,0.0,0.1,0.8,0.0,0
23,Leroy Sané,37,Bayern,27," M(CLR),FW  ",20(12),2012,7,1.1,32.8,82.8,0.1,0.8,0.1,7.09,8,4,0,2.4,0.2,1,2.3,0.7,0.2,1.9,1.9,1.2,0.1,0.5,0.0,0.0,0.6,0.0,0
44,Matthijs de Ligt,37,Bayern,23, D(C)  ,27(4),2405,1,0.2,66.9,91.3,0.0,3.2,0.0,6.93,3,4,0,0.7,3.1,0,0.0,0.5,0.1,0.1,0.4,1.0,0.7,0.6,0.6,2.6,0.3,0.6,0
51,Leon Goretzka,37,Bayern,28, M(CR)  ,22(5),1738,2,0.8,36.8,82.8,0.0,1.1,0.1,6.89,3,5,0,1.5,1.7,1,0.3,0.7,0.1,0.4,0.7,1.6,1.1,0.9,0.0,1.1,0.8,0.1,0
57,Noussair Mazraoui,37,Bayern,25, D(LR)  ,11(8),1072,4,1.0,38.9,86.9,0.2,0.5,0.1,6.86,1,0,0,0.4,0.9,0,0.9,0.6,0.2,0.3,0.6,1.5,0.5,0.8,0.2,1.1,0.5,0.1,0
61,Sadio Mané,37,Bayern,31," AM(CLR),FW  ",18(7),1432,5,1.0,15.4,76.4,0.3,0.2,0.0,6.86,7,2,0,2.2,0.9,0,1.0,1.0,0.8,0.6,2.1,0.4,0.0,0.6,0.0,0.1,0.3,0.1,0
98,Dayot Upamecano,37,Bayern,24, D(C)  ,27(2),2348,1,0.2,79.5,90.8,0.0,4.7,0.0,6.71,0,6,1,0.2,1.6,0,0.3,0.5,0.0,0.3,0.7,2.2,0.9,1.0,0.4,2.4,0.6,0.2,0
243,Yann Sommer,37,Bayern,34, GK  ,19,1710,0,0.0,35.1,85.3,0.0,4.3,0.0,6.37,0,1,0,0.0,0.3,0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.6,0.0,0.0,0
245,Mathys Tel,37,Bayern,18, Forward  ,1(21),399,0,0.3,7.0,80.4,0.1,0.0,0.0,6.36,5,2,0,0.9,0.4,0,0.5,0.3,0.2,0.5,1.1,0.1,0.0,0.4,0.0,0.1,0.0,0.0,0
263,Ryan Gravenberch,37,Bayern,21, DMC  ,3(21),561,0,0.3,15.1,89.3,0.0,0.4,0.0,6.29,0,1,0,0.5,0.2,0,0.5,0.3,0.0,0.5,0.9,0.7,0.4,0.4,0.0,0.4,0.3,0.0,0
