Unnamed: 0,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
18,Julian Chabot,282,FC Koln,25, D(C)  ,21,1806,2,0.2,56.1,82.7,0.0,2.2,0.0,7.12,0,3,0,0.7,4.3,2,0.2,1.0,0.1,0.1,0.2,1.7,2.0,1.4,0.5,4.9,0.7,0.9,0
25,Florian Kainz,282,FC Koln,30, AM(CLR)  ,31(1),2372,10,2.2,28.7,72.6,2.3,1.7,0.2,7.06,6,4,1,1.7,0.3,3,1.0,1.3,0.0,1.1,1.2,0.7,1.0,0.9,0.0,0.7,0.6,0.2,0
28,Ellyes Skhiri,282,FC Koln,28, DMC  ,32,2857,1,0.8,52.7,88.4,0.1,2.1,0.0,7.04,7,5,0,1.0,1.3,2,0.8,0.3,0.1,0.6,0.8,2.5,1.8,1.1,0.0,1.3,1.3,0.4,0
37,Jonas Hector,282,FC Koln,33," D(L),M(CL)  ",32,2826,2,1.0,44.7,79.7,0.5,2.0,0.0,6.99,0,3,0,0.8,1.8,1,1.0,2.4,0.0,0.6,1.1,3.5,1.2,0.7,0.3,2.1,1.5,0.3,0
50,Timo Hübers,282,FC Koln,26, D(C)  ,28(1),2558,0,0.1,58.4,82.4,0.0,3.2,0.0,6.89,3,8,0,0.5,3.3,1,0.2,0.8,0.0,0.1,0.3,1.5,2.0,1.1,0.6,5.1,1.0,0.4,1
112,Eric Martel,282,FC Koln,21, DMC  ,23(6),2024,1,0.2,29.8,79.7,0.2,0.8,0.0,6.68,1,6,0,1.0,2.0,0,0.2,0.9,0.0,0.9,1.2,2.3,1.1,1.4,0.0,1.5,1.0,0.3,0
159,Steffen Tigges,282,FC Koln,24, FW  ,17(13),1598,1,0.6,10.9,58.9,0.1,0.2,0.0,6.59,6,1,0,1.2,2.2,2,0.3,0.4,0.3,0.7,1.1,0.4,0.3,0.4,0.0,0.6,0.3,0.1,0
175,Dejan Ljubicic,282,FC Koln,25, M(CR)  ,20(7),1724,1,1.0,20.9,77.1,0.3,1.0,0.1,6.55,5,3,0,1.3,0.3,1,0.7,0.4,0.2,0.6,1.4,0.9,0.3,1.0,0.0,0.2,1.0,0.0,0
199,Linton Maina,282,FC Koln,24," M(CLR),FW  ",27(6),2258,7,1.1,17.6,77.3,0.4,0.2,0.0,6.49,3,1,0,1.1,0.0,1,0.7,0.6,0.5,0.8,1.7,0.5,0.2,0.5,0.0,0.3,0.7,0.0,0
203,Jan Thielmann,282,FC Koln,21," AM(CLR),FW  ",6(17),858,2,0.4,8.6,67.5,0.5,0.2,0.0,6.48,2,5,0,0.6,0.6,1,0.8,0.8,0.4,0.5,1.7,0.4,0.4,0.6,0.0,0.2,0.4,0.1,0
207,Benno Schmitz,282,FC Koln,28, D(CLR)  ,30(1),2431,0,0.6,35.5,63.6,0.7,1.8,0.0,6.46,1,6,0,0.3,1.0,0,0.1,0.6,0.0,0.3,0.8,2.1,0.8,1.0,0.1,1.8,1.3,0.1,2
253,Marvin Schwäbe,282,FC Koln,28, GK  ,34,3060,0,0.0,37.4,76.7,0.0,5.8,0.0,6.33,0,1,0,0.0,0.2,1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0
262,Denis Huseinbasic,282,FC Koln,21, AM(C)  ,7(17),782,1,0.2,11.2,79.5,0.0,0.3,0.0,6.3,4,3,0,0.7,0.3,0,0.3,0.3,0.0,0.8,1.0,1.0,0.2,0.6,0.0,0.2,0.6,0.1,0
264,Kingsley Schindler,282,FC Koln,29," D(R),M(R),FW  ",8(21),1072,1,0.3,13.8,70.8,0.2,0.5,0.0,6.29,0,4,0,0.4,0.8,0,0.3,0.4,0.1,0.5,0.9,0.8,0.5,0.4,0.0,0.8,0.3,0.1,0
271,Sargis Adamyan,282,FC Koln,30," AM(CLR),FW  ",4(20),634,2,0.3,6.6,71.7,0.2,0.2,0.0,6.26,1,3,0,0.9,0.5,0,0.3,0.3,0.2,0.7,1.2,0.6,0.2,0.7,0.0,0.2,0.4,0.0,0
