Unnamed: 0,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
3,Christopher Nkunku,7614,RBL,25," M(CLR),FW  ",20(5),1899,4,1.6,23.8,81.8,0.2,1.2,0.2,7.35,16,4,0,3.0,0.7,8,1.5,1.5,0.5,1.5,1.8,0.2,0.3,0.7,0.0,0.4,0.2,0.1,0
5,Dominik Szoboszlai,7614,RBL,22, AM(CLR)  ,28(3),2453,8,2.3,45.2,83.0,1.5,2.5,0.3,7.32,6,3,2,1.9,0.2,4,1.7,1.3,0.1,1.1,1.8,1.5,0.5,0.8,0.0,0.7,0.8,0.1,0
27,Willi Orbán,7614,RBL,30, D(C)  ,33,2951,0,0.2,79.6,89.1,0.0,4.2,0.0,7.04,4,3,0,0.8,3.4,0,0.2,1.0,0.1,0.2,0.4,1.5,1.2,0.5,0.5,3.9,0.5,0.7,1
45,Dani Olmo,7614,RBL,25," AM(CLR),FW  ",15(8),1285,5,1.7,25.0,77.4,0.1,0.8,0.5,6.92,2,2,0,1.9,0.3,2,1.7,1.7,0.0,1.3,2.0,0.7,0.3,0.7,0.0,0.2,0.3,0.0,0
58,Konrad Laimer,7614,RBL,26," D(R),M(CR)  ",17(4),1474,0,0.8,34.6,80.5,0.1,1.2,0.1,6.86,3,8,0,1.0,0.1,1,1.5,1.0,0.1,1.0,1.7,2.9,0.9,1.4,0.0,0.3,1.1,0.2,0
69,Timo Werner,7614,RBL,27," AM(CLR),FW  ",23(4),1948,3,0.7,23.4,76.6,0.1,0.6,0.1,6.82,9,2,0,2.3,0.2,4,1.0,0.5,0.9,0.8,2.0,0.4,0.3,0.3,0.0,0.1,0.3,0.0,0
87,Benjamin Henrichs,7614,RBL,26," D(LR),DMC,M(LR)  ",23(7),2188,2,0.7,43.4,78.2,0.5,1.6,0.1,6.76,2,8,0,1.0,0.8,0,0.7,0.9,0.1,0.6,1.1,2.4,1.2,1.2,0.0,1.3,0.8,0.1,0
104,Xaver Schlager,7614,RBL,25, M(C)  ,16(6),1505,1,0.4,41.7,83.8,0.0,2.6,0.1,6.69,1,2,0,0.2,0.6,1,0.6,1.1,0.0,0.6,1.0,1.9,0.8,1.2,0.0,1.0,1.0,0.1,0
117,Josko Gvardiol,7614,RBL,21, D(CL)  ,24(6),2171,0,0.4,71.3,89.3,0.1,4.8,0.0,6.67,1,2,0,0.5,1.4,1,0.5,0.4,0.0,0.2,0.3,0.8,1.1,0.7,0.5,2.3,0.4,0.6,1
133,Mohamed Simakan,7614,RBL,23, D(CR)  ,18(6),1461,1,0.5,41.3,81.0,0.2,1.8,0.1,6.65,1,2,0,0.5,1.6,1,0.5,1.0,0.1,0.3,0.9,0.9,0.7,1.0,0.2,2.1,0.3,0.2,0
138,David Raum,7614,RBL,25," D(L),M(LR)  ",19(9),1688,2,1.3,31.2,80.7,1.3,1.1,0.1,6.63,0,5,0,0.5,0.6,0,0.3,0.5,0.1,0.3,0.6,1.4,0.6,0.8,0.0,0.8,0.4,0.2,0
141,André Silva,7614,RBL,27, FW  ,20(11),1741,3,0.8,15.1,73.7,0.0,0.3,0.1,6.63,4,3,0,1.9,0.6,0,0.7,1.4,0.3,1.4,2.1,0.4,0.1,1.0,0.0,0.1,0.2,0.0,0
143,Janis Blaswich,7614,RBL,32, GK  ,26,2340,0,0.0,39.0,84.9,0.0,3.2,0.0,6.63,0,0,0,0.0,0.4,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0
181,Emil Forsberg,7614,RBL,31," AM(CLR),FW  ",16(14),1487,4,0.6,16.5,83.7,0.2,0.4,0.1,6.53,6,2,0,0.8,0.4,0,0.5,0.8,0.2,0.4,0.9,0.5,0.1,0.7,0.0,0.2,0.5,0.1,0
191,Marcel Halstenberg,7614,RBL,31," D(CL),M(L)  ",17(14),1557,1,0.6,31.3,79.3,0.5,1.0,0.0,6.5,1,2,0,0.3,0.8,0,0.3,0.2,0.0,0.2,0.6,1.3,0.7,0.6,0.1,0.8,0.6,0.0,0
205,Amadou Haidara,7614,RBL,25, M(CLR)  ,15(16),1430,1,0.4,26.2,83.6,0.0,1.1,0.1,6.47,2,7,0,0.6,0.8,0,0.3,0.4,0.0,0.4,0.4,0.8,0.8,0.9,0.0,0.6,0.7,0.2,0
224,Yussuf Poulsen,7614,RBL,29," AM(R),FW  ",3(16),400,1,0.4,6.2,55.1,0.1,0.1,0.1,6.41,2,1,0,0.7,1.4,0,0.3,0.5,0.1,0.5,1.4,0.3,0.0,0.5,0.0,0.3,0.2,0.1,0
230,Kevin Kampl,7614,RBL,32, M(CLR)  ,16(14),1371,2,0.4,29.7,88.6,0.0,1.1,0.1,6.41,2,8,0,0.2,0.2,0,0.3,0.2,0.0,0.3,0.6,0.7,0.7,0.7,0.0,0.4,0.7,0.3,0
