Unnamed: 0,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
48,Rodrigo Zalazar,39,Schalke,23, M(CR)  ,15(7),1326,6,1.6,13.9,68.6,1.8,0.7,0.2,6.9,1,4,0,1.7,1.1,3,1.6,1.6,0.2,1.4,2.4,0.7,0.3,1.0,0.0,0.5,0.7,0.0,0
94,Marius Bülter,39,Schalke,30," D(R),M(CLR),FW  ",30(3),2605,1,1.2,18.7,64.2,0.8,0.5,0.1,6.72,11,5,0,2.1,1.3,2,1.0,1.5,0.2,0.8,2.5,0.7,0.3,0.8,0.0,0.5,0.6,0.0,0
122,Tom Krauß,39,Schalke,22, DMC  ,31(1),2531,0,0.3,24.5,73.3,0.1,0.8,0.0,6.66,2,8,0,0.8,0.8,0,0.6,1.0,0.0,1.0,0.8,3.5,1.1,1.4,0.1,1.1,1.5,0.2,0
139,Maya Yoshida,39,Schalke,34, D(CR)  ,28(1),2554,0,0.1,47.9,76.7,0.1,4.1,0.0,6.63,0,4,0,0.4,2.9,0,0.2,0.6,0.0,0.1,0.4,1.2,1.6,0.7,0.5,4.4,0.4,1.0,0
182,Cédric Brunner,39,Schalke,29, D(CR)  ,28,2325,0,0.7,30.1,70.3,0.6,1.8,0.0,6.53,0,5,0,0.4,1.3,0,0.3,1.4,0.0,0.5,0.5,1.4,1.5,1.2,0.1,2.6,0.5,0.3,0
196,Simon Terodde,39,Schalke,35, FW  ,21(11),1825,0,0.7,9.7,67.8,0.0,0.2,0.0,6.49,5,5,0,1.4,2.3,2,0.1,1.1,0.8,0.5,1.3,0.5,0.2,1.2,0.0,0.3,0.3,0.1,0
217,Henning Matriciani,39,Schalke,23, D(CLR)  ,22,1868,0,0.1,32.1,75.2,0.2,1.9,0.0,6.42,0,1,0,0.1,1.5,0,0.3,0.5,0.0,0.5,0.8,2.0,1.0,0.9,0.7,2.2,1.5,0.5,0
226,Dominick Drexler,39,Schalke,33, AM(CLR)  ,16(11),1370,3,0.7,16.1,69.2,0.4,0.6,0.0,6.41,4,3,1,0.6,0.8,1,0.4,0.9,0.1,0.7,0.8,0.9,0.3,1.0,0.0,0.4,0.5,0.1,0
229,Tobias Mohr,39,Schalke,27," D(L),M(CL)  ",8(10),835,3,1.1,18.9,67.4,1.1,2.0,0.1,6.41,0,0,0,0.7,0.5,0,0.2,0.2,0.0,0.4,0.4,0.4,0.4,0.3,0.1,0.9,0.3,0.3,0
240,Alex Král,39,Schalke,25, DMC  ,26(3),2357,0,0.4,28.0,71.2,0.2,1.3,0.0,6.38,0,3,0,1.1,1.7,0,0.8,0.6,0.1,0.7,1.0,1.2,0.6,0.7,0.0,1.8,0.7,0.2,1
247,Alexander Schwolow,39,Schalke,31, GK  ,22(1),2034,0,0.0,33.5,63.3,0.0,9.3,0.0,6.35,0,1,0,0.0,0.2,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0
248,Sebastian Polter,39,Schalke,32," AM(R),FW  ",5(14),619,3,0.5,8.1,54.2,0.1,0.1,0.0,6.35,2,3,0,0.6,2.1,0,0.1,0.6,0.2,0.6,1.4,0.2,0.1,1.2,0.0,0.3,0.2,0.0,0
252,Kenan Karaman,39,Schalke,29," AM(CLR),FW  ",10(11),971,2,0.3,8.8,68.1,0.1,0.1,0.0,6.33,1,2,0,1.0,1.5,0,0.5,1.1,0.3,0.9,1.4,0.5,0.1,0.6,0.0,0.4,0.4,0.0,0
283,Danny Latza,39,Schalke,33, M(C)  ,8(12),845,1,0.2,18.6,81.7,0.3,0.7,0.0,6.16,0,2,0,0.8,0.7,0,0.2,0.6,0.0,0.4,0.4,0.9,0.3,0.7,0.1,0.7,0.6,0.1,0
