Unnamed: 0,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
29,Maximilian Arnold,33,Wolfsburg,29, M(CR)  ,32,2775,3,1.3,45.9,83.2,1.2,5.2,0.2,7.02,5,5,0,1.1,1.0,2,0.3,2.0,0.0,0.7,0.6,1.9,0.8,1.0,0.1,1.9,0.8,0.3,1
34,Paulo Otávio,33,Wolfsburg,28," D(L),M(L)  ",25,2051,5,0.9,36.8,75.2,0.8,1.6,0.1,7.0,0,7,0,0.8,1.1,1,0.9,1.6,0.0,0.3,1.1,2.9,1.2,1.0,0.4,2.5,0.9,0.2,1
36,Patrick Wimmer,33,Wolfsburg,22," AM(R),FW  ",23(3),1665,8,1.4,17.6,65.5,0.7,0.4,0.1,6.99,4,7,0,1.2,0.8,0,1.0,1.2,0.3,1.2,1.9,1.5,0.6,1.6,0.0,0.4,1.0,0.1,0
59,Felix Nmecha,33,Wolfsburg,22, M(C)  ,19(11),1841,5,0.7,23.0,76.7,0.0,1.2,0.1,6.86,3,3,0,1.2,1.5,1,0.9,1.3,0.0,0.4,1.4,1.4,0.8,1.0,0.0,1.0,0.6,0.3,0
84,Koen Casteels,33,Wolfsburg,31, GK  ,34,3060,0,0.0,41.2,74.0,0.0,10.6,0.0,6.78,0,0,0,0.0,0.1,2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0
92,Ridle Baku,33,Wolfsburg,25," D(R),M(CR)  ",29(4),2582,3,0.8,37.6,78.9,0.6,2.0,0.0,6.73,5,6,0,0.8,0.7,1,0.7,1.0,0.1,0.6,1.8,1.5,0.6,0.8,0.2,1.6,0.8,0.2,0
99,Jakub Kaminski,33,Wolfsburg,21, M(LR)  ,25(6),2074,2,0.9,19.0,76.4,0.3,0.6,0.1,6.7,4,0,0,1.3,0.4,1,0.9,0.4,0.1,1.0,1.8,1.2,0.3,0.3,0.1,0.4,0.6,0.1,0
115,Jonas Wind,33,Wolfsburg,24," AM(C),FW  ",15(9),1294,0,0.6,15.3,67.2,0.0,0.0,0.0,6.68,6,1,0,1.3,2.5,2,0.3,0.9,0.0,0.8,1.9,0.6,0.0,0.7,0.0,0.4,0.2,0.2,0
123,Micky van de Ven,33,Wolfsburg,22, D(CL)  ,33,2970,1,0.2,50.5,88.3,0.1,2.0,0.0,6.66,1,5,0,0.5,1.1,1,0.6,0.8,0.0,0.3,0.4,1.4,0.8,0.7,0.8,3.1,0.3,0.7,0
125,Maxence Lacroix,33,Wolfsburg,23, D(C)  ,18(6),1628,0,0.1,45.2,87.3,0.0,3.1,0.0,6.66,1,1,0,0.2,2.1,1,0.3,0.5,0.0,0.3,0.4,0.9,1.1,0.8,0.7,3.4,0.3,0.5,0
140,Mattias Svanberg,33,Wolfsburg,24, M(CLR)  ,21(11),1836,6,0.8,16.4,71.8,0.4,0.6,0.1,6.63,4,4,0,0.9,0.6,1,0.5,0.9,0.1,0.6,1.5,0.8,0.7,0.8,0.0,0.7,0.6,0.2,0
147,Yannick Gerhardt,33,Wolfsburg,29," D(L),M(CL)  ",22(7),1869,4,0.7,22.3,76.0,0.2,0.7,0.0,6.62,6,3,0,0.9,0.8,2,0.1,0.7,0.1,0.3,0.8,1.0,0.2,0.6,0.0,0.8,0.6,0.2,0
156,Sebastiaan Bornauw,33,Wolfsburg,24, D(C)  ,23(3),1930,0,0.0,47.0,86.2,0.0,2.0,0.0,6.6,1,8,0,0.2,2.0,0,0.1,0.3,0.0,0.1,0.2,1.1,1.2,0.9,0.7,3.2,0.2,0.5,0
186,Omar Marmoush,33,Wolfsburg,24," AM(L),FW  ",15(18),1480,1,0.3,13.1,68.5,0.1,0.4,0.0,6.51,5,2,0,1.5,1.3,1,1.2,1.0,0.4,1.3,2.3,0.5,0.2,0.9,0.0,0.1,0.4,0.0,0
200,Josuha Guilavogui,33,Wolfsburg,32," D(C),M(C)  ",11(12),1173,0,0.2,34.7,84.6,0.0,2.0,0.0,6.48,1,4,0,0.3,1.9,0,0.1,0.3,0.1,0.3,0.3,0.8,1.0,1.3,0.3,2.3,0.5,0.6,1
239,Kevin Paredes,33,Wolfsburg,20, M(L)  ,1(21),515,3,0.6,7.9,79.9,0.3,0.3,0.0,6.38,1,2,0,0.2,0.1,0,0.2,0.8,0.1,0.2,0.4,0.6,0.3,0.2,0.0,0.4,0.1,0.0,0
278,Luca Waldschmidt,33,Wolfsburg,27," AM(CLR),FW  ",4(14),515,0,0.1,8.3,77.9,0.0,0.1,0.0,6.21,4,0,0,0.6,0.1,0,0.1,0.2,0.1,0.2,0.7,0.3,0.2,0.8,0.0,0.2,0.4,0.0,0
