,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
2,Harry Kane,30,Tottenham,29,AM,38,3408,3,1.5,22.4,72.0,0.2,1.9,0.3,7.51,30,6,0,3.4,1.7,8,1.1,1.5,0.4,1.5,1.9,0.4,0.1,0.8,0.1,0.5,0.4,0.2,0
4,Gabriel Jesus,13,Arsenal,26,AM,26,2075,6,1.2,25.9,81.5,0.1,0.6,0.1,7.42,11,6,0,3.0,1.7,4,1.7,2.2,0.6,2.5,3.4,1.3,0.4,1.7,0.0,0.5,0.7,0.1,0
8,Jack Grealish,167,Manchester City,27,AM,28,2064,7,1.8,35.3,87.6,0.4,0.8,0.1,7.33,5,4,0,1.5,0.5,3,1.6,2.8,0.1,1.0,1.3,0.9,0.3,1.0,0.0,0.3,0.3,0.1,0
9,Martin Ødegaard,13,Arsenal,24,AM,37,3149,7,2.1,45.6,84.0,0.5,1.5,0.3,7.29,15,4,0,2.5,0.4,7,1.3,0.7,0.0,1.2,1.1,1.0,0.2,0.8,0.0,0.3,0.9,0.1,0
11,Gabriel Martinelli,13,Arsenal,22,AM,36,2806,5,1.6,27.1,82.4,0.5,1.0,0.1,7.25,15,3,0,2.2,0.4,4,1.7,1.0,0.2,1.6,2.3,0.9,0.3,1.1,0.0,0.3,0.4,0.0,0
13,Joelinton,23,Newcastle,26,AM,32,2664,1,0.8,38.4,82.3,0.1,1.1,0.0,7.24,6,12,0,1.6,2.1,3,1.7,1.1,0.0,1.6,2.3,2.2,1.5,2.0,0.1,1.2,1.1,0.2,0
14,James Maddison,14,Leicester,26,AM,30,2486,9,2.3,33.8,79.5,1.2,1.7,0.2,7.24,10,10,0,2.8,0.1,3,1.5,2.6,0.2,1.0,1.5,1.7,0.4,1.0,0.0,0.1,1.0,0.0,0
17,Mohamed Salah,26,Liverpool,31,AM,38,3297,12,1.7,29.5,78.1,0.3,0.6,0.2,7.16,19,2,0,3.3,0.2,3,1.3,0.9,0.6,2.1,2.9,0.6,0.2,0.5,0.0,0.1,0.4,0.0,0
18,Phil Foden,167,Manchester City,23,AM,32,1844,5,1.3,31.3,86.1,0.8,0.8,0.1,7.13,11,1,0,1.4,0.6,3,1.3,0.9,0.2,0.9,1.1,0.5,0.2,0.3,0.0,0.3,0.3,0.1,0
23,Marcus Rashford,32,Manchester United,25,AM,35,2890,5,0.9,22.3,78.7,0.1,0.8,0.1,7.08,17,2,0,3.1,0.6,6,1.5,0.7,0.4,1.3,2.3,0.6,0.2,0.4,0.0,0.4,0.4,0.1,0
25,Cody Gakpo,26,Liverpool,24,AM,21,1465,2,1.1,17.7,78.4,0.0,0.3,0.0,7.06,7,0,0,1.9,1.2,0,1.1,1.6,0.4,1.7,2.0,1.2,0.2,1.2,0.0,0.1,1.2,0.0,0
26,Alexander Isak,23,Newcastle,23,AM,22,1527,1,0.7,16.0,77.8,0.0,0.7,0.1,7.06,10,3,0,2.3,1.0,1,1.5,0.7,0.2,1.1,1.8,0.8,0.2,0.9,0.0,0.4,0.8,0.1,0
30,Eberechi Eze,162,Crystal Palace,24,AM,38,2644,4,1.5,28.5,82.4,0.6,0.9,0.1,7.02,10,3,0,1.9,0.5,4,1.9,1.5,0.1,1.4,1.9,1.1,0.3,0.7,0.0,0.2,0.5,0.0,0
31,Riyad Mahrez,167,Manchester City,32,AM,30,1924,10,1.7,34.4,86.8,0.9,1.2,0.2,7.01,5,2,0,1.4,0.3,2,0.8,1.4,0.2,0.9,1.2,1.0,0.3,0.5,0.0,0.1,0.8,0.0,0
33,Bryan Mbeumo,189,Brentford,23,AM,38,2931,8,1.3,21.3,73.7,1.1,0.8,0.1,7.01,9,5,0,1.9,0.9,4,1.2,0.6,0.2,1.4,1.9,0.7,0.3,0.7,0.0,0.4,0.9,0.0,0
38,Michael Olise,162,Crystal Palace,21,AM,37,2757,11,1.9,31.3,78.4,1.6,1.3,0.1,6.99,2,2,0,1.4,0.5,5,1.5,1.9,0.2,1.3,2.3,1.6,0.7,0.8,0.0,0.4,0.9,0.0,0
39,Willian,170,Fulham,34,AM,27,2144,5,1.9,31.3,82.3,0.5,2.0,0.1,6.99,5,2,0,1.5,0.3,3,1.4,0.9,0.1,0.9,1.6,0.5,0.3,0.4,0.0,0.3,0.7,0.0,0
47,Ollie Watkins,24,Aston Villa,27,AM,37,3136,6,0.8,14.9,69.9,0.1,0.1,0.0,6.96,15,4,0,2.3,1.9,3,0.5,1.1,0.5,1.1,2.2,0.5,0.3,0.7,0.0,1.1,0.5,0.1,0
60,Miguel Almirón,23,Newcastle,29,AM,34,2508,2,0.8,27.4,84.5,0.1,0.4,0.0,6.91,11,2,0,2.0,0.2,2,1.0,1.0,0.3,0.8,1.5,1.4,0.3,0.6,0.0,0.4,0.7,0.1,0
67,Jacob Ramsey,24,Aston Villa,22,AM,35,2647,7,1.2,24.7,83.7,0.1,0.5,0.0,6.86,6,5,0,0.9,0.5,1,0.9,1.3,0.1,1.1,1.8,2.0,0.7,1.0,0.0,0.8,1.1,0.2,1
73,Morgan Gibbs-White,174,Nottingham Forest,23,AM,35,2978,8,1.9,25.6,69.0,1.0,1.1,0.3,6.83,5,5,0,1.7,1.6,5,1.3,0.8,0.2,1.3,2.6,0.7,0.4,0.9,0.0,0.3,0.6,0.1,0
74,Jadon Sancho,32,Manchester United,23,AM,26,1699,3,1.7,28.8,85.0,0.1,0.4,0.1,6.82,6,0,0,0.8,0.1,0,1.3,0.4,0.3,0.8,1.9,0.6,0.3,0.3,0.0,0.2,0.8,0.1,0
75,Antony,32,Manchester United,23,AM,25,1819,2,1.1,31.0,82.2,0.1,0.7,0.0,6.82,4,5,0,2.9,0.2,1,1.2,1.0,0.1,0.5,1.5,0.9,0.4,0.6,0.0,0.1,0.8,0.0,0
78,Wilfried Zaha,162,Crystal Palace,30,AM,27,2295,2,1.0,22.4,81.3,0.2,0.3,0.1,6.82,7,5,0,2.4,0.2,2,2.0,2.9,0.5,3.0,3.5,1.2,0.6,1.3,0.0,0.2,0.5,0.0,0
82,Jarrod Bowen,29,West Ham,26,AM,38,3237,5,1.3,18.8,72.7,0.8,0.6,0.0,6.81,6,2,0,2.0,0.9,3,0.9,1.8,0.3,1.4,1.8,1.0,0.9,0.7,0.1,0.5,1.1,0.2,0
86,Allan Saint-Maximin,23,Newcastle,26,AM,25,1119,5,1.2,16.2,75.1,0.2,0.8,0.0,6.8,1,1,0,1.1,0.1,2,2.3,0.6,0.1,1.2,1.2,0.4,0.2,0.2,0.0,0.0,0.4,0.0,0
87,Jordan Ayew,162,Crystal Palace,31,AM,38,2721,3,0.8,21.6,80.5,0.3,0.2,0.0,6.8,4,5,0,0.8,1.3,1,1.7,2.4,0.1,2.2,2.8,1.7,0.4,1.3,0.1,0.8,0.8,0.1,0
92,Darwin Núñez,26,Liverpool,24,AM,29,1701,3,1.0,12.8,67.1,0.0,0.6,0.0,6.79,9,1,1,2.9,1.2,2,0.6,0.6,0.6,0.9,1.4,0.4,0.1,0.9,0.0,0.4,0.4,0.0,0
102,Dejan Kulusevski,30,Tottenham,23,AM,30,2079,7,1.6,22.5,82.5,0.6,0.3,0.1,6.77,2,2,0,1.4,0.1,1,1.7,0.8,0.1,1.7,2.6,1.3,0.4,1.2,0.0,0.2,0.9,0.0,0
105,Danny Welbeck,211,Brighton,32,AM,31,1859,3,1.0,14.2,84.7,0.0,0.1,0.1,6.76,6,0,0,2.0,1.0,2,0.7,0.6,0.2,0.7,1.9,0.5,0.2,0.8,0.1,0.6,0.2,0.1,0
112,Dango Ouattara,183,Bournemouth,21,AM,19,1246,3,0.9,15.5,65.8,0.5,0.5,0.1,6.74,1,1,0,1.4,1.6,1,1.6,0.8,0.4,0.7,2.1,1.5,0.7,0.3,0.1,1.5,1.0,0.2,0
114,Diogo Jota,26,Liverpool,26,AM,22,1133,4,0.8,17.0,75.9,0.1,0.1,0.0,6.74,7,2,0,1.6,0.8,1,0.6,0.7,0.1,0.9,1.5,1.0,0.1,0.9,0.0,0.4,1.1,0.0,0
