,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
44,David Raya,189,Brentford,27,GK,38,3420,0,0.1,38.8,60.7,0.0,10.8,0.0,6.97,0,1,0,0.0,0.3,3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.0,1
53,Bernd Leno,170,Fulham,31,GK,36,3240,0,0.0,33.5,76.3,0.0,4.4,0.0,6.94,0,3,0,0.0,0.3,3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0
57,Alisson,26,Liverpool,30,GK,37,3330,1,0.0,33.5,83.4,0.0,4.5,0.0,6.92,0,1,0,0.0,0.3,2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0
64,Emiliano Martínez,24,Aston Villa,30,GK,36,3141,0,0.1,34.7,71.6,0.0,6.6,0.0,6.87,0,7,0,0.0,0.4,3,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.8,0.1,0.0,1
83,Kepa Arrizabalaga,15,Chelsea,28,GK,29,2566,0,0.0,30.9,80.7,0.0,4.1,0.0,6.81,0,1,0,0.0,0.4,2,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.1,0.0,0.0,0
103,Neto,183,Bournemouth,33,GK,27,2386,0,0.0,25.8,56.0,0.0,6.4,0.0,6.76,0,4,0,0.0,0.2,2,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0
104,Vicente Guaita,162,Crystal Palace,36,GK,27,2430,0,0.0,26.0,67.5,0.0,5.6,0.0,6.76,0,1,0,0.0,0.4,2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
127,Nick Pope,23,Newcastle,31,GK,37,3262,0,0.1,17.8,58.8,0.0,3.8,0.0,6.7,0,3,1,0.0,0.1,2,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.2,0.1,0.0,0
133,Jordan Pickford,31,Everton,29,GK,37,3330,1,0.1,31.2,51.8,0.0,7.9,0.0,6.69,0,6,0,0.0,0.2,2,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0
139,Lukasz Fabianski,29,West Ham,38,GK,36,3114,0,0.0,21.5,58.1,0.0,5.8,0.0,6.68,0,1,0,0.0,0.5,0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.7,0.0,0.0,0
142,David de Gea,32,Manchester United,32,GK,38,3420,0,0.0,28.5,68.3,0.0,4.9,0.0,6.67,0,0,0,0.0,0.1,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0
161,Aaron Ramsdale,13,Arsenal,25,GK,38,3420,0,0.0,24.6,63.4,0.0,3.6,0.0,6.63,0,1,0,0.0,0.2,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0
176,Hugo Lloris,30,Tottenham,36,GK,25,2206,0,0.0,24.6,73.5,0.0,4.4,0.0,6.59,0,0,0,0.0,0.4,0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.8,0.1,0.0,1
199,José Sá,161,Wolves,30,GK,36,3240,0,0.0,28.1,65.4,0.0,3.7,0.0,6.53,0,2,0,0.0,0.2,2,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0
235,Danny Ward,14,Leicester,30,GK,26,2340,0,0.0,30.2,70.5,0.0,4.6,0.0,6.46,0,0,0,0.0,0.2,1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0
246,Ederson,167,Manchester City,29,GK,35,3150,1,0.0,31.7,84.4,0.0,5.2,0.0,6.44,0,3,0,0.0,0.3,0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.6,0.0,0.0,0
248,Gavin Bazunu,18,Southampton,21,GK,32,2880,0,0.0,32.1,55.9,0.0,7.3,0.0,6.44,0,0,0,0.0,0.4,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0
255,Illan Meslier,19,Leeds,23,GK,34,3060,0,0.0,24.8,56.2,0.0,3.6,0.0,6.42,0,3,0,0.0,0.3,3,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.5,0.1,0.0,0
256,Robert Sánchez,211,Brighton,25,GK,23,2070,0,0.0,29.3,74.7,0.0,3.3,0.0,6.42,0,2,0,0.0,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.6,0.0,0.0,0
