Name,Position,Date of Birth,Age,Nationality,Market Value
Dean Henderson,Goalkeeper,,26,England,€18.00m
David de Gea,Goalkeeper,,32,Spain,€13.00m
Matej Kovar,Goalkeeper,,23,Czech Republic,€1.80m
Martin Dúbravka,Goalkeeper,,34,Slovakia,€1.50m
Jack Butland,Goalkeeper,,30,England,€1.50m
Tom Heaton,Goalkeeper,,37,England,€500k
Nathan Bishop,Goalkeeper,,23,England,€300k
Radek Vitek,Goalkeeper,,19,Czech Republic,€150k
Lisandro Martínez,Centre-Back,,25,Argentina,€50.00m
Raphaël Varane,Centre-Back,,30,France,€35.00m
Harry Maguire,Centre-Back,,30,England,€20.00m
Victor Lindelöf,Centre-Back,,28,Sweden,€18.00m
Axel Tuanzebe,Centre-Back,,25,England,€4.50m
Teden Mengi,Centre-Back,,21,England,€2.00m
Phil Jones,Centre-Back,,31,England,€1.50m
Tyler Fredricson,Centre-Back,,18,England,€250k
Rhys Bennett,Centre-Back,,19,England,-
Luke Shaw,Left-Back,,27,England,€42.00m
Tyrell Malacia,Left-Back,,23,Netherlands,€22.00m
Brandon Williams,Left-Back,,22,England,€7.00m
Álvaro Carreras,Left-Back,,20,Spain,€7.00m
Diogo Dalot,Right-Back,,24,Portugal,€40.00m
Aaron Wan-Bissaka,Right-Back,,25,England,€25.00m
Marc Jurado,Right-Back,,19,Spain,-
Casemiro,Defensive Midfield,,31,Brazil,€40.00m
Scott McTominay,Defensive Midfield,,26,Scotland,€25.00m
James Garner,Defensive Midfield,,22,England,€14.00m
Christian Eriksen,Central Midfield,,31,Denmark,€22.00m
Marcel Sabitzer,Central Midfield,,29,Austria,€20.00m
Fred,Central Midfield,,30,Brazil,€20.00m
Donny van de Beek,Central Midfield,,26,Netherlands,€13.00m
Zidane Iqbal,Central Midfield,,20,Iraq,€1.00m
Kobbie Mainoo,Central Midfield,,18,England,€800k
Bruno Fernandes,Attacking Midfield,,28,Portugal,€75.00m
Hannibal,Attacking Midfield,,20,Tunisia,€8.00m
Shola Shoretire,Attacking Midfield,,19,England,€4.00m
Marcus Rashford,Left Winger,,25,England,€80.00m
Jadon Sancho,Left Winger,,23,England,€45.00m
Alejandro Garnacho,Left Winger,,18,Argentina,€25.00m
Anthony Elanga,Left Winger,,21,Sweden,€18.00m
Antony,Right Winger,,23,Brazil,€60.00m
Amad Diallo,Right Winger,,20,Cote d'Ivoire,€18.00m
Facundo Pellistri,Right Winger,,21,Uruguay,€6.00m
Mason Greenwood,Right Winger,,21,England,-
Cristiano Ronaldo,Centre-Forward,,38,Portugal,€15.00m
Anthony Martial,Centre-Forward,,27,France,€15.00m
Wout Weghorst,Centre-Forward,,30,Netherlands,€12.00m
Charlie McNeill,Centre-Forward,,19,England,€200k
