Name,Position,Date of Birth,Age,Nationality,Market Value
Hugo Lloris,Goalkeeper,,36,France,€3.00m
Fraser Forster,Goalkeeper,,35,England,€1.50m
Alfie Whiteman,Goalkeeper,,24,England,€500k
Brandon Austin,Goalkeeper,,24,England,€300k
Cristian Romero,Centre-Back,,25,Argentina,€60.00m
Eric Dier,Centre-Back,,29,England,€18.00m
Davinson Sánchez,Centre-Back,,27,Colombia,€15.00m
Clément Lenglet,Centre-Back,,28,France,€10.00m
Japhet Tanganga,Centre-Back,,24,England,€7.00m
Ben Davies,Left-Back,,30,Wales,€15.00m
Pedro Porro,Right-Back,,23,Spain,€40.00m
Emerson Royal,Right-Back,,24,Brazil,€20.00m
Djed Spence,Right-Back,,22,England,€10.00m
Matt Doherty,Right-Back,,31,Ireland,€5.00m
Pierre-Emile Højbjerg,Defensive Midfield,,27,Denmark,€45.00m
Oliver Skipp,Defensive Midfield,,22,England,€15.00m
Harvey White,Defensive Midfield,,21,England,€600k
Matthew Craig,Defensive Midfield,,20,Scotland,-
George Abbott,Defensive Midfield,,17,England,-
Rodrigo Bentancur,Central Midfield,,26,Uruguay,€40.00m
Yves Bissouma,Central Midfield,,26,Mali,€18.00m
Pape Matar Sarr,Central Midfield,,20,Senegal,€15.00m
Ryan Sessegnon,Left Midfield,,23,England,€18.00m
Ivan Perisic,Left Midfield,,34,Croatia,€7.00m
Alfie Devine,Attacking Midfield,,18,England,€900k
Heung-min Son,Left Winger,,30,"Korea, South",€50.00m
Arnaut Danjuma,Left Winger,,26,Netherlands,€25.00m
Yago Santiago,Left Winger,,20,Spain,-
Dejan Kulusevski,Right Winger,,23,Sweden,€50.00m
Bryan Gil,Right Winger,,22,Spain,€15.00m
Lucas Moura,Right Winger,,30,Brazil,€6.00m
Romaine Mundle,Right Winger,,20,England,€300k
Harry Kane,Centre-Forward,,29,England,€90.00m
Richarlison,Centre-Forward,,26,Brazil,€48.00m
