,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Antoine Griezmann,63,Atletico Madrid,32,AM,38,2863,16,2.2,38.3,82.4,0.8,1.8,0.2,7.69,15,2,0,2.9,0.7,13,1.2,1.1,0.3,0.9,1.1,1.3,0.6,0.6,0.0,0.8,1.2,0.1,0
3,Vinícius Júnior,52,Real Madrid,22,AM,33,2833,9,1.9,32.1,80.6,0.2,0.9,0.1,7.35,10,10,1,2.3,0.1,4,3.4,3.7,0.7,1.8,3.1,0.9,0.2,1.4,0.0,0.0,0.8,0.0,0
4,Rodrygo,52,Real Madrid,22,AM,34,2382,8,1.4,29.7,89.6,0.2,0.5,0.0,7.26,9,4,0,2.9,0.4,4,2.4,1.4,0.3,0.9,1.9,0.5,0.2,0.5,0.0,0.1,0.6,0.0,0
5,Pedri,65,Barcelona,20,AM,26,1983,1,1.7,54.1,87.6,0.3,4.3,0.4,7.2,6,2,0,0.8,0.1,4,1.4,1.7,0.2,1.2,1.2,1.5,0.5,0.3,0.0,0.3,1.2,0.0,0
8,Ousmane Dembélé,65,Barcelona,26,AM,25,1416,7,1.6,29.4,83.4,0.9,0.9,0.2,7.14,5,4,0,2.0,0.2,3,2.1,0.8,0.2,0.7,1.1,0.8,0.0,0.6,0.0,0.0,0.4,0.0,0
10,Lee Kang-In,51,Mallorca,22,AM,36,2841,6,1.5,24.4,80.3,1.6,0.9,0.1,7.09,6,10,0,1.3,0.6,6,2.5,1.7,0.1,1.2,1.9,1.2,0.3,1.4,0.0,0.1,1.2,0.1,0
15,Isi Palazón,64,Rayo Vallecano,28,AM,37,2990,5,1.8,31.4,78.9,1.5,1.4,0.1,7.05,9,4,0,2.5,0.8,3,1.4,2.8,0.2,1.8,2.1,1.2,0.5,1.0,0.0,0.7,1.1,0.1,0
16,Raphinha,65,Barcelona,26,AM,36,2087,7,1.6,29.0,79.9,1.2,1.7,0.2,7.04,7,8,0,2.2,0.4,6,1.3,1.0,0.4,0.7,1.5,0.8,0.4,0.6,0.0,0.3,0.6,0.0,0
24,Takefusa Kubo,68,Real Sociedad,22,AM,35,2452,4,1.1,22.5,75.9,0.5,0.3,0.0,6.98,9,3,0,2.1,0.5,4,1.4,1.4,0.6,1.2,2.6,1.3,0.3,1.0,0.0,0.1,0.6,0.0,0
31,Marco Asensio,52,Real Madrid,27,AM,31,1436,6,1.3,22.8,87.9,0.6,1.0,0.1,6.94,9,1,0,1.9,0.1,3,0.7,0.5,0.1,0.4,0.6,0.5,0.2,0.3,0.0,0.1,0.4,0.1,0
33,Gerard Moreno,839,Villarreal,31,AM,21,1227,3,0.9,22.1,75.1,0.0,1.0,0.1,6.94,7,4,0,2.0,0.9,1,1.4,0.7,0.6,0.9,1.5,0.5,0.2,0.5,0.0,0.5,0.1,0.1,0
34,Brais Méndez,68,Real Sociedad,26,AM,34,2418,4,1.4,34.6,82.4,1.0,1.6,0.2,6.93,8,6,0,1.8,0.7,2,0.4,1.6,0.1,0.9,1.4,1.7,0.4,1.8,0.0,0.4,1.2,0.1,0
36,Iago Aspas,62,Celta Vigo,35,AM,37,2868,3,2.2,31.5,79.0,0.2,1.6,0.2,6.91,12,5,0,2.1,0.8,2,0.6,1.6,0.3,1.2,1.4,0.2,0.2,0.4,0.0,0.6,0.5,0.0,0
37,Viktor Tsygankov,2783,Girona,25,AM,19,1494,6,1.9,29.4,72.9,1.1,0.9,0.0,6.91,3,0,0,1.0,0.4,1,0.9,1.1,0.1,0.8,0.8,0.4,0.4,0.4,0.0,0.5,0.7,0.1,0
39,Yeremy Pino,839,Villarreal,20,AM,36,2465,5,1.2,22.5,79.5,0.1,0.6,0.1,6.91,4,7,0,1.4,0.7,2,1.3,1.5,0.5,1.1,1.6,1.7,0.4,1.8,0.1,0.7,1.0,0.1,0
40,Lucas Robertone,1799,Almeria,26,AM,37,2860,7,1.4,32.7,82.4,1.2,2.2,0.2,6.91,2,7,0,1.0,0.6,2,0.7,2.4,0.1,0.5,1.2,1.4,1.2,0.9,0.1,1.1,1.0,0.2,0
43,Nico Williams,53,Athletic Club,20,AM,36,2675,4,1.3,21.4,78.4,0.8,0.4,0.0,6.89,6,3,0,1.7,0.6,3,2.3,1.0,0.4,1.3,2.4,0.9,0.2,0.6,0.0,0.2,0.6,0.1,0
44,Samuel Chukwueze,839,Villarreal,24,AM,37,2350,5,1.2,23.2,78.3,0.3,0.6,0.1,6.89,6,1,0,1.6,0.4,3,2.3,0.9,0.3,0.8,1.8,0.4,0.3,0.5,0.0,0.4,0.4,0.0,0
47,Ayoze Pérez,54,Real Betis,29,AM,19,1395,1,0.7,19.7,81.0,0.0,0.2,0.1,6.87,3,3,0,1.8,0.4,1,2.2,1.5,0.1,1.4,2.1,1.6,0.7,1.7,0.0,0.2,1.6,0.0,0
50,Alexander Sørloth,68,Real Sociedad,27,AM,34,2398,3,0.9,13.8,69.5,0.1,0.1,0.0,6.85,12,4,0,1.9,1.8,3,0.9,0.5,0.5,1.8,2.5,0.5,0.1,0.9,0.1,0.8,0.2,0.0,0
52,Álvaro Morata,63,Atletico Madrid,30,AM,36,1906,2,0.5,11.5,64.5,0.0,0.3,0.0,6.85,13,4,0,2.0,1.6,2,0.6,1.6,0.7,0.7,1.5,0.4,0.0,1.1,0.0,0.6,0.1,0.1,0
56,Gavi,65,Barcelona,18,AM,36,2543,4,1.1,32.1,87.5,0.2,0.9,0.1,6.84,2,10,0,0.8,1.1,0,0.8,2.0,0.3,0.9,1.6,1.3,0.5,2.1,0.1,0.6,0.9,0.1,0
57,Iñaki Williams,53,Athletic Club,29,AM,36,2853,3,1.1,19.7,71.1,0.3,0.4,0.0,6.83,10,2,0,2.4,0.9,3,1.3,0.9,0.6,1.2,2.0,0.6,0.2,0.9,0.1,0.9,0.4,0.1,0
62,Álvaro García,64,Rayo Vallecano,30,AM,35,2890,5,1.4,23.3,71.6,0.9,0.6,0.0,6.82,5,7,0,1.5,0.3,4,0.6,0.9,0.3,0.5,1.5,1.4,1.0,1.0,0.0,0.5,0.6,0.1,0
63,Gabri Veiga,62,Celta Vigo,21,AM,36,2308,4,0.8,19.5,76.9,0.1,0.9,0.1,6.82,11,6,1,1.7,0.5,3,1.1,1.1,0.1,0.6,1.8,1.2,0.6,1.2,0.0,0.1,1.0,0.1,0
64,Samuel Lino,55,Valencia,23,AM,38,2897,1,0.7,27.7,80.4,0.2,0.6,0.1,6.81,6,4,0,2.5,0.4,2,1.4,1.6,0.4,1.5,2.2,1.7,0.5,0.9,0.0,0.2,1.2,0.0,0
