Unnamed: 0,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
40,Lucas Robertone,1799,Almeria,26, AM(C)  ,34(3),2860,7,1.4,32.7,82.4,1.2,2.2,0.2,6.91,2,7,0,1.0,0.6,2,0.7,2.4,0.1,0.5,1.2,1.4,1.2,0.9,0.1,1.1,1.0,0.2,0
69,Adrián Embarba,1799,Almeria,31," AM(CLR),FW  ",18(11),1477,3,1.1,14.5,74.8,1.2,0.8,0.0,6.8,4,3,1,1.7,0.3,3,1.6,1.0,0.3,1.1,1.7,1.7,0.3,0.8,0.0,0.2,0.8,0.0,0
115,El Bilal Touré,1799,Almeria,21, FW  ,15(6),1275,2,0.7,12.0,71.8,0.1,0.0,0.0,6.7,7,0,0,1.4,2.1,2,0.3,0.3,0.6,0.4,2.1,0.2,0.0,1.2,0.0,1.0,0.1,0.0,0
119,Luis Suárez,1799,Almeria,25," AM(L),FW  ",18(3),1498,4,0.6,17.6,70.0,0.1,0.5,0.0,6.69,4,4,1,2.0,1.7,1,0.9,1.0,0.2,1.2,2.0,0.8,0.1,1.7,0.0,0.5,1.0,0.1,0
132,Fernando Martínez,1799,Almeria,33, GK  ,37,3286,0,0.0,29.6,65.1,0.0,6.6,0.0,6.66,0,3,0,0.0,0.1,1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.0,0
159,Léo Baptistão,1799,Almeria,30," AM(CLR),FW  ",24(4),1746,2,0.6,18.3,67.9,0.2,0.7,0.0,6.61,5,7,0,1.6,1.0,3,0.5,0.8,0.4,0.6,2.0,1.1,0.7,1.1,0.0,0.3,0.7,0.1,0
177,Gonzalo Melero,1799,Almeria,29," M(C),FW  ",24(3),1877,3,0.7,27.7,86.8,0.0,1.4,0.0,6.58,4,5,0,0.9,0.6,0,0.6,1.1,0.1,0.7,1.4,1.2,0.3,0.9,0.0,0.7,1.1,0.1,0
192,Samú Costa,1799,Almeria,22, DMC  ,22(10),1988,2,0.4,33.7,79.9,0.0,2.5,0.0,6.55,1,5,0,0.6,1.5,2,0.3,1.4,0.1,0.4,1.0,1.9,1.2,1.6,0.2,1.9,1.0,0.2,0
195,Lázaro,1799,Almeria,21," AM(L),FW  ",7(12),711,0,0.6,10.9,80.3,0.1,0.4,0.0,6.55,6,1,0,1.3,0.3,1,0.8,0.6,0.2,0.6,0.9,0.2,0.1,0.4,0.0,0.1,0.6,0.1,0
210,Srdjan Babic,1799,Almeria,27, D(C)  ,33(1),2999,0,0.2,40.0,85.8,0.0,2.4,0.0,6.53,3,5,0,0.3,2.1,0,0.1,0.3,0.1,0.1,0.3,0.8,0.9,0.7,1.2,3.6,0.5,0.6,0
213,Rodrigo Ely,1799,Almeria,29, D(C)  ,36,3158,1,0.2,40.7,81.5,0.0,3.1,0.1,6.52,0,8,1,0.5,2.2,0,0.1,0.4,0.1,0.1,0.4,0.8,0.9,0.7,1.1,5.6,0.2,0.9,1
235,Alejandro Pozo,1799,Almeria,24," D(R),M(R)  ",20(10),1878,3,0.8,28.5,73.0,0.6,1.7,0.0,6.48,0,2,0,0.3,0.4,0,0.4,0.5,0.0,0.3,0.9,1.2,0.9,0.5,0.2,1.1,0.9,0.2,0
271,Sergio Akieme,1799,Almeria,25, D(L)  ,27(2),2300,0,0.7,26.9,80.6,0.7,1.2,0.0,6.42,1,5,0,0.8,0.5,1,0.9,0.6,0.0,0.9,1.0,0.9,0.5,0.7,0.5,1.3,0.3,0.2,0
279,César de la Hoz,1799,Almeria,31, DMC  ,18(7),1672,0,0.2,21.9,79.0,0.1,1.5,0.0,6.4,1,6,0,0.3,1.0,1,0.2,0.5,0.0,0.2,0.5,1.5,0.5,0.8,0.1,1.4,0.7,0.2,0
300,Chumi,1799,Almeria,24, D(CR)  ,15(6),1486,0,0.1,34.3,82.4,0.1,1.6,0.0,6.34,1,5,0,0.1,0.5,0,0.3,0.1,0.0,0.4,0.5,1.4,0.7,0.5,0.9,2.2,0.4,0.3,0
306,Largie Ramazani,1799,Almeria,22," AM(L),FW  ",13(20),1395,1,0.4,7.8,71.0,0.1,0.4,0.0,6.32,3,6,0,1.2,0.2,0,1.0,0.5,0.4,0.7,1.2,0.5,0.5,0.9,0.0,0.2,0.6,0.0,0
318,Dyego Sousa,1799,Almeria,33, FW  ,3(17),516,1,0.5,7.9,68.2,0.0,0.1,0.1,6.28,0,1,0,0.7,1.4,0,0.3,0.6,0.2,0.6,1.4,0.5,0.1,0.5,0.0,0.7,0.1,0.1,0
321,Francisco Portillo,1799,Almeria,33, M(CLR)  ,4(23),706,1,0.5,16.1,81.0,0.1,0.5,0.1,6.27,2,1,0,0.2,0.2,0,0.3,0.1,0.1,0.3,0.4,0.5,0.3,0.1,0.0,0.3,0.5,0.0,0
326,Arnau Puigmal,1799,Almeria,22, AM(R)  ,7(15),761,0,0.4,10.5,72.7,0.2,0.1,0.0,6.24,1,4,0,0.8,0.1,0,0.5,0.7,0.1,0.4,1.3,1.0,0.5,0.5,0.0,0.2,0.2,0.0,0
330,Íñigo Eguaras,1799,Almeria,31, DMC  ,10(15),961,1,0.4,21.4,85.0,0.1,1.4,0.2,6.22,1,6,0,0.3,0.1,0,0.2,0.3,0.0,0.2,0.3,0.4,0.2,0.3,0.0,0.6,0.5,0.1,0
