Unnamed: 0,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
43,Nico Williams,53,Athletic Bilbao,20, AM(LR)  ,32(4),2675,4,1.3,21.4,78.4,0.8,0.4,0.0,6.89,6,3,0,1.7,0.6,3,2.3,1.0,0.4,1.3,2.4,0.9,0.2,0.6,0.0,0.2,0.6,0.1,0
57,Iñaki Williams,53,Athletic Bilbao,29," AM(CLR),FW  ",34(2),2853,3,1.1,19.7,71.1,0.3,0.4,0.0,6.83,10,2,0,2.4,0.9,3,1.3,0.9,0.6,1.2,2.0,0.6,0.2,0.9,0.1,0.9,0.4,0.1,0
70,Yuri Berchiche,53,Athletic Bilbao,33," D(L),M(L)  ",27(2),2408,1,0.7,42.8,84.1,0.5,2.6,0.0,6.79,1,7,1,1.0,1.8,1,0.4,1.1,0.2,0.5,0.8,1.9,1.4,1.1,0.4,1.7,0.9,0.4,0
71,Yeray Álvarez,53,Athletic Bilbao,28, D(C)  ,27(1),2337,1,0.5,49.2,81.1,0.1,4.3,0.1,6.79,1,7,1,0.3,2.0,1,0.2,0.8,0.0,0.0,0.3,1.2,1.7,0.8,0.4,3.6,0.3,0.5,0
87,Alex Berenguer,53,Athletic Bilbao,27," D(LR),M(CLR),FW  ",26(11),2304,1,1.4,20.7,74.8,1.2,0.6,0.0,6.74,4,2,0,1.5,0.9,2,1.0,0.7,0.5,1.1,1.7,1.6,0.3,1.3,0.0,0.1,1.0,0.1,0
94,Iker Muniain,53,Athletic Bilbao,30, AM(CLR)  ,19(11),1692,3,1.6,32.7,86.2,1.2,0.9,0.1,6.72,0,2,0,0.9,0.1,1,1.3,2.1,0.0,1.0,1.0,0.7,0.1,0.4,0.0,0.1,0.4,0.0,0
96,Oihan Sancet,53,Athletic Bilbao,23," M(C),FW  ",32(4),2555,2,1.2,26.3,83.0,0.1,0.6,0.1,6.72,10,6,1,1.6,0.7,1,1.3,1.5,0.1,1.7,2.3,0.8,0.1,1.1,0.0,0.3,0.7,0.0,0
131,Óscar De Marcos,53,Athletic Bilbao,34," D(LR),M(CR)  ",32(5),2824,6,1.0,39.3,78.9,1.0,1.9,0.0,6.66,1,7,0,0.1,0.7,1,0.3,0.4,0.1,0.5,0.7,1.8,0.8,1.2,0.2,1.5,1.0,0.2,1
148,Mikel Vesga,53,Athletic Bilbao,30, DMC  ,28(8),2576,3,0.6,41.4,84.2,0.1,2.8,0.0,6.63,3,5,0,0.8,1.8,0,0.3,0.6,0.0,0.4,1.1,1.6,1.0,1.2,0.0,1.0,1.2,0.2,1
171,Dani Vivian,53,Athletic Bilbao,23, D(C)  ,26(3),2374,0,0.2,49.1,81.5,0.0,4.1,0.0,6.59,1,8,1,0.4,1.4,0,0.1,0.7,0.1,0.5,0.7,2.0,0.8,1.3,0.7,3.0,0.3,0.5,0
199,Íñigo Lekue,53,Athletic Bilbao,30," D(LR),M(LR)  ",14(6),1323,1,0.7,32.2,81.0,0.5,1.8,0.0,6.54,0,1,0,0.5,0.9,0,0.6,0.3,0.1,0.2,0.9,1.2,0.7,0.8,0.1,1.3,0.4,0.1,0
220,Gorka Guruzeta,53,Athletic Bilbao,26, FW  ,17(13),1421,1,0.5,12.8,73.4,0.0,0.6,0.0,6.52,6,2,0,1.7,1.0,2,0.3,0.5,0.5,0.7,1.3,0.8,0.1,0.9,0.0,0.2,0.4,0.1,0
238,Unai Simón,53,Athletic Bilbao,26, GK  ,31,2746,0,0.0,25.6,68.4,0.0,5.4,0.0,6.48,0,2,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4,0.0,0.0,0
242,Dani García,53,Athletic Bilbao,33, DMC  ,18(7),1492,2,0.4,28.5,79.9,0.1,1.6,0.0,6.47,0,6,0,0.4,0.8,0,0.1,0.6,0.0,0.2,0.2,1.8,0.8,1.4,0.0,0.8,0.7,0.2,0
302,Raúl García,53,Athletic Bilbao,36," M(CLR),FW  ",6(29),948,3,0.2,8.5,64.5,0.1,0.4,0.0,6.34,2,4,0,1.5,1.2,0,0.2,0.5,0.2,0.2,0.4,0.3,0.2,0.4,0.0,0.2,0.3,0.0,0
333,Oier Zarraga,53,Athletic Bilbao,24," DMC,M(R)  ",6(20),841,0,0.5,13.3,82.1,0.3,0.3,0.0,6.21,0,5,0,0.7,0.3,0,0.2,0.5,0.0,0.3,0.2,0.5,0.4,0.7,0.0,0.2,0.5,0.0,0
