Unnamed: 0,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
14,Juan Foyth,839,Villarreal,25," D(CR),DMC  ",22(2),1960,0,0.5,45.4,87.8,0.2,2.9,0.0,7.06,1,6,0,0.6,1.5,1,1.1,0.4,0.0,0.6,0.9,3.0,0.8,1.7,0.4,2.4,0.7,0.5,0
30,Daniel Parejo,839,Villarreal,34, M(C)  ,37,3289,4,1.4,65.1,90.6,0.9,4.1,0.1,6.96,3,6,0,0.8,0.5,2,0.8,2.0,0.0,0.9,0.8,1.9,0.8,0.8,0.1,0.8,1.2,0.3,0
33,Gerard Moreno,839,Villarreal,31," AM(CR),FW  ",14(7),1227,3,0.9,22.1,75.1,0.0,1.0,0.1,6.94,7,4,0,2.0,0.9,1,1.4,0.7,0.6,0.9,1.5,0.5,0.2,0.5,0.0,0.5,0.1,0.1,0
39,Yeremy Pino,839,Villarreal,20, AM(LR)  ,31(5),2465,5,1.2,22.5,79.5,0.1,0.6,0.1,6.91,4,7,0,1.4,0.7,2,1.3,1.5,0.5,1.1,1.6,1.7,0.4,1.8,0.1,0.7,1.0,0.1,0
44,Samuel Chukwueze,839,Villarreal,24, AM(CR)  ,27(10),2350,5,1.2,23.2,78.3,0.3,0.6,0.1,6.89,6,1,0,1.6,0.4,3,2.3,0.9,0.3,0.8,1.8,0.4,0.3,0.5,0.0,0.4,0.4,0.0,0
46,Nicolas Jackson,839,Villarreal,22, FW  ,16(10),1603,4,0.8,12.2,76.4,0.1,0.3,0.0,6.87,12,4,1,1.6,0.5,4,0.9,1.0,0.5,1.5,2.1,0.5,0.1,1.2,0.0,0.1,0.2,0.1,0
59,Giovani Lo Celso,839,Villarreal,27," M(CR),FW  ",14(8),1130,3,1.4,29.6,86.5,0.3,2.4,0.3,6.82,2,3,0,1.4,0.1,2,1.0,1.4,0.2,1.0,1.4,1.5,0.3,0.7,0.0,0.1,0.4,0.1,0
68,Pau Torres,839,Villarreal,26, D(C)  ,34,3055,0,0.4,63.6,85.3,0.0,5.4,0.1,6.8,1,10,0,0.4,1.7,1,0.8,0.5,0.0,0.1,0.6,1.3,0.4,0.6,0.6,4.1,0.4,0.8,1
101,Etienne Capoue,839,Villarreal,34," D(C),M(CL)  ",22(6),1958,0,0.4,36.8,88.4,0.0,1.4,0.1,6.72,3,4,0,0.9,0.9,0,1.1,1.5,0.0,0.5,0.9,0.8,0.7,0.6,0.0,0.7,0.3,0.2,0
134,Alfonso Pedraza,839,Villarreal,27," D(L),M(L)  ",20(6),1636,3,0.7,23.3,81.5,0.5,0.7,0.0,6.65,0,5,0,1.0,0.5,0,0.8,0.6,0.1,0.5,1.2,1.3,0.7,0.8,0.3,0.8,0.4,0.0,0
136,Raúl Albiol,839,Villarreal,37, D(C)  ,24(1),2120,0,0.1,58.8,88.7,0.0,4.9,0.0,6.65,0,6,0,0.1,1.6,0,0.2,0.5,0.0,0.2,0.4,1.0,0.6,0.7,0.8,4.3,0.2,0.5,0
161,Aïssa Mandi,839,Villarreal,31, D(CLR)  ,16(5),1460,0,0.2,42.0,90.8,0.0,2.6,0.0,6.61,0,1,0,0.1,1.0,0,0.0,0.5,0.2,0.1,0.1,0.9,1.0,0.8,0.8,2.8,0.3,0.7,0
169,Álex Baena,839,Villarreal,21, AM(CL)  ,19(16),1947,2,0.9,23.6,81.6,0.2,1.1,0.3,6.59,6,11,1,1.8,0.1,2,0.8,1.6,0.1,1.0,1.2,0.9,0.2,1.7,0.0,0.4,0.9,0.1,0
176,Pepe Reina,839,Villarreal,40, GK  ,22,1980,0,0.0,33.7,77.4,0.0,4.6,0.0,6.58,0,2,0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0
236,José Morales,839,Villarreal,35," D(R),M(CLR),FW  ",11(18),1205,0,0.3,8.2,73.5,0.1,0.2,0.0,6.48,7,2,0,1.4,0.3,0,0.6,0.3,0.4,0.4,0.8,0.2,0.1,0.2,0.0,0.1,0.4,0.0,0
258,Kiko Femenía,839,Villarreal,32," D(LR),M(R)  ",13(7),1137,0,0.5,32.4,89.5,0.2,0.8,0.0,6.44,0,0,0,0.1,0.5,0,0.3,0.4,0.0,0.5,0.4,0.9,1.0,0.3,0.4,1.1,0.3,0.3,0
267,Alberto Moreno,839,Villarreal,30," D(L),M(L)  ",14(10),1298,1,0.5,25.1,85.4,0.4,0.7,0.0,6.43,0,7,0,0.6,0.5,0,0.3,0.4,0.1,0.3,0.7,1.0,1.0,1.1,0.1,1.0,0.5,0.0,0
319,Manu Trigueros,839,Villarreal,31," M(CLR),FW  ",8(15),818,1,0.4,22.9,89.6,0.0,0.7,0.0,6.27,0,2,1,0.3,0.3,0,0.1,0.4,0.0,0.4,0.3,0.9,0.2,0.6,0.0,0.2,0.6,0.1,0
