Name,Position,Date of Birth,Age,Nationality,Market Value
Jan Oblak,Goalkeeper,"Jan 7, 1993",30,Slovenia,€35.00m
Ivo Grbic,Goalkeeper,"Jan 18, 1996",27,Croatia,€3.50m
Alejandro Iturbe,Goalkeeper,"Sep 2, 2003",19,Spain,€150k
Antonio Gomis,Goalkeeper,"May 20, 2003",20,Spain,€150k
Sergio Mestre,Goalkeeper,"Feb 13, 2005",18,Spain,-
José María Giménez,Centre-Back,"Jan 20, 1995",28,Uruguay,€35.00m
Mario Hermoso,Centre-Back,"Jun 18, 1995",28,Spain,€20.00m
Stefan Savic,Centre-Back,"Jan 8, 1991",32,Montenegro,€6.00m
Axel Witsel,Centre-Back,"Jan 12, 1989",34,Belgium,€5.00m
Felipe,Centre-Back,"May 16, 1989",34,Brazil,€2.00m
Marco Moreno,Centre-Back,"Feb 20, 2001",22,Spain,€200k
Ilias Kostis,Centre-Back,"Feb 27, 2003",20,Greece,€100k
Reinildo Mandava,Left-Back,"Jan 21, 1994",29,Mozambique,€25.00m
Renan Lodi,Left-Back,"Apr 8, 1998",25,Brazil,€20.00m
Sergio Reguilón,Left-Back,"Dec 16, 1996",26,Spain,€10.00m
Adrián Corral,Left-Back,"Jan 5, 2003",20,Spain,€50k
Nahuel Molina,Right-Back,"Apr 6, 1998",25,Argentina,€35.00m
Matt Doherty,Right-Back,"Jan 16, 1992",31,Ireland,€5.00m
Sergio Diez,Right-Back,"Jul 28, 2003",19,Spain,€200k
Geoffrey Kondogbia,Defensive Midfield,"Feb 15, 1993",30,Central African Republic,€14.00m
Rodrigo de Paul,Central Midfield,"May 24, 1994",29,Argentina,€40.00m
Marcos Llorente,Central Midfield,"Jan 30, 1995",28,Spain,€35.00m
Koke,Central Midfield,"Jan 8, 1992",31,Spain,€16.00m
Saúl Ñíguez,Central Midfield,"Nov 21, 1994",28,Spain,€10.00m
Pablo Barrios,Central Midfield,"Jun 15, 2003",20,Spain,€5.00m
Alberto Moreno,Central Midfield,"Apr 19, 2002",21,Spain,€150k
Aitor Gismera,Central Midfield,"Feb 21, 2004",19,Spain,€150k
Thomas Lemar,Attacking Midfield,"Nov 12, 1995",27,France,€22.00m
Antonio Alemán,Attacking Midfield,"Jan 27, 2001",22,Spain,-
João Félix,Left Winger,"Nov 10, 1999",23,Portugal,€50.00m
Yannick Carrasco,Left Winger,"Sep 4, 1993",29,Belgium,€25.00m
Salim El Jebari,Left Winger,"Feb 5, 2004",19,Morocco,-
Ángel Correa,Right Winger,"Mar 9, 1995",28,Argentina,€30.00m
Matheus Cunha,Centre-Forward,"May 27, 1999",24,Brazil,€25.00m
Antoine Griezmann,Centre-Forward,"Mar 21, 1991",32,France,€25.00m
Álvaro Morata,Centre-Forward,"Oct 23, 1992",30,Spain,€20.00m
Memphis Depay,Centre-Forward,"Feb 13, 1994",29,Netherlands,€14.00m
Carlos Martín,Centre-Forward,"Apr 22, 2002",21,Spain,€500k
Diego Bri,Centre-Forward,"Sep 12, 2002",20,Spain,€150k
Abde Raihani,Centre-Forward,"Feb 3, 2004",19,Morocco,-
