Name,Position,Date of Birth,Age,Nationality,Market Value
Conan Ledesma,Goalkeeper,"Feb 13, 1993",30,Argentina,€8.00m
David Gil,Goalkeeper,"Jan 11, 1994",29,Spain,€700k
Victor Aznar,Goalkeeper,"Oct 17, 2002",20,Brazil,€50k
Nando Almodóvar,Goalkeeper,"Nov 3, 2003",19,Spain,€50k
Fali,Centre-Back,"Aug 12, 1993",29,Spain,€2.50m
Víctor Chust,Centre-Back,"Mar 5, 2000",23,Spain,€2.50m
Jorge Meré,Centre-Back,"Apr 17, 1997",26,Spain,€1.20m
Luis Hernández,Centre-Back,"Apr 14, 1989",34,Spain,€1.00m
Momo Mbaye,Centre-Back,"Jun 28, 1998",25,Senegal,€700k
Juan Cala,Centre-Back,"Nov 26, 1989",33,Spain,€600k
Carlos García,Centre-Back,"Jul 7, 2000",22,Spain,€200k
Lautaro Spatz,Centre-Back,"Oct 19, 2001",21,Argentina,€150k
Alfonso Espino,Left-Back,"Jan 5, 1992",31,Uruguay,€3.50m
Santiago Arzamendia,Left-Back,"May 5, 1998",25,Paraguay,€1.20m
Joseba Zaldua,Right-Back,"Jun 24, 1992",31,Spain,€2.50m
Iza Carcelén,Right-Back,"Apr 23, 1993",30,Spain,€1.50m
Raúl Parra,Right-Back,"Nov 26, 1999",23,Spain,€300k
Kikín,Right-Back,"Jan 20, 2003",20,Spain,€50k
Antonio Blanco,Defensive Midfield,"Jul 23, 2000",22,Spain,€2.50m
Tomás Alarcón,Defensive Midfield,"Jan 19, 1999",24,Chile,€1.50m
José Mari,Defensive Midfield,"Dec 6, 1987",35,Spain,€400k
Jon Ander Garrido,Defensive Midfield,"Oct 9, 1989",33,Spain,€300k
Rubén Alcaraz,Central Midfield,"May 1, 1991",32,Spain,€2.00m
Gonzalo Escalante,Central Midfield,"Mar 27, 1993",30,Argentina,€2.00m
Fede San Emeterio,Central Midfield,"Mar 16, 1997",26,Spain,€2.00m
Youba Diarra,Central Midfield,"Mar 24, 1998",25,Mali,€900k
Álvaro Bastida,Central Midfield,"May 12, 2004",19,Spain,€600k
Curro Muñoz,Central Midfield,"Jan 7, 2003",20,Spain,€50k
Moussa Diakité,Central Midfield,"Nov 4, 2003",19,Mali,€50k
Álex Fernández,Attacking Midfield,"Oct 15, 1992",30,Spain,€4.00m
Brian Ocampo,Left Winger,"Jun 25, 1999",24,Uruguay,€2.00m
Awer Mabil,Left Winger,"Sep 15, 1995",27,Australia,€1.20m
Alberto Perea,Left Winger,"Dec 19, 1990",32,Spain,€1.00m
José Antonio de la Rosa,Left Winger,"Jul 28, 2004",18,Spain,€300k
Théo Bongonda,Right Winger,"Nov 20, 1995",27,DR Congo,€4.00m
Iván Alejo,Right Winger,"Feb 10, 1995",28,Spain,€1.20m
Mamady Diarra,Right Winger,"Jun 26, 2000",23,Mali,€300k
Choco Lozano,Centre-Forward,"Apr 25, 1993",30,Honduras,€2.50m
Rubén Sobrino,Centre-Forward,"Jun 1, 1992",31,Spain,€2.00m
Roger Martí,Centre-Forward,"Jan 3, 1991",32,Spain,€2.00m
Sergi Guardiola,Centre-Forward,"May 29, 1991",32,Spain,€2.00m
Chris Ramos,Centre-Forward,"Jan 18, 1997",26,Spain,€1.50m
Álvaro Negredo,Centre-Forward,"Aug 20, 1985",37,Spain,€1.00m
Lucas Pérez,Centre-Forward,"Sep 10, 1988",34,Spain,€800k
Álvaro Giménez,Centre-Forward,"May 19, 1991",32,Spain,€600k
Francisco Mwepu,Centre-Forward,"Feb 29, 2000",23,Zambia,€150k
Etta Eyong,Centre-Forward,"Oct 14, 2003",19,Cameroon,€50k
