Name,Position,Date of Birth,Age,Nationality,Market Value
Edgar Badia,Goalkeeper,"Feb 12, 1992",31,Spain,€3.00m
Axel Werner,Goalkeeper,"Feb 28, 1996",27,Argentina,€800k
Juanpe Navarro,Goalkeeper,"Aug 21, 1998",24,Spain,-
Jesús López,Goalkeeper,"Aug 1, 2002",20,Spain,-
Luismi Quirant,Goalkeeper,"Jan 1, 2004",19,Spain,-
Lisandro Magallán,Centre-Back,"Sep 27, 1993",29,Argentina,€1.80m
Enzo Roco,Centre-Back,"Aug 16, 1992",30,Chile,€1.50m
Diego González,Centre-Back,"Jan 28, 1995",28,Spain,€1.50m
Pedro Bigas,Centre-Back,"May 15, 1990",33,Spain,€1.00m
John Donald,Centre-Back,"Sep 25, 2000",22,Spain,€1.00m
Federico Fernández,Centre-Back,"Feb 21, 1989",34,Argentina,€700k
Gonzalo Verdú,Centre-Back,"Oct 21, 1988",34,Spain,€700k
Javi Pamies,Centre-Back,"Mar 17, 2003",20,Spain,-
Manuel Cocca,Centre-Back,"Nov 8, 2002",20,Argentina,-
Johan Mojica,Left-Back,"Aug 21, 1992",30,Colombia,€3.00m
Lautaro Blanco,Left-Back,"Feb 19, 1999",24,Argentina,€2.80m
Nicolás Fernández Mercau,Left-Back,"Jan 11, 2000",23,Argentina,€2.00m
Carlos Clerc,Left-Back,"Feb 21, 1992",31,Spain,€1.50m
José Ángel Carmona,Right-Back,"Jan 29, 2002",21,Spain,€4.00m
Pol Lirola,Right-Back,"Aug 13, 1997",25,Spain,€2.00m
Helibelton Palacios,Right-Back,"Jun 11, 1993",30,Colombia,€1.20m
Carles Marco,Right-Back,"Apr 5, 2000",23,Spain,-
Gerard Gumbau,Defensive Midfield,"Dec 18, 1994",28,Spain,€3.50m
Omar Mascarell,Defensive Midfield,"Feb 2, 1993",30,Spain,€3.00m
Raúl Guti,Central Midfield,"Dec 30, 1996",26,Spain,€2.50m
Domingos Quina,Central Midfield,"Nov 18, 1999",23,Portugal,€1.80m
Pape Cheikh,Central Midfield,"Aug 8, 1997",25,Senegal,€900k
Branislav Knezevic,Central Midfield,"Jul 21, 2002",20,Serbia,-
Alejandro Alfaro,Central Midfield,"Jun 15, 2002",21,Spain,-
Rodrigo Mendoza,Central Midfield,"Mar 15, 2005",18,Spain,-
Randy Nteka,Attacking Midfield,"Dec 6, 1997",25,France,€1.80m
Javier Pastore,Attacking Midfield,"Jun 20, 1989",34,Argentina,€500k
Pere Milla,Left Winger,"Sep 23, 1992",30,Spain,€3.00m
Tete Morente,Left Winger,"Dec 4, 1996",26,Spain,€2.50m
Fidel,Left Winger,"Oct 27, 1989",33,Spain,€1.00m
Álex Collado,Right Winger,"Apr 22, 1999",24,Spain,€3.00m
Josan,Right Winger,"Dec 3, 1989",33,Spain,€1.00m
Lucas Boyé,Centre-Forward,"Feb 28, 1996",27,Argentina,€10.00m
Ezequiel Ponce,Centre-Forward,"Mar 29, 1997",26,Argentina,€2.50m
Roger Martí,Centre-Forward,"Jan 3, 1991",32,Spain,€2.00m
