Name,Position,Date of Birth,Age,Nationality,Market Value
Marc-André ter Stegen,Goalkeeper,"Apr 30, 1992",31,Germany,€35.00m
Iñaki Peña,Goalkeeper,"Mar 2, 1999",24,Spain,€4.00m
Arnau Tenas,Goalkeeper,"May 30, 2001",22,Spain,€2.00m
Ander Astralaga,Goalkeeper,"Mar 3, 2004",19,Spain,-
Ronald Araujo,Centre-Back,"Mar 7, 1999",24,Uruguay,€70.00m
Jules Koundé,Centre-Back,"Nov 12, 1998",24,France,€60.00m
Andreas Christensen,Centre-Back,"Apr 10, 1996",27,Denmark,€40.00m
Eric García,Centre-Back,"Jan 9, 2001",22,Spain,€10.00m
Chadi Riad,Centre-Back,"Jun 17, 2003",20,Morocco,€500k
Gerard Piqué,Centre-Back,"Feb 2, 1987",36,Spain,-
Alejandro Balde,Left-Back,"Oct 18, 2003",19,Spain,€50.00m
Marcos Alonso,Left-Back,"Dec 28, 1990",32,Spain,€5.00m
Jordi Alba,Left-Back,"Mar 21, 1989",34,Spain,€5.00m
Álex Valle,Left-Back,"Apr 25, 2004",19,Spain,€500k
Héctor Bellerín,Right-Back,"Mar 19, 1995",28,Spain,€8.00m
Sergio Busquets,Defensive Midfield,"Jul 16, 1988",34,Spain,€5.00m
Álvaro Sanz,Defensive Midfield,"Feb 14, 2001",22,Spain,€700k
Marc Casadó,Defensive Midfield,"Sep 14, 2003",19,Spain,€300k
Pau Prim,Defensive Midfield,"Feb 22, 2006",17,Spain,-
Pedri,Central Midfield,"Nov 25, 2002",20,Spain,€100.00m
Gavi,Central Midfield,"Aug 5, 2004",18,Spain,€90.00m
Frenkie de Jong,Central Midfield,"May 12, 1997",26,Netherlands,€75.00m
Franck Kessié,Central Midfield,"Dec 19, 1996",26,Cote d'Ivoire,€25.00m
Miralem Pjanic,Central Midfield,"Apr 2, 1990",33,Bosnia-Herzegovina,€6.00m
Sergi Roberto,Central Midfield,"Feb 7, 1992",31,Spain,€5.00m
Pablo Torre,Central Midfield,"Apr 3, 2003",20,Spain,€3.00m
Aleix Garrido,Central Midfield,"Feb 22, 2004",19,Spain,€300k
Unai Hernández,Central Midfield,"Dec 14, 2004",18,Spain,-
Ansu Fati,Left Winger,"Oct 31, 2002",20,Spain,€35.00m
Ferran Torres,Left Winger,"Feb 29, 2000",23,Spain,€30.00m
Estanis Pedrola,Left Winger,"Aug 24, 2003",19,Spain,€500k
Ángel Alarcón,Left Winger,"May 15, 2004",19,Spain,-
Dani Rodríguez,Left Winger,"Aug 9, 2005",17,Spain,-
Ousmane Dembélé,Right Winger,"May 15, 1997",26,France,€60.00m
Raphinha,Right Winger,"Dec 14, 1996",26,Brazil,€60.00m
Ilias Akhomach,Right Winger,"Apr 16, 2004",19,Morocco,€3.00m
Lamine Yamal,Right Winger,"Jul 13, 2007",15,Spain,-
Robert Lewandowski,Centre-Forward,"Aug 21, 1988",34,Poland,€30.00m
Memphis Depay,Centre-Forward,"Feb 13, 1994",29,Netherlands,€14.00m
Pierre-Emerick Aubameyang,Centre-Forward,"Jun 18, 1989",34,Gabon,€4.00m
Marc Guiu,Centre-Forward,"Jan 4, 2006",17,Spain,-
