Name,Position,Date of Birth,Age,Nationality,Market Value
Paulo Gazzaniga,Goalkeeper,"Jan 2, 1992",31,Argentina,€3.00m
Juan Carlos,Goalkeeper,"Jan 20, 1988",35,Spain,€300k
Toni Fuidias,Goalkeeper,"Apr 15, 2001",22,Spain,€300k
Lluc Matas,Goalkeeper,"Jul 5, 2003",19,Spain,-
Santiago Bueno,Centre-Back,"Nov 9, 1998",24,Uruguay,€8.00m
David López,Centre-Back,"Oct 9, 1989",33,Spain,€2.00m
Alexander Callens,Centre-Back,"May 4, 1992",31,Peru,€1.80m
Bernardo Espinosa,Centre-Back,"Jul 11, 1989",33,Colombia,€1.50m
Juanpe,Centre-Back,"Apr 30, 1991",32,Spain,€1.50m
Eric Monjonell,Centre-Back,"Dec 6, 2001",21,Spain,€300k
Biel Farrés,Centre-Back,"May 1, 2002",21,Spain,-
Miguel Gutiérrez,Left-Back,"Jul 27, 2001",21,Spain,€10.00m
Javi Hernández,Left-Back,"May 2, 1998",25,Spain,€2.50m
Arnau Martínez,Right-Back,"Apr 25, 2003",20,Spain,€15.00m
Yan Couto,Right-Back,"Jun 3, 2002",21,Brazil,€4.00m
Oriol Romeu,Defensive Midfield,"Sep 24, 1991",31,Spain,€5.00m
Ramón Terrats,Defensive Midfield,"Oct 18, 2000",22,Spain,€4.00m
Ibrahima Kébé,Defensive Midfield,"Aug 2, 2000",22,Mali,€500k
Aleix García,Central Midfield,"Jun 28, 1997",26,Spain,€10.00m
Yangel Herrera,Central Midfield,"Jan 7, 1998",25,Venezuela,€5.00m
Álex Sala,Central Midfield,"Apr 9, 2001",22,Spain,€200k
Iván Martín,Attacking Midfield,"Feb 14, 1999",24,Spain,€3.00m
Reinier,Attacking Midfield,"Jan 19, 2002",21,Brazil,€2.00m
Borja García,Attacking Midfield,"Nov 2, 1990",32,Spain,€1.00m
Samu Saiz,Attacking Midfield,"Jan 22, 1991",32,Spain,€900k
Ricard Artero,Attacking Midfield,"Feb 5, 2003",20,Spain,-
Rodrigo Riquelme,Left Winger,"Apr 2, 2000",23,Spain,€12.00m
Toni Villa,Left Winger,"Jan 7, 1995",28,Spain,€2.50m
Óscar Ureña,Left Winger,"May 31, 2003",20,Dominican Republic,€400k
Joel Roca,Left Winger,"Jun 7, 2005",18,Spain,-
Viktor Tsygankov,Right Winger,"Nov 15, 1997",25,Ukraine,€22.00m
Valery Fernández,Right Winger,"Nov 23, 1999",23,Spain,€1.50m
Manu Vallejo,Second Striker,"Feb 14, 1997",26,Spain,€2.40m
Taty Castellanos,Centre-Forward,"Oct 3, 1998",24,Argentina,€15.00m
Cristhian Stuani,Centre-Forward,"Oct 12, 1986",36,Uruguay,€2.00m
Pau Víctor,Centre-Forward,"Nov 26, 2001",21,Spain,€300k
Dawda Camara,Centre-Forward,"Nov 4, 2002",20,Mauritania,-
