Name,Position,Date of Birth,Age,Nationality,Market Value
Sergio Herrera,Goalkeeper,"Jun 5, 1993",30,Spain,€8.00m
Aitor Fernández,Goalkeeper,"May 3, 1991",32,Spain,€3.00m
Juan Pérez,Goalkeeper,"Jul 15, 1996",26,Spain,€600k
Darío Ramos,Goalkeeper,"Oct 19, 1999",23,Spain,€200k
Pablo Valencia,Goalkeeper,"Mar 16, 2001",22,Spain,€200k
Yoel Ramírez,Goalkeeper,"Feb 5, 2002",21,Spain,€50k
David García,Centre-Back,"Feb 14, 1994",29,Spain,€20.00m
Unai García,Centre-Back,"Feb 3, 1992",31,Spain,€2.50m
Aridane Hernández,Centre-Back,"Mar 23, 1989",34,Spain,€1.00m
Jorge Herrando,Centre-Back,"Feb 28, 2001",22,Spain,€400k
Manu Sánchez,Left-Back,"Aug 24, 2000",22,Spain,€10.00m
Juan Cruz,Left-Back,"Jul 28, 1992",30,Spain,€2.50m
Nacho Vidal,Right-Back,"Jan 24, 1995",28,Spain,€5.00m
Rubén Peña,Right-Back,"Jul 18, 1991",31,Spain,€2.50m
Diego Moreno,Right-Back,"Jun 21, 2001",22,Spain,€800k
Lucas Torró,Defensive Midfield,"Jul 19, 1994",28,Spain,€8.00m
Iker Muñoz,Defensive Midfield,"Sep 5, 2002",20,Spain,€500k
Jon Moncayola,Central Midfield,"May 13, 1998",25,Spain,€12.00m
Darko Brasanac,Central Midfield,"Feb 12, 1992",31,Serbia,€2.00m
Pablo Ibáñez,Central Midfield,"Sep 20, 1998",24,Spain,€1.50m
Aimar Oroz,Attacking Midfield,"Nov 27, 2001",21,Spain,€15.00m
Roberto Torres,Attacking Midfield,"Mar 7, 1989",34,Spain,€1.20m
Javi Martínez,Attacking Midfield,"Dec 22, 1999",23,Spain,€1.00m
Abde Ezzalzouli,Left Winger,"Dec 17, 2001",21,Morocco,€15.00m
Moi Gómez,Left Winger,"Jun 23, 1994",29,Spain,€10.00m
Rubén García,Left Winger,"Jul 14, 1993",29,Spain,€6.00m
Kike Barja,Right Winger,"Apr 1, 1997",26,Spain,€4.00m
Iker Benito,Right Winger,"Aug 10, 2002",20,Spain,€300k
Chimy Ávila,Centre-Forward,"Feb 6, 1994",29,Argentina,€9.00m
Ante Budimir,Centre-Forward,"Jul 22, 1991",31,Croatia,€6.00m
Kike García,Centre-Forward,"Nov 25, 1989",33,Spain,€1.80m
