Name,Position,Date of Birth,Age,Nationality,Market Value
Rui Silva,Goalkeeper,"Feb 7, 1994",29,Portugal,€15.00m
Dani Martín,Goalkeeper,"Jul 8, 1998",24,Spain,€1.50m
Claudio Bravo,Goalkeeper,"Apr 13, 1983",40,Chile,€1.00m
Fran Vieites,Goalkeeper,"May 7, 1999",24,Spain,€200k
Germán García,Goalkeeper,"Feb 1, 2004",19,Spain,-
Luiz Felipe,Centre-Back,"Mar 22, 1997",26,Italy,€15.00m
Edgar González,Centre-Back,"Apr 1, 1997",26,Spain,€9.00m
Germán Pezzella,Centre-Back,"Jun 27, 1991",32,Argentina,€5.00m
Víctor Ruiz,Centre-Back,"Jan 25, 1989",34,Spain,€1.20m
Félix Garreta,Centre-Back,"Apr 21, 2004",19,Spain,€200k
Ricardo Visus,Centre-Back,"Apr 24, 2001",22,Spain,€150k
Álex Moreno,Left-Back,"Jun 8, 1993",30,Spain,€15.00m
Abner,Left-Back,"May 27, 2000",23,Brazil,€7.00m
Juan Miranda,Left-Back,"Jan 19, 2000",23,Spain,€7.00m
Youssouf Sabaly,Right-Back,"Mar 5, 1993",30,Senegal,€5.00m
Martín Montoya,Right-Back,"Apr 14, 1991",32,Spain,€1.20m
Fran Delgado,Right-Back,"Jul 11, 2001",21,Spain,€350k
Guido Rodríguez,Defensive Midfield,"Apr 12, 1994",29,Argentina,€28.00m
William Carvalho,Defensive Midfield,"Apr 7, 1992",31,Portugal,€14.00m
Paul Akouokou,Defensive Midfield,"Dec 20, 1997",25,Cote d'Ivoire,€3.50m
Andrés Guardado,Central Midfield,"Sep 28, 1986",36,Mexico,€1.50m
Víctor Camarasa,Central Midfield,"May 28, 1994",29,Spain,€800k
Quique Fernández,Central Midfield,"Sep 16, 2003",19,Spain,€150k
Nabil Fekir,Attacking Midfield,"Jul 18, 1993",29,France,€20.00m
Sergio Canales,Attacking Midfield,"Feb 16, 1991",32,Spain,€15.00m
Rodri Sánchez,Attacking Midfield,"May 16, 2000",23,Spain,€8.00m
Dani Pérez,Attacking Midfield,"Jul 26, 2005",17,Spain,€300k
Juanmi,Left Winger,"May 20, 1993",30,Spain,€12.00m
Ayoze Pérez,Left Winger,"Jul 29, 1993",29,Spain,€6.00m
José Alonso Lara,Left Winger,"Mar 7, 2000",23,Spain,€350k
Luiz Henrique,Right Winger,"Jan 2, 2001",22,Brazil,€15.00m
Aitor Ruibal,Right Winger,"Mar 22, 1996",27,Spain,€5.00m
Rober González,Right Winger,"Jan 8, 2001",22,Spain,€2.00m
Joaquín,Right Winger,"Jul 21, 1981",41,Spain,€1.50m
Juan Cruz,Right Winger,"Apr 25, 2000",23,Spain,€1.50m
Borja Iglesias,Centre-Forward,"Jan 17, 1993",30,Spain,€20.00m
Willian José,Centre-Forward,"Nov 23, 1991",31,Brazil,€6.00m
Loren Morón,Centre-Forward,"Dec 30, 1993",29,Spain,€2.00m
