Name,Position,Date of Birth,Age,Nationality,Market Value
Álex Remiro,Goalkeeper,"Mar 24, 1995",28,Spain,€25.00m
Andoni Zubiaurre,Goalkeeper,"Dec 4, 1996",26,Spain,€300k
Unai Marrero,Goalkeeper,"Oct 9, 2001",21,Spain,€250k
Egoitz Arana,Goalkeeper,"Feb 19, 2002",21,Spain,€50k
Robin Le Normand,Centre-Back,"Nov 11, 1996",26,Spain,€35.00m
Igor Zubeldia,Centre-Back,"Mar 30, 1997",26,Spain,€15.00m
Aritz Elustondo,Centre-Back,"Mar 28, 1994",29,Spain,€14.00m
Jon Pacheco,Centre-Back,"Jan 8, 2001",22,Spain,€6.00m
Aritz Arambarri,Centre-Back,"Jan 31, 1998",25,Spain,€500k
Aihen Muñoz,Left-Back,"Aug 16, 1997",25,Spain,€6.00m
Diego Rico,Left-Back,"Feb 23, 1993",30,Spain,€3.00m
Jonathan Gómez,Left-Back,"Sep 1, 2003",19,United States,€500k
Andoni Gorosabel,Right-Back,"Aug 4, 1996",26,Spain,€9.00m
Martín Zubimendi,Defensive Midfield,"Feb 2, 1999",24,Spain,€40.00m
Asier Illarramendi,Defensive Midfield,"Mar 8, 1990",33,Spain,€2.00m
Urko González de Zarate,Defensive Midfield,"Mar 20, 2001",22,Spain,€700k
Mikel Merino,Central Midfield,"Jun 22, 1996",27,Spain,€50.00m
Ander Guevara,Central Midfield,"Jul 7, 1997",25,Spain,€2.50m
Beñat Turrientes,Central Midfield,"Jan 31, 2002",21,Spain,€2.00m
Jon Ander Olasagasti,Central Midfield,"Aug 16, 2000",22,Spain,€1.00m
Brais Méndez,Attacking Midfield,"Jan 7, 1997",26,Spain,€25.00m
David Silva,Attacking Midfield,"Jan 8, 1986",37,Spain,€4.00m
Robert Navarro,Attacking Midfield,"Apr 12, 2002",21,Spain,€3.00m
Pablo Marín,Attacking Midfield,"Jul 3, 2003",19,Spain,€1.00m
Jon Magunazelaia,Attacking Midfield,"Jul 13, 2001",21,Spain,€700k
Mikel Oyarzabal,Left Winger,"Apr 21, 1997",26,Spain,€40.00m
Mohamed-Ali Cho,Left Winger,"Jan 19, 2004",19,France,€12.00m
Ander Barrenetxea,Left Winger,"Dec 27, 2001",21,Spain,€6.00m
Martín Merquelanz,Left Winger,"Jun 12, 1995",28,Spain,€800k
Takefusa Kubo,Right Winger,"Jun 4, 2001",22,Japan,€25.00m
Álex Sola,Right Winger,"Jun 9, 1999",24,Spain,€3.00m
Ander Martín,Right Winger,"Nov 16, 2000",22,Spain,€400k
Alexander Isak,Centre-Forward,"Sep 21, 1999",23,Sweden,€70.00m
Umar Sadiq,Centre-Forward,"Feb 2, 1997",26,Nigeria,€18.00m
Alexander Sørloth,Centre-Forward,"Dec 5, 1995",27,Norway,€12.00m
Jon Karrikaburu,Centre-Forward,"Sep 19, 2002",20,Spain,€5.00m
Carlos Fernández,Centre-Forward,"May 22, 1996",27,Spain,€3.00m
