Name,Position,Date of Birth,Age,Nationality,Market Value
Thibaut Courtois,Goalkeeper,"May 11, 1992",31,Belgium,€45.00m
Andriy Lunin,Goalkeeper,"Feb 11, 1999",24,Ukraine,€5.00m
Mario de Luis,Goalkeeper,"May 6, 2002",21,Spain,€500k
Luis López,Goalkeeper,"May 8, 2001",22,Spain,€300k
Lucas Cañizares,Goalkeeper,"May 10, 2002",21,Spain,€200k
Diego Piñeiro,Goalkeeper,"Feb 13, 2004",19,Spain,-
Fran González,Goalkeeper,"Jun 24, 2005",18,Spain,-
Éder Militão,Centre-Back,"Jan 18, 1998",25,Brazil,€70.00m
David Alaba,Centre-Back,"Jun 24, 1992",31,Austria,€40.00m
Antonio Rüdiger,Centre-Back,"Mar 3, 1993",30,Germany,€32.00m
Nacho Fernández,Centre-Back,"Jan 18, 1990",33,Spain,€6.00m
Jesús Vallejo,Centre-Back,"Jan 5, 1997",26,Spain,€2.00m
Marvel,Centre-Back,"Jan 7, 2003",20,Spain,€1.00m
Ferland Mendy,Left-Back,"Jun 8, 1995",28,France,€25.00m
Daniel Carvajal,Right-Back,"Jan 11, 1992",31,Spain,€12.00m
Lucas Vázquez,Right-Back,"Jul 1, 1991",31,Spain,€8.00m
Álvaro Odriozola,Right-Back,"Dec 14, 1995",27,Spain,€5.00m
Vinícius Tobias,Right-Back,"Feb 23, 2004",19,Brazil,€3.00m
Aurélien Tchouaméni,Defensive Midfield,"Jan 27, 2000",23,France,€85.00m
Casemiro,Defensive Midfield,"Feb 23, 1992",31,Brazil,€40.00m
Mario Martín,Defensive Midfield,"Mar 5, 2004",19,Spain,€250k
Federico Valverde,Central Midfield,"Jul 22, 1998",24,Uruguay,€100.00m
Eduardo Camavinga,Central Midfield,"Nov 10, 2002",20,France,€85.00m
Toni Kroos,Central Midfield,"Jan 4, 1990",33,Germany,€15.00m
Dani Ceballos,Central Midfield,"Aug 7, 1996",26,Spain,€12.00m
Luka Modric,Central Midfield,"Sep 9, 1985",37,Croatia,€10.00m
Carlos Dotor,Central Midfield,"Mar 15, 2001",22,Spain,€700k
Sergio Arribas,Attacking Midfield,"Sep 30, 2001",21,Spain,€5.00m
Nico Paz,Attacking Midfield,"Sep 8, 2004",18,Argentina,€2.00m
Vinicius Junior,Left Winger,"Jul 12, 2000",22,Brazil,€150.00m
Eden Hazard,Left Winger,"Jan 7, 1991",32,Belgium,€5.00m
Rodrygo,Right Winger,"Jan 9, 2001",22,Brazil,€100.00m
Marco Asensio,Right Winger,"Jan 21, 1996",27,Spain,€25.00m
Karim Benzema,Centre-Forward,"Dec 19, 1987",35,France,€25.00m
Álvaro Rodríguez,Centre-Forward,"Jul 14, 2004",18,Uruguay,€6.00m
Mariano Díaz,Centre-Forward,"Aug 1, 1993",29,Dominican Republic,€2.50m
