Name,Position,Date of Birth,Age,Nationality,Market Value
Bono,Goalkeeper,"Apr 5, 1991",32,Morocco,€12.00m
Marko Dmitrovic,Goalkeeper,"Jan 24, 1992",31,Serbia,€4.00m
Alberto Flores,Goalkeeper,"Nov 10, 2003",19,Spain,€200k
Matías Árbol,Goalkeeper,"Sep 12, 2002",20,Spain,€50k
Marius Herzig,Goalkeeper,"Dec 17, 1999",23,Germany,-
Loïc Badé,Centre-Back,"Apr 11, 2000",23,France,€12.00m
Tanguy Nianzou,Centre-Back,"Jun 7, 2002",21,France,€7.50m
Marcão,Centre-Back,"Jun 5, 1996",27,Brazil,€7.50m
Karim Rekik,Centre-Back,"Dec 2, 1994",28,Netherlands,€4.00m
Nemanja Gudelj,Centre-Back,"Nov 16, 1991",31,Serbia,€4.00m
Kike Salas,Centre-Back,"Apr 23, 2002",21,Spain,€1.00m
Marcos Acuña,Left-Back,"Oct 28, 1991",31,Argentina,€10.00m
Alex Telles,Left-Back,"Dec 15, 1992",30,Brazil,€7.50m
Pablo Pérez,Left-Back,"Aug 18, 2001",21,Spain,€200k
Diego Hormigo,Left-Back,"Apr 16, 2003",20,Spain,€100k
Gonzalo Montiel,Right-Back,"Jan 1, 1997",26,Argentina,€12.00m
José Ángel Carmona,Right-Back,"Jan 29, 2002",21,Spain,€4.00m
Jesús Navas,Right-Back,"Nov 21, 1985",37,Spain,€3.00m
Pape Gueye,Defensive Midfield,"Jan 24, 1999",24,Senegal,€10.00m
Fernando,Defensive Midfield,"Jul 25, 1987",35,Brazil,€3.00m
Pedro Ortiz,Defensive Midfield,"Aug 19, 2000",22,Spain,€200k
Joan Jordán,Central Midfield,"Jul 6, 1994",28,Spain,€9.00m
Óliver Torres,Central Midfield,"Nov 10, 1994",28,Spain,€9.00m
Ivan Rakitic,Central Midfield,"Mar 10, 1988",35,Croatia,€4.00m
Thomas Delaney,Central Midfield,"Sep 3, 1991",31,Denmark,€2.00m
Manu Bueno,Central Midfield,"Jul 27, 2004",18,Spain,€300k
Xavi Sintes,Central Midfield,"Aug 5, 2001",21,Spain,€150k
Isco,Attacking Midfield,"Apr 21, 1992",31,Spain,€5.00m
Carlos Álvarez,Attacking Midfield,"Aug 6, 2003",19,Spain,€400k
Nacho Quintana,Attacking Midfield,"Feb 23, 2001",22,Spain,€200k
Lucas Ocampos,Left Winger,"Jul 11, 1994",28,Argentina,€12.00m
Papu Gómez,Left Winger,"Feb 15, 1988",35,Argentina,€3.00m
Bryan Gil,Right Winger,"Feb 11, 2001",22,Spain,€15.00m
Erik Lamela,Right Winger,"Mar 4, 1992",31,Argentina,€9.00m
Jesús Corona,Right Winger,"Jan 6, 1993",30,Mexico,€8.00m
Adnan Januzaj,Right Winger,"Feb 5, 1995",28,Belgium,€6.00m
Suso,Right Winger,"Nov 19, 1993",29,Spain,€6.00m
Munir El Haddadi,Right Winger,"Sep 1, 1995",27,Morocco,€3.50m
Youssef En-Nesyri,Centre-Forward,"Jun 1, 1997",26,Morocco,€20.00m
Rafa Mir,Centre-Forward,"Jun 18, 1997",26,Spain,€10.00m
Kasper Dolberg,Centre-Forward,"Oct 6, 1997",25,Denmark,€7.00m
Iván Romero,Centre-Forward,"Apr 10, 2001",22,Spain,€800k
