Name,Position,Date of Birth,Age,Nationality,Market Value
Fernando Pacheco,Goalkeeper,"May 18, 1992",31,Spain,€2.50m
Fernando Martínez,Goalkeeper,"Jun 10, 1990",33,Spain,€2.00m
Diego Mariño,Goalkeeper,"May 9, 1990",33,Spain,€300k
Diego Fuoli,Goalkeeper,"Oct 20, 1997",25,Spain,€200k
Srdjan Babic,Centre-Back,"Apr 22, 1996",27,Serbia,€3.50m
Kaiky,Centre-Back,"Jan 12, 2004",19,Brazil,€3.00m
Rodrigo Ely,Centre-Back,"Nov 3, 1993",29,Brazil,€3.00m
Chumi,Centre-Back,"Mar 2, 1999",24,Spain,€2.00m
Sergio Akieme,Left-Back,"Dec 16, 1997",25,Spain,€7.50m
Álex Centelles,Left-Back,"Aug 30, 1999",23,Spain,€1.50m
Alejandro Pozo,Right-Back,"Feb 22, 1999",24,Spain,€3.00m
Houboulang Mendes,Right-Back,"May 4, 1998",25,Guinea-Bissau,€2.00m
Samú Costa,Defensive Midfield,"Nov 27, 2000",22,Portugal,€5.00m
Iñigo Eguaras,Defensive Midfield,"Mar 7, 1992",31,Spain,€1.20m
Lucas Robertone,Central Midfield,"Mar 18, 1997",26,Argentina,€7.00m
Gonzalo Melero,Central Midfield,"Jan 2, 1994",29,Spain,€4.00m
Arnau Puigmal,Central Midfield,"Jan 10, 2001",22,Spain,€2.00m
Gui Guedes,Central Midfield,"Apr 17, 2002",21,Portugal,€1.20m
César de la Hoz,Central Midfield,"Mar 30, 1992",31,Spain,€1.20m
Martin Svidersky,Central Midfield,"Oct 4, 2002",20,Slovakia,€500k
Marcos Peña,Central Midfield,"Jan 22, 2005",18,Spain,-
Largie Ramazani,Left Winger,"Feb 27, 2001",22,Belgium,€6.00m
Lázaro,Left Winger,"Mar 12, 2002",21,Brazil,€6.00m
José Carlos Lazo,Left Winger,"Feb 16, 1996",27,Spain,€2.50m
Adrián Embarba,Right Winger,"May 7, 1992",31,Spain,€2.50m
Francisco Portillo,Right Winger,"Jun 13, 1990",33,Spain,€1.50m
Curro Sánchez,Right Winger,"Jan 3, 1996",27,Spain,€1.00m
Arvin Appiah,Right Winger,"Jan 5, 2001",22,England,€500k
Carlos Rojas,Right Winger,"Apr 18, 2002",21,Spain,-
Umar Sadiq,Centre-Forward,"Feb 2, 1997",26,Nigeria,€18.00m
El Bilal Touré,Centre-Forward,"Oct 3, 2001",21,Mali,€12.00m
Luis Suárez,Centre-Forward,"Dec 2, 1997",25,Colombia,€8.00m
Léo Baptistão,Centre-Forward,"Aug 26, 1992",30,Brazil,€1.80m
Marko Milovanovic,Centre-Forward,"Aug 4, 2003",19,Serbia,€1.00m
Dyego Sousa,Centre-Forward,"Sep 14, 1989",33,Portugal,€800k
Marciano Sanca,Centre-Forward,"Mar 3, 2004",19,Guinea-Bissau,-
