Name,Position,Date of Birth,Age,Nationality,Market Value
Giorgi Mamardashvili,Goalkeeper,"Sep 29, 2000",22,Georgia,€25.00m
Jaume Doménech,Goalkeeper,"Nov 5, 1990",32,Spain,€1.00m
Iago Herrerín,Goalkeeper,"Jan 25, 1988",35,Spain,€500k
Emilio Bernad,Goalkeeper,"Sep 22, 1999",23,Spain,€300k
Cristian Rivero,Goalkeeper,"Mar 21, 1998",25,Spain,€200k
Charlie Pérez,Goalkeeper,"Jun 7, 2002",21,Spain,€25k
Mouctar Diakhaby,Centre-Back,"Dec 19, 1996",26,Guinea,€6.00m
Cenk Özkacar,Centre-Back,"Oct 6, 2000",22,Türkiye,€5.00m
Eray Cömert,Centre-Back,"Feb 4, 1998",25,Switzerland,€3.50m
Gabriel Paulista,Centre-Back,"Nov 26, 1990",32,Brazil,€2.50m
Cristhian Mosquera,Centre-Back,"Jun 27, 2004",19,Spain,€1.00m
Rubén Iranzo,Centre-Back,"Mar 14, 2003",20,Spain,€200k
José Gayà,Left-Back,"May 25, 1995",28,Spain,€30.00m
Jesús Vázquez,Left-Back,"Jan 2, 2003",20,Spain,€3.00m
Toni Lato,Left-Back,"Nov 21, 1997",25,Spain,€2.50m
Thierry Correia,Right-Back,"Mar 9, 1999",24,Portugal,€8.00m
Dimitri Foulquier,Right-Back,"Mar 23, 1993",30,Guadeloupe,€2.50m
Hugo Guillamón,Defensive Midfield,"Jan 31, 2000",23,Spain,€14.00m
Uroš Račić,Defensive Midfield,"Mar 17, 1998",25,Serbia,€6.50m
Carlos Soler,Central Midfield,"Jan 2, 1997",26,Spain,€25.00m
André Almeida,Central Midfield,"May 30, 2000",23,Portugal,€20.00m
Yunus Musah,Central Midfield,"Nov 29, 2002",20,United States,€18.00m
Nico González,Central Midfield,"Jan 3, 2002",21,Spain,€10.00m
Ilaix Moriba,Central Midfield,"Jan 19, 2003",20,Guinea,€4.00m
Javi Guerra,Central Midfield,"May 13, 2003",20,Spain,€2.00m
Koba Koindredi,Central Midfield,"Oct 27, 2001",21,France,€1.00m
Tiago Ribeiro,Central Midfield,"Mar 14, 2002",21,Portugal,€200k
Yellu Santiago,Central Midfield,"May 25, 2004",19,Spain,€100k
Samuel Lino,Left Winger,"Dec 23, 1999",23,Brazil,€16.00m
Justin Kluivert,Left Winger,"May 5, 1999",24,Netherlands,€14.00m
Diego López,Left Winger,"May 13, 2002",21,Spain,€1.50m
Samu Castillejo,Right Winger,"Jan 18, 1995",28,Spain,€6.00m
Fran Pérez,Right Winger,"Sep 9, 2002",20,Spain,€500k
Manu Vallejo,Second Striker,"Feb 14, 1997",26,Spain,€2.40m
Maxi Gómez,Centre-Forward,"Aug 14, 1996",26,Uruguay,€7.00m
Hugo Duro,Centre-Forward,"Nov 10, 1999",23,Spain,€4.00m
Edinson Cavani,Centre-Forward,"Feb 14, 1987",36,Uruguay,€3.00m
Marcos André,Centre-Forward,"Oct 20, 1996",26,Brazil,€2.50m
Alberto Marí,Centre-Forward,"Jul 11, 2001",21,Spain,€800k
Mario Dominguez,Centre-Forward,"Feb 10, 2004",19,Spain,€25k
