,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Position,Date of Birth,Age,Nationality,Market Value
0,Florian Sotoca,309,Lens,32," M(CR),FW  ",34(4),3064,9,1.6,36.6,80.1,0.5,2.2,0.2,7.13,7,4,0,2.3,1.5,4,0.4,1.2,0.2,0.7,1.2,1.0,0.8,1.0,0.0,1.3,0.7,0.1,0,Centre-Forward,"Oct 25, 1990",32,France,€4.00m
1,Seko Fofana,309,Lens,28, M(C)  ,34(1),3079,5,1.0,50.3,89.3,0.4,2.1,0.1,7.1,7,2,0,2.4,0.6,4,1.7,1.3,0.1,1.2,1.7,0.8,0.5,0.6,0.0,0.4,0.7,0.1,0,Central Midfield,"May 7, 1995",28,Cote d'Ivoire,€32.00m
2,Przemyslaw Frankowski,309,Lens,28," D(R),M(CLR)  ",31(6),2838,3,1.8,36.1,82.1,1.7,1.4,0.0,7.03,5,4,0,0.8,0.3,3,0.4,0.5,0.2,0.4,0.8,2.1,1.1,0.9,0.1,0.9,1.1,0.2,0,Right Midfield,"Apr 12, 1995",28,Poland,€9.00m
3,Loïs Openda,309,Lens,23, FW  ,29(9),2529,4,0.6,10.6,71.2,0.1,0.2,0.1,6.99,21,2,0,2.7,0.3,6,0.5,1.2,0.6,0.6,1.6,0.3,0.1,1.1,0.0,0.2,0.3,0.0,0,Centre-Forward,"Feb 16, 2000",23,Belgium,€35.00m
4,Jonathan Gradit,309,Lens,30, D(CR)  ,33,2830,3,0.4,62.5,90.2,0.2,3.1,0.1,6.95,1,7,0,0.2,1.5,0,0.4,1.2,0.0,0.3,0.5,1.9,1.2,0.9,0.3,2.5,0.7,0.8,0,Centre-Back,"Nov 24, 1992",30,France,€5.00m
5,Kevin Danso,309,Lens,24, D(C)  ,37,3234,2,0.3,62.9,90.1,0.0,2.6,0.0,6.94,1,7,1,0.6,2.3,2,0.5,1.5,0.1,0.5,0.5,1.0,0.9,1.1,0.7,3.3,0.3,0.9,0,Centre-Back,"Sep 19, 1998",24,Austria,€22.00m
6,Adrien Thomasson,309,Lens,29, M(CLR)  ,16(4),1288,5,1.0,27.1,80.3,0.2,0.9,0.1,6.92,5,1,0,1.1,0.6,0,0.6,0.9,0.3,0.9,1.3,1.2,0.2,1.1,0.0,0.8,1.7,0.1,0,Attacking Midfield,"Dec 10, 1993",29,France,€6.00m
7,Facundo Medina,309,Lens,24, D(CL)  ,32,2784,4,0.5,76.8,90.8,0.3,3.0,0.1,6.8,2,7,0,0.6,1.2,1,0.8,0.6,0.0,0.7,0.7,1.0,0.8,1.1,0.2,1.8,0.7,0.3,0,Centre-Back,"May 28, 1999",24,Argentina,€22.00m
8,Salis Abdul Samed,309,Lens,23, DMC  ,33,2897,1,0.5,59.4,92.6,0.1,1.4,0.2,6.79,1,6,1,0.4,0.4,0,0.9,1.2,0.0,1.0,1.2,1.4,1.1,2.2,0.0,0.7,0.7,0.3,1,Defensive Midfield,"Mar 26, 2000",23,Ghana,€18.00m
9,Brice Samba,309,Lens,29, GK  ,37,3330,0,0.1,29.6,73.0,0.0,6.2,0.0,6.77,0,3,0,0.0,0.2,1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,Goalkeeper,"Apr 25, 1994",29,France,€13.00m
