,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
18,Branco van den Boomen,246,Toulouse,27,DM,32(3),2893,8,2.5,54.2,83.0,2.5,7.3,0.2,7.08,5,6,0,1.5,0.2,1,0.5,0.5,0.1,0.3,0.9,2.0,0.3,0.9,0.0,0.7,1.5,0.1,0
25,Maxence Caqueret,228,Lyon,23,DM,32(4),2778,7,1.7,46.5,86.3,0.8,1.4,0.1,7.04,4,2,0,0.7,0.4,2,1.1,0.9,0.1,1.3,1.9,2.4,1.1,1.3,0.0,0.8,1.8,0.1,0
55,Khéphren Thuram,613,Nice,22,DM,30(5),2560,4,1.0,37.7,86.9,0.1,1.2,0.1,6.91,2,3,0,1.1,0.5,1,1.3,0.5,0.1,1.0,0.9,1.5,1.1,0.9,0.0,0.9,0.7,0.4,0
57,Azor Matusiwa,950,Reims,25,DM,29(1),2492,0,0.8,53.3,85.7,0.0,3.8,0.0,6.89,0,4,0,0.4,1.1,0,0.5,1.1,0.0,0.4,0.8,2.2,1.5,1.4,0.0,1.6,0.8,0.4,0
58,Youssouf Fofana,248,Monaco,24,DM,35(1),3089,2,0.9,47.7,82.5,0.0,2.6,0.2,6.89,2,1,2,1.2,0.6,0,1.3,1.1,0.1,1.1,1.3,2.3,1.6,1.4,0.0,0.9,1.0,0.2,1
71,Baptiste Santamaría,313,Rennes,28,DM,20(5),1815,0,0.5,52.3,85.5,0.0,3.9,0.0,6.84,2,2,0,0.8,2.4,1,0.4,0.8,0.0,0.4,1.2,1.6,0.8,0.9,0.0,0.9,0.8,0.2,0
94,Johan Gastien,941,Clermont Foot,35,DM,29(2),2607,3,0.9,65.3,84.7,0.7,5.3,0.1,6.79,4,7,0,0.6,0.3,2,0.3,1.1,0.0,0.4,0.8,2.0,1.2,0.6,0.1,0.7,2.4,0.2,0
96,Salis Abdul Samed,309,Lens,23,DM,33,2897,1,0.5,59.4,92.6,0.1,1.4,0.2,6.79,1,6,1,0.4,0.4,0,0.9,1.2,0.0,1.0,1.2,1.4,1.1,2.2,0.0,0.7,0.7,0.3,1
100,Mohamed Camara,248,Monaco,23,DM,25(4),2200,3,0.6,43.8,87.6,0.1,3.4,0.1,6.78,0,6,1,0.9,0.5,1,0.8,2.0,0.0,0.9,1.2,2.9,0.9,1.6,0.1,0.4,1.5,0.2,0
103,Rominigue Kouamé,229,Troyes,26,DM,31(1),2669,1,0.7,43.6,89.1,0.1,2.3,0.1,6.77,1,9,0,0.8,0.7,1,1.6,1.5,0.0,0.8,1.2,1.4,1.5,1.6,0.0,1.4,0.8,0.3,0
127,Laurent Abergel,146,Lorient,30,DM,28(1),2351,1,0.5,50.8,88.7,0.0,2.3,0.2,6.72,0,5,1,0.4,0.3,0,0.8,1.0,0.0,0.7,1.0,3.2,1.2,1.0,0.0,1.2,1.8,0.3,0
145,Joris Chotard,311,Montpellier,21,DM,26(9),2461,6,0.8,30.1,81.3,0.3,2.1,0.1,6.67,0,4,0,0.3,0.4,1,0.4,0.5,0.1,0.3,0.6,1.8,1.1,0.9,0.1,1.0,1.1,0.3,0
167,Xavier Chavalerin,229,Troyes,32,DM,25(9),2422,2,0.6,30.0,83.7,0.3,1.3,0.1,6.62,4,3,0,0.8,0.5,0,0.3,0.4,0.1,0.4,0.7,2.4,1.2,0.9,0.0,0.6,1.3,0.2,0
171,Jens Cajuste,950,Reims,23,DM,14(17),1529,1,0.5,23.5,82.8,0.0,1.5,0.0,6.61,3,7,1,0.9,0.4,0,1.3,0.9,0.0,0.7,0.9,1.5,0.6,1.1,0.1,0.7,0.7,0.2,0
183,Birama Touré,308,Auxerre,31,DM,38,3405,0,0.1,39.9,81.1,0.1,3.5,0.0,6.59,2,3,0,0.7,1.5,0,0.3,0.6,0.0,0.4,1.0,2.1,1.8,1.3,0.0,1.2,1.6,0.2,0
210,Pedro Chirivella,302,Nantes,26,DM,25(1),2042,1,0.9,51.5,86.6,0.0,4.7,0.0,6.52,0,1,0,0.6,0.3,0,0.3,0.7,0.0,0.2,0.2,1.3,0.8,0.8,0.0,0.2,1.0,0.0,0
