,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
8,Benjamin André,607,Lille,32,D,33(1),2919,1,0.6,67.6,84.3,0.0,5.2,0.1,7.16,1,12,0,0.7,2.7,3,0.6,1.1,0.0,1.0,1.1,3.8,1.4,1.7,0.1,1.6,1.6,0.2,0
16,Andrei Girotto,302,Nantes,31,D,36,3153,1,0.4,48.1,83.0,0.1,4.4,0.0,7.09,1,7,0,0.8,2.2,4,0.1,0.9,0.0,0.2,0.3,3.4,2.0,1.5,0.3,4.8,1.6,0.7,0
23,Fabien Centonze,302,Nantes,27,D,19(4),1693,0,0.5,32.0,79.3,0.6,1.4,0.0,7.06,0,4,0,0.6,1.4,1,1.7,0.9,0.0,0.5,1.1,2.5,1.9,0.6,0.1,2.3,0.5,0.3,0
24,Nuno Mendes,304,Paris Saint-Germain,21,D,18(5),1554,5,1.0,35.9,86.9,0.3,0.6,0.1,7.04,1,2,0,0.4,0.4,0,1.2,1.5,0.2,0.7,1.3,2.0,0.7,1.1,0.1,0.7,0.5,0.1,0
29,Przemyslaw Frankowski,309,Lens,28,D,31(6),2838,3,1.8,36.1,82.1,1.7,1.4,0.0,7.03,5,4,0,0.8,0.3,3,0.4,0.5,0.2,0.4,0.8,2.1,1.1,0.9,0.1,0.9,1.1,0.2,0
31,Valentin Rongier,249,Marseille,28,D,34(2),3034,2,0.9,58.0,88.5,0.1,2.6,0.1,7.0,1,8,0,0.6,1.2,1,0.8,0.8,0.0,0.8,0.9,2.6,1.5,1.4,0.0,0.9,1.0,0.3,0
38,Jonathan Clauss,249,Marseille,30,D,32(2),2604,9,1.4,33.4,75.8,0.9,1.4,0.1,6.95,2,1,0,1.4,0.3,2,0.9,0.4,0.1,0.5,1.4,1.4,0.9,0.7,0.1,1.1,0.9,0.1,0
39,Jonathan Gradit,309,Lens,30,D,33,2830,3,0.4,62.5,90.2,0.2,3.1,0.1,6.95,1,7,0,0.2,1.5,0,0.4,1.2,0.0,0.3,0.5,1.9,1.2,0.9,0.3,2.5,0.7,0.8,0
40,Dante,613,Nice,39,D,37,3300,2,0.3,71.0,90.1,0.0,4.2,0.1,6.94,1,6,0,0.6,2.0,0,0.2,0.5,0.0,0.2,0.4,1.9,1.3,1.0,0.3,3.3,0.6,0.8,0
41,Yunis Abdelhamid,950,Reims,35,D,37,3330,2,0.4,54.3,83.1,0.0,2.9,0.0,6.94,1,6,0,0.9,2.5,1,0.6,0.8,0.1,0.6,0.7,2.2,1.7,1.3,0.6,3.1,0.4,0.7,0
