,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
9,Benjamin Lecomte,311,Montpellier,32,GK,19,1710,0,0.1,29.9,60.0,0.0,7.5,0.0,7.15,0,0,0,0.0,0.3,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0
44,Yehvann Diouf,950,Reims,23,GK,31,2790,0,0.0,28.0,76.4,0.0,6.2,0.0,6.94,0,2,0,0.0,0.5,2,0.1,0.3,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.7,0.1,0.0,0
62,Gianluigi Donnarumma,304,Paris Saint-Germain,24,GK,38,3410,0,0.0,20.2,84.0,0.0,1.9,0.0,6.88,0,3,0,0.0,0.3,3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0
80,Mory Diaw,941,Clermont Foot,30,GK,37,3330,0,0.1,34.9,66.8,0.0,8.4,0.0,6.82,0,0,0,0.0,0.1,3,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.1,0.0,0
86,Pau López,249,Marseille,28,GK,32(1),2925,2,0.1,29.7,76.0,0.0,5.4,0.0,6.81,0,3,0,0.0,0.3,1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.6,0.0,0.0,0
87,Alban Lafont,302,Nantes,24,GK,37,3330,0,0.0,26.7,64.6,0.0,6.1,0.0,6.81,0,0,1,0.0,0.2,5,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0
90,Maxime Dupé,246,Toulouse,30,GK,38,3420,0,0.0,28.8,75.2,0.0,4.8,0.0,6.8,0,1,0,0.0,0.3,4,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0
98,Kasper Schmeichel,613,Nice,36,GK,36,3240,0,0.1,29.7,74.9,0.0,7.4,0.0,6.79,0,0,0,0.0,0.1,2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0
104,Brice Samba,309,Lens,29,GK,37,3330,0,0.1,29.6,73.0,0.0,6.2,0.0,6.77,0,3,0,0.0,0.2,1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0
134,Steve Mandanda,313,Rennes,38,GK,34,3016,1,0.0,30.8,71.9,0.0,6.4,0.0,6.7,0,1,0,0.0,0.2,2,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.4,0.1,0.0,0
135,Marco Bizot,2332,Brest,32,GK,37,3330,0,0.0,25.2,68.2,0.0,6.2,0.0,6.7,0,4,0,0.0,0.1,3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
143,Anthony Lopes,228,Lyon,32,GK,32,2817,0,0.0,27.7,74.3,0.0,4.8,0.0,6.69,0,2,1,0.0,0.1,0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.6,0.1,0.0,0
144,Alexander Nübel,248,Monaco,26,GK,38,3420,0,0.0,24.7,69.4,0.0,6.8,0.0,6.68,0,2,0,0.0,0.2,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0
164,Lucas Chevalier,607,Lille,21,GK,32,2880,0,0.1,27.7,74.2,0.0,3.5,0.0,6.63,0,1,0,0.0,0.1,0,0.0,0.2,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.4,0.0,0.0,0
168,Matz Sels,148,Strasbourg,31,GK,38,3420,0,0.0,22.1,60.1,0.0,5.1,0.0,6.61,0,2,0,0.0,0.2,2,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.9,0.0,0.0,0
177,Gauthier Gallon,229,Troyes,30,GK,30,2668,0,0.0,26.8,61.1,0.0,4.6,0.0,6.6,0,3,1,0.0,0.5,1,0.0,0.2,0.0,0.0,0.0,0.1,0.1,0.1,0.0,1.2,0.1,0.0,0
180,Yvon Mvogo,146,Lorient,29,GK,21,1813,0,0.0,25.4,71.5,0.0,5.2,0.0,6.59,0,0,0,0.0,0.2,0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0
248,Paul Bernardoni,614,Angers,26,GK,27,2430,0,0.0,20.0,58.3,0.0,4.0,0.0,6.4,0,0,0,0.0,0.3,1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0
283,Benoît Costil,308,Auxerre,35,GK,19,1710,0,0.0,27.3,66.5,0.0,8.4,0.0,6.32,0,0,0,0.0,0.1,0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.5,0.1,0.0,0
300,Benjamin Leroy,610,AC Ajaccio,34,GK,32,2799,0,0.0,24.8,57.6,0.0,7.3,0.0,6.26,0,1,0,0.0,0.1,1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0
