,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
3,Alexandre Lacazette,228,Lyon,32,M,34(1),2938,5,1.4,24.9,75.5,0.1,0.8,0.1,7.42,27,3,0,3.3,0.8,5,1.1,1.6,0.4,1.3,1.9,1.2,0.4,1.8,0.0,0.1,0.5,0.1,0
4,Rémy Cabella,607,Lille,33,M,28(4),2535,10,3.2,49.1,84.3,1.6,0.9,0.2,7.38,7,3,0,1.3,0.3,5,1.3,1.4,0.1,1.1,1.5,2.0,0.5,0.8,0.0,0.2,1.1,0.2,0
5,Téji Savanier,311,Montpellier,31,M,30,2557,4,1.9,47.3,77.9,1.7,4.9,0.1,7.28,12,4,3,2.1,0.4,7,2.4,3.2,0.0,1.7,2.4,1.5,1.0,1.9,0.0,0.4,1.6,0.1,0
6,Enzo Le Fée,146,Lorient,23,M,35,3039,5,1.9,56.1,84.7,0.9,3.0,0.1,7.26,5,5,0,1.3,0.3,5,1.9,1.8,0.1,1.6,2.1,3.1,1.0,1.2,0.0,0.9,2.0,0.1,0
10,Benjamin Bourigeaud,313,Rennes,29,M,37,3084,10,2.6,46.6,80.8,2.0,3.1,0.2,7.15,7,4,1,2.0,0.3,4,0.4,0.4,0.1,0.5,0.9,1.2,0.8,0.9,0.1,0.7,1.2,0.1,0
11,Florian Sotoca,309,Lens,32,M,34(4),3064,9,1.6,36.6,80.1,0.5,2.2,0.2,7.13,7,4,0,2.3,1.5,4,0.4,1.2,0.2,0.7,1.2,1.0,0.8,1.0,0.0,1.3,0.7,0.1,0
14,Aleksandr Golovin,248,Monaco,27,M,29(5),2484,7,1.7,28.4,74.8,1.0,1.3,0.1,7.11,8,5,0,1.4,0.5,3,0.8,0.7,0.2,0.9,1.4,1.8,1.1,1.1,0.0,0.2,1.3,0.0,0
15,Seko Fofana,309,Lens,28,M,34(1),3079,5,1.0,50.3,89.3,0.4,2.1,0.1,7.1,7,2,0,2.4,0.6,4,1.7,1.3,0.1,1.2,1.7,0.8,0.5,0.6,0.0,0.4,0.7,0.1,0
20,Jean-Ricner Bellegarde,148,Strasbourg,24,M,29(1),2428,6,1.9,36.3,81.6,1.5,1.5,0.1,7.07,2,5,0,1.3,0.7,5,1.9,2.4,0.0,1.5,2.1,1.6,0.9,1.2,0.0,0.6,0.5,0.1,0
26,Alexis Sánchez,249,Marseille,34,M,32(3),2699,3,1.6,25.3,75.8,0.2,1.3,0.1,7.04,14,3,0,1.9,1.0,6,1.2,1.3,0.8,1.8,2.4,0.8,0.1,1.3,0.0,0.2,0.6,0.0,0
