,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
28,Nabil Bentaleb,614,Angers,28, M(C)  ,29(1),2492,4,1.1,58.3,85.2,0.7,4.0,0.1,7.03,4,5,1,1.4,1.0,4,2.1,1.8,0.0,1.2,1.5,2.5,1.5,1.3,0.1,0.9,0.8,0.4,0
102,Himad Abdelli,614,Angers,23," AM(CL),FW  ",24(6),2141,2,1.2,40.1,85.1,0.4,2.1,0.1,6.78,2,3,0,0.8,0.6,3,1.4,1.0,0.0,0.7,1.2,2.1,0.9,1.4,0.0,0.4,1.2,0.0,0
187,Yan Valery,614,Angers,24," D(CR),M(R)  ",30,2504,0,0.4,33.5,78.2,0.6,1.7,0.0,6.57,0,3,0,0.4,1.2,0,1.1,0.7,0.0,1.0,1.2,1.8,1.1,1.5,0.3,2.6,0.6,0.5,0
244,Miha Blazic,614,Angers,30, D(C)  ,22(2),1980,0,0.0,49.0,87.6,0.0,3.7,0.0,6.42,2,4,0,0.3,1.9,0,0.0,0.7,0.0,0.0,0.1,0.3,0.9,0.5,0.5,3.2,0.3,0.8,1
248,Paul Bernardoni,614,Angers,26, GK  ,27,2430,0,0.0,20.0,58.3,0.0,4.0,0.0,6.4,0,0,0,0.0,0.3,1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0
253,Souleyman Doumbia,614,Angers,26," D(L),M(L)  ",21(3),1793,0,0.5,31.3,80.5,0.5,0.9,0.0,6.39,0,2,1,0.3,0.8,0,1.1,0.8,0.1,0.4,1.2,1.9,1.1,1.1,0.4,0.8,0.6,0.1,0
261,Abdallah Sima,614,Angers,22," AM(R),FW  ",19(15),1833,1,0.5,10.3,76.1,0.1,0.1,0.0,6.38,5,0,0,1.1,1.3,0,0.6,0.7,0.4,0.9,1.8,0.6,0.1,0.9,0.0,0.5,0.4,0.0,1
263,Adrien Hunou,614,Angers,29," AM(CLR),FW  ",28(6),2248,1,0.5,21.1,78.0,0.1,0.3,0.0,6.37,4,2,0,1.3,0.6,0,0.4,1.3,0.1,0.7,1.7,1.1,0.2,0.4,0.0,0.2,0.9,0.0,0
264,Cédric Hountondji,614,Angers,29, D(C)  ,35(1),3097,0,0.1,39.9,86.8,0.0,2.2,0.0,6.37,0,7,0,0.3,1.8,0,0.0,0.3,0.0,0.1,0.2,1.4,1.6,1.2,0.6,3.5,0.3,0.6,2
265,Pierrick Capelle,614,Angers,36," D(L),M(CLR)  ",15(11),1424,3,0.5,24.9,86.6,0.5,1.0,0.0,6.36,0,8,0,0.6,0.5,0,0.5,0.2,0.0,0.8,1.3,1.4,0.6,1.2,0.0,0.8,1.3,0.1,0
267,Batista Mendy,614,Angers,23," D(C),DMC  ",35,2871,0,0.5,40.5,86.7,0.1,1.9,0.1,6.35,0,6,1,0.4,0.8,0,1.1,1.2,0.0,0.8,0.7,2.0,0.6,1.9,0.0,0.7,0.5,0.2,0
268,Amine Salama,614,Angers,22, FW  ,12(13),1245,1,0.4,12.3,75.9,0.1,0.1,0.0,6.35,3,1,0,1.0,0.3,0,0.9,0.4,0.2,0.8,1.9,0.4,0.4,0.3,0.0,0.1,0.4,0.1,0
296,Sada Thioub,614,Angers,28," D(R),M(LR)  ",11(16),1056,2,0.6,16.9,82.5,0.6,0.3,0.0,6.26,1,3,0,0.3,0.2,0,0.6,0.2,0.0,0.7,0.6,0.7,0.3,0.5,0.0,0.1,0.3,0.0,0
307,Abdoulaye Bamba,614,Angers,33," D(CLR),M(R)  ",12(9),1359,0,0.2,30.9,88.9,0.1,1.2,0.0,6.2,0,2,0,0.0,0.8,0,0.2,0.6,0.2,0.2,0.4,1.0,0.9,0.5,0.3,1.7,0.1,0.1,0
