,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
14,Aleksandr Golovin,248,Monaco,27, M(CLR)  ,29(5),2484,7,1.7,28.4,74.8,1.0,1.3,0.1,7.11,8,5,0,1.4,0.5,3,0.8,0.7,0.2,0.9,1.4,1.8,1.1,1.1,0.0,0.2,1.3,0.0,0
22,Wissam Ben Yedder,248,Monaco,32," AM(C),FW  ",28(4),2130,6,0.8,18.2,76.5,0.1,0.3,0.0,7.07,19,4,0,2.3,0.5,4,0.7,0.7,0.7,1.0,1.1,0.5,0.1,0.6,0.0,0.0,0.3,0.0,0
48,Vanderson,248,Monaco,22," D(R),M(R)  ",24(7),2220,4,0.9,35.2,77.9,0.7,2.2,0.0,6.93,1,3,1,0.8,0.9,2,0.9,0.6,0.1,0.7,1.2,2.7,1.5,1.2,0.1,1.0,1.0,0.3,0
51,Caio Henrique,248,Monaco,25," D(L),M(CL)  ",32(3),2898,9,1.5,44.2,80.3,1.1,1.7,0.1,6.92,1,3,0,0.3,0.5,2,0.5,0.7,0.0,0.3,0.8,2.1,0.7,0.4,0.2,1.5,0.9,0.2,1
58,Youssouf Fofana,248,Monaco,24, DMC  ,35(1),3089,2,0.9,47.7,82.5,0.0,2.6,0.2,6.89,2,1,2,1.2,0.6,0,1.3,1.1,0.1,1.1,1.3,2.3,1.6,1.4,0.0,0.9,1.0,0.2,1
73,Axel Disasi,248,Monaco,25, D(C)  ,37(1),3330,3,0.2,50.5,83.8,0.1,3.7,0.0,6.83,3,3,0,0.8,2.6,1,0.6,0.3,0.0,0.4,0.5,0.8,1.5,0.8,0.4,2.9,0.4,0.8,0
75,Breel Embolo,248,Monaco,26," AM(CR),FW  ",19(13),1856,2,0.9,13.6,70.1,0.0,0.3,0.0,6.83,12,3,0,1.3,1.1,1,1.0,1.8,0.4,1.4,2.1,0.5,0.2,1.6,0.1,0.4,0.2,0.1,0
100,Mohamed Camara,248,Monaco,23, DMC  ,25(4),2200,3,0.6,43.8,87.6,0.1,3.4,0.1,6.78,0,6,1,0.9,0.5,1,0.8,2.0,0.0,0.9,1.2,2.9,0.9,1.6,0.1,0.4,1.5,0.2,0
101,Krépin Diatta,248,Monaco,24," M(CLR),FW  ",22(9),2079,2,0.8,22.4,79.4,0.5,0.4,0.0,6.78,4,3,0,1.3,1.3,1,1.0,0.8,0.3,0.6,1.5,1.0,0.5,0.6,0.0,0.4,0.6,0.0,0
107,Guillermo Maripán,248,Monaco,29, D(C)  ,25(1),2160,0,0.1,44.6,87.5,0.0,3.0,0.0,6.76,3,4,1,0.6,1.8,1,0.0,0.3,0.0,0.2,0.3,1.8,1.5,1.0,0.4,3.2,0.6,1.0,1
144,Alexander Nübel,248,Monaco,26, GK  ,38,3420,0,0.0,24.7,69.4,0.0,6.8,0.0,6.68,0,2,0,0.0,0.2,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0
159,Eliesse Ben Seghir,248,Monaco,18, FW  ,13(6),1060,1,0.7,22.5,79.6,0.0,0.5,0.1,6.64,4,1,0,1.1,0.5,1,0.7,1.8,0.2,1.2,2.1,0.9,0.2,0.9,0.0,0.0,0.4,0.1,0
274,Ruben Aguilar,248,Monaco,30," D(R),M(R)  ",14(6),1176,0,0.2,33.8,84.4,0.3,0.9,0.0,6.34,0,3,0,0.2,0.6,0,0.4,0.7,0.1,0.2,0.7,1.0,0.9,0.8,0.0,1.3,0.7,0.1,0
292,Eliot Matazo,248,Monaco,21, DMC  ,13(10),1176,0,0.1,21.2,81.8,0.0,1.5,0.0,6.29,1,2,0,0.2,0.4,0,0.2,0.5,0.0,0.5,0.4,1.1,0.7,0.8,0.0,0.4,0.7,0.2,0
294,Ismail Jakobs,248,Monaco,23," D(L),M(L)  ",9(23),1102,2,0.4,16.1,69.1,0.4,0.2,0.0,6.27,0,3,0,0.4,1.6,0,0.2,0.3,0.0,0.2,0.5,0.3,0.3,0.4,0.1,0.5,0.2,0.0,0
