,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
13,Gaëtan Laborde,613,Nice,29," AM(CLR),FW  ",28(5),2514,3,1.3,19.3,71.0,0.5,0.3,0.1,7.12,13,0,0,2.3,1.5,4,0.8,0.8,0.2,0.9,2.1,1.4,0.3,0.8,0.0,0.4,0.7,0.1,0
36,Hicham Boudaoui,613,Nice,23, M(CR)  ,22(5),1882,2,0.9,44.4,89.7,0.2,1.1,0.0,6.97,1,5,0,0.8,0.3,0,1.1,1.3,0.0,0.6,1.0,2.5,1.3,1.1,0.0,0.6,0.7,0.2,0
37,Nicolas Pépé,613,Nice,28," AM(LR),FW  ",17(2),1529,0,1.5,33.6,83.1,0.9,0.7,0.1,6.96,6,2,0,2.6,0.4,1,1.8,1.8,0.3,2.7,2.4,1.3,0.2,0.7,0.0,0.1,0.7,0.0,0
40,Dante,613,Nice,39, D(C)  ,37,3300,2,0.3,71.0,90.1,0.0,4.2,0.1,6.94,1,6,0,0.6,2.0,0,0.2,0.5,0.0,0.2,0.4,1.9,1.3,1.0,0.3,3.3,0.6,0.8,0
55,Khéphren Thuram,613,Nice,22," DMC,M(L)  ",30(5),2560,4,1.0,37.7,86.9,0.1,1.2,0.1,6.91,2,3,0,1.1,0.5,1,1.3,0.5,0.1,1.0,0.9,1.5,1.1,0.9,0.0,0.9,0.7,0.4,0
83,Jordan Lotomba,613,Nice,24," D(LR),M(R)  ",27(6),2456,2,0.5,34.7,85.2,0.4,0.6,0.1,6.82,0,4,0,0.4,0.8,2,1.2,0.9,0.0,0.7,1.2,2.0,1.0,0.7,0.2,1.4,0.5,0.3,0
98,Kasper Schmeichel,613,Nice,36, GK  ,36,3240,0,0.1,29.7,74.9,0.0,7.4,0.0,6.79,0,0,0,0.0,0.1,2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0
99,Jean-Clair Todibo,613,Nice,23, D(C)  ,33(1),2873,0,0.1,63.8,88.9,0.0,3.1,0.0,6.79,0,2,2,0.4,1.1,1,0.6,0.4,0.0,0.3,0.7,2.2,1.2,0.6,0.5,3.1,0.4,0.6,0
109,Melvin Bard,613,Nice,22," D(L),M(L)  ",28(5),2460,0,0.3,37.3,82.3,0.3,1.2,0.0,6.75,0,6,0,0.2,1.0,0,0.7,0.6,0.1,0.5,0.7,2.9,1.9,0.9,0.2,1.0,0.9,0.1,0
121,Sofiane Diop,613,Nice,23, AM(CLR)  ,14(8),1231,4,1.0,29.6,82.5,0.5,1.2,0.0,6.73,1,1,0,1.3,0.5,1,1.0,1.2,0.1,1.0,1.8,1.0,0.7,0.4,0.0,0.1,0.6,0.1,0
125,Badredine Bouanani,613,Nice,18, AM(R)  ,9(10),861,4,1.2,17.1,83.3,0.6,0.9,0.1,6.72,0,0,0,1.3,0.1,0,1.4,1.1,0.1,0.7,1.2,0.7,0.1,0.5,0.0,0.0,0.4,0.0,0
139,Aaron Ramsey,613,Nice,32, M(CLR)  ,18(9),1588,1,1.0,37.7,87.8,0.6,2.5,0.1,6.69,1,3,0,0.8,0.2,1,0.5,0.7,0.1,1.2,0.9,1.7,0.6,0.9,0.0,0.6,0.9,0.1,0
200,Ross Barkley,613,Nice,29, M(CLR)  ,9(18),923,2,1.1,16.5,83.6,0.5,0.8,0.0,6.54,4,1,0,1.4,0.1,0,0.4,0.6,0.0,0.9,0.4,0.6,0.3,0.5,0.0,0.2,0.2,0.1,0
251,Pablo Rosario,613,Nice,26," D(C),DMC  ",17(14),1760,1,0.6,33.2,89.4,0.1,1.6,0.0,6.4,0,6,0,0.3,0.5,0,0.2,0.4,0.0,0.4,0.7,1.5,0.7,0.6,0.2,1.0,0.5,0.2,0
256,Billal Brahimi,613,Nice,23," AM(L),FW  ",5(21),786,2,0.7,11.5,83.2,0.7,0.2,0.0,6.39,3,0,0,0.8,0.1,1,0.7,0.3,0.2,0.5,1.0,0.3,0.2,0.1,0.0,0.0,0.2,0.0,0
