,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
18,Branco van den Boomen,246,Toulouse,27, DMC  ,32(3),2893,8,2.5,54.2,83.0,2.5,7.3,0.2,7.08,5,6,0,1.5,0.2,1,0.5,0.5,0.1,0.3,0.9,2.0,0.3,0.9,0.0,0.7,1.5,0.1,0
42,Rasmus Nicolaisen,246,Toulouse,26, D(C)  ,34,2997,2,0.1,51.7,84.3,0.0,3.6,0.0,6.94,0,5,1,0.4,3.4,1,0.3,0.8,0.0,0.2,0.2,1.4,1.5,0.9,0.3,4.4,0.5,1.3,1
72,Rafael Ratão,246,Toulouse,27, AM(LR)  ,25(5),1871,4,1.0,24.2,77.7,0.3,0.8,0.1,6.84,5,2,0,1.0,0.3,1,1.3,1.1,0.1,1.0,1.9,1.7,0.7,0.9,0.0,0.2,1.5,0.0,0
85,Stijn Spierings,246,Toulouse,27, M(C)  ,35(1),3123,0,0.6,57.0,86.1,0.1,3.9,0.0,6.81,2,6,0,0.7,0.6,0,0.4,1.4,0.0,0.7,0.8,2.6,1.5,1.5,0.0,1.2,1.6,0.3,0
88,Mikkel Desler,246,Toulouse,28, D(R)  ,26(1),2262,2,0.6,48.8,86.2,0.3,1.3,0.0,6.8,1,4,1,0.4,0.9,1,1.0,1.2,0.2,0.6,1.5,2.6,1.3,1.0,0.0,1.7,0.9,0.2,0
90,Maxime Dupé,246,Toulouse,30, GK  ,38,3420,0,0.0,28.8,75.2,0.0,4.8,0.0,6.8,0,1,0,0.0,0.3,4,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0
136,Zakaria Aboukhlal,246,Toulouse,23, AM(LR)  ,28(9),2480,5,0.6,19.5,76.7,0.1,0.2,0.0,6.7,10,4,0,2.2,0.3,3,1.1,1.2,0.5,1.0,2.2,0.9,0.6,1.1,0.0,0.5,0.8,0.0,0
137,Farès Chaïbi,246,Toulouse,20, AM(CL)  ,24(12),2345,5,0.8,26.1,76.5,0.3,1.2,0.1,6.7,5,2,0,1.8,0.9,0,0.3,0.6,0.2,0.7,1.5,0.9,0.5,0.9,0.0,0.8,0.9,0.1,0
150,Anthony Rouault,246,Toulouse,22, D(C)  ,37,3316,0,0.1,55.4,87.5,0.0,3.5,0.0,6.65,2,2,1,0.5,2.4,2,0.1,0.5,0.0,0.1,0.6,1.8,1.5,0.6,0.5,3.4,0.8,0.7,1
154,Thijs Dallinga,246,Toulouse,22, FW  ,28(8),2363,1,0.6,13.9,65.0,0.0,0.3,0.0,6.65,12,4,0,1.7,1.6,1,0.3,0.5,0.6,0.5,1.1,0.2,0.1,1.0,0.0,0.6,0.3,0.1,0
216,Brecht Dejaegere,246,Toulouse,32, AM(C)  ,25(5),1827,1,0.6,21.1,81.0,0.0,0.8,0.2,6.5,4,5,0,0.8,0.3,0,0.6,1.2,0.0,0.6,1.2,1.3,0.5,1.3,0.0,0.3,1.2,0.2,0
271,Moussa Diarra,246,Toulouse,22, D(CL)  ,12(11),1222,1,0.3,24.3,83.9,0.2,0.8,0.0,6.35,0,0,0,0.0,0.7,0,0.4,0.7,0.0,0.2,1.0,0.9,0.8,0.8,0.1,1.1,0.3,0.4,0
272,Denis Genreau,246,Toulouse,24, AM(C)  ,7(13),654,1,0.3,15.2,78.2,0.2,0.4,0.0,6.35,0,3,0,0.4,0.3,0,0.4,0.2,0.2,0.3,0.7,1.8,0.4,0.5,0.0,0.5,0.9,0.1,0
306,Ado Onaiwu,246,Toulouse,27, FW  ,9(25),1073,1,0.2,9.6,76.2,0.0,0.1,0.1,6.22,2,0,0,0.6,1.1,0,0.2,0.4,0.1,0.8,0.7,0.3,0.1,0.4,0.0,0.1,0.2,0.0,0
310,Veljko Birmancevic,246,Toulouse,25, Midfielder  ,2(23),427,0,0.1,6.0,69.8,0.0,0.0,0.0,6.11,0,0,0,0.5,0.1,0,0.2,0.3,0.0,0.1,0.5,0.5,0.3,0.2,0.0,0.0,0.6,0.1,0
