Name,Position,Date of Birth,Age,Nationality,Market Value
Paul Bernardoni,Goalkeeper,"Apr 18, 1997",26,France,€2.50m
Yahia Fofana,Goalkeeper,"Aug 21, 2000",22,Cote d'Ivoire,€2.00m
Melvin Zinga,Goalkeeper,"Mar 16, 2002",21,France,€100k
Théo Borne,Goalkeeper,"Jul 15, 2002",20,France,€100k
Cédric Hountondji,Centre-Back,"Jan 19, 1994",29,Benin,€2.00m
Miha Blazic,Centre-Back,"May 8, 1993",30,Slovenia,€1.80m
Ousmane Camara,Centre-Back,"Mar 6, 2003",20,France,€1.50m
Abdoulaye Bamba,Centre-Back,"Apr 25, 1990",33,Cote d'Ivoire,€400k
Yacine Gaya,Centre-Back,"Nov 15, 2004",18,Algeria,€50k
Ismaël Dramé,Centre-Back,"May 27, 2001",22,France,-
Demba N'Diaye,Centre-Back,"Aug 18, 2005",17,France,-
Demba N'Diaye,Centre-Back,"Apr 13, 1992",31,France,-
Souleyman Doumbia,Left-Back,"Sep 24, 1996",26,Cote d'Ivoire,€2.50m
Faouzi Ghoulam,Left-Back,"Feb 1, 1991",32,Algeria,€900k
Ilyes Chetti,Left-Back,"Jan 22, 1995",28,Algeria,€400k
Yan Valery,Right-Back,"Feb 22, 1999",24,Tunisia,€2.00m
Halid Sabanovic,Right-Back,"Aug 22, 1999",23,Bosnia-Herzegovina,€700k
Lilian Raolisoa,Right-Back,"Jun 16, 2000",23,France,€200k
Ali Kalla,Right-Back,"Apr 23, 1998",25,France,€100k
Nabil Bentaleb,Defensive Midfield,"Nov 24, 1994",28,Algeria,€7.00m
Batista Mendy,Defensive Midfield,"Jan 12, 2000",23,France,€3.00m
Ibrahim Amadou,Defensive Midfield,"Apr 6, 1993",30,France,€1.50m
Zinédine Ould Khaled,Defensive Midfield,"Jan 14, 2000",23,France,€200k
Azzedine Ounahi,Central Midfield,"Apr 19, 2000",23,Morocco,€12.00m
Antonin Bobichon,Central Midfield,"Sep 14, 1995",27,France,€900k
Pierrick Capelle,Central Midfield,"Apr 15, 1987",36,France,€250k
Yassin Belkhdim,Central Midfield,"Feb 14, 2002",21,Morocco,€100k
Salim Akkal,Central Midfield,"Feb 17, 2000",23,France,€50k
Himad Abdelli,Attacking Midfield,"Nov 17, 1999",23,Algeria,€2.50m
Waniss Taïbi,Attacking Midfield,"Mar 7, 2002",21,France,€500k
Sofiane Boufal,Left Winger,"Sep 17, 1993",29,Morocco,€8.00m
Jean-Mattéo Bahoya,Left Winger,"May 7, 2005",18,France,€1.50m
Marin Jakolis,Left Winger,"Dec 26, 1996",26,Croatia,€600k
Farid El Melali,Left Winger,"Jul 13, 1997",25,Algeria,€600k
Jason Mbock,Left Winger,"Nov 1, 1999",23,France,€150k
Abdallah Sima,Right Winger,"Jun 17, 2001",22,Senegal,€6.00m
Sada Thioub,Right Winger,"Jun 1, 1995",28,Senegal,€1.20m
Justin-Noël Kalumba,Right Winger,"Dec 25, 2004",18,France,€250k
Ibrahima Niane,Centre-Forward,"Mar 11, 1999",24,Senegal,€3.00m
Adrien Hunou,Centre-Forward,"Jan 19, 1994",29,France,€2.50m
Amine Salama,Centre-Forward,"Jul 18, 2000",22,France,€1.50m
Loïs Diony,Centre-Forward,"Dec 20, 1992",30,France,€900k
Ulrick Eneme-Ella,Centre-Forward,"May 22, 2001",22,Gabon,€200k
Guédé Nadje,Centre-Forward,"Nov 12, 2003",19,France,€150k
