Name,Position,Date of Birth,Age,Nationality,Market Value
Marco Bizot,Goalkeeper,"Mar 10, 1991",32,Netherlands,€3.50m
Joaquín Blázquez,Goalkeeper,"Jan 28, 2001",22,Argentina,€400k
Grégoire Coudert,Goalkeeper,"Apr 3, 1999",24,France,€150k
Lilian Brassier,Centre-Back,"Nov 2, 1999",23,France,€5.00m
Brendan Chardonnet,Centre-Back,"Dec 22, 1994",28,France,€5.00m
Jean-Kévin Duverne,Centre-Back,"Jul 12, 1997",25,Haiti,€4.00m
Achraf Dari,Centre-Back,"May 6, 1999",24,Morocco,€2.00m
Christophe Hérelle,Centre-Back,"Aug 22, 1992",30,Martinique,€2.00m
Josué Escartin,Centre-Back,"Mar 21, 2003",20,France,€150k
Bradley Locko,Left-Back,"May 6, 2002",21,France,€2.50m
Jere Uronen,Left-Back,"Jul 13, 1994",28,Finland,€1.00m
Kenny Lala,Right-Back,"Oct 3, 1991",31,France,€1.50m
Noah Fadiga,Right-Back,"Dec 3, 1999",23,Senegal,€1.20m
Pierre Lees-Melou,Defensive Midfield,"May 25, 1993",30,France,€4.00m
Haris Belkebla,Central Midfield,"Jan 28, 1994",29,Algeria,€3.00m
Mahdi Camara,Central Midfield,"Jun 30, 1998",25,France,€3.00m
Hugo Magnetti,Central Midfield,"May 30, 1998",25,France,€2.00m
Hianga'a Mbock,Central Midfield,"Dec 28, 1999",23,France,€1.20m
Félix Lemaréchal,Central Midfield,"Aug 7, 2003",19,France,€1.00m
Axel Camblan,Left Midfield,"Aug 30, 2003",19,France,€400k
Karamoko Dembélé,Attacking Midfield,"Feb 22, 2003",20,England,€500k
Jérémy Le Douaron,Left Winger,"Apr 21, 1998",25,France,€4.50m
Mathias Pereira Lage,Left Winger,"Nov 30, 1996",26,France,€2.00m
Youcef Belaïli,Left Winger,"Mar 14, 1992",31,Algeria,€1.50m
Franck Honorat,Right Winger,"Aug 11, 1996",26,France,€10.00m
Romain Del Castillo,Right Winger,"Mar 29, 1996",27,France,€3.00m
Alberth Elis,Right Winger,"Feb 12, 1996",27,Honduras,€2.50m
Steve Mounié,Centre-Forward,"Sep 29, 1994",28,Benin,€5.00m
Irvin Cardona,Centre-Forward,"Aug 8, 1997",25,France,€2.50m
Islam Slimani,Centre-Forward,"Jun 18, 1988",35,Algeria,€1.50m
Taïryk Arconte,Centre-Forward,"Nov 12, 2003",19,Guadeloupe,€500k
Loïc Rémy,Centre-Forward,"Jan 2, 1987",36,France,€150k
