Name,Position,Date of Birth,Age,Nationality,Market Value
Mory Diaw,Goalkeeper,"Jun 22, 1993",30,Senegal,€2.00m
Ouparine Djoco,Goalkeeper,"Apr 22, 1998",25,Guinea-Bissau,€500k
Lucas Margueron,Goalkeeper,"Feb 12, 2001",22,France,€150k
Alidu Seidu,Centre-Back,"Jun 4, 2000",23,Ghana,€7.00m
Mateusz Wieteska,Centre-Back,"Feb 11, 1997",26,Poland,€3.00m
Maximiliano Caufriez,Centre-Back,"Feb 16, 1997",26,Belgium,€2.50m
Florent Ogier,Centre-Back,"Mar 21, 1989",34,France,€450k
Jean-Claude Billong,Centre-Back,"Dec 28, 1993",29,Cameroon,€250k
Souleymane Cissé,Centre-Back,"Aug 8, 2002",20,France,€100k
Neto Borges,Left-Back,"Sep 13, 1996",26,Brazil,€4.00m
Arial Mendy,Left-Back,"Nov 7, 1994",28,Senegal,€600k
Baïla Diallo,Left-Back,"Jun 24, 2001",22,Senegal,€200k
Cheick Oumar Konaté,Right-Back,"Apr 2, 2004",19,Mali,€1.00m
Mehdi Zeffane,Right-Back,"May 19, 1992",31,Algeria,€450k
Oliver Kamdem,Right-Back,"Oct 15, 2002",20,France,€100k
Yohann Magnin,Defensive Midfield,"Jun 21, 1997",26,France,€2.50m
Maxime Gonalons,Defensive Midfield,"Mar 10, 1989",34,France,€900k
Johan Gastien,Defensive Midfield,"Jan 25, 1988",35,France,€700k
Brandon Baiye,Defensive Midfield,"Dec 27, 2000",22,Belgium,€500k
Stan Berkani,Defensive Midfield,"Aug 13, 2003",19,Algeria,€50k
Muhammed Cham,Attacking Midfield,"Sep 26, 2000",22,Austria,€6.00m
Saîf-Eddine Khaoui,Attacking Midfield,"Apr 27, 1995",28,Tunisia,€2.00m
Aïman Maurer,Attacking Midfield,"Sep 25, 2004",18,Morocco,€800k
Jason Berthomier,Attacking Midfield,"Jan 6, 1990",33,France,€500k
Yanis Massolin,Attacking Midfield,"Sep 20, 2002",20,France,€250k
Elbasan Rashani,Left Winger,"May 9, 1993",30,Kosovo,€2.00m
Jérémie Bela,Left Winger,"Apr 8, 1993",30,Angola,€1.50m
Sofyan Chader,Left Winger,"May 12, 2000",23,France,€800k
Jim Allevinah,Right Winger,"Feb 27, 1995",28,Gabon,€2.00m
Jodel Dossou,Right Winger,"Mar 17, 1992",31,Benin,€800k
Giovani Versini,Right Winger,"Mar 18, 2004",19,France,€100k
Grejohn Kyei,Centre-Forward,"Aug 12, 1995",27,France,€2.50m
Komnen Andric,Centre-Forward,"Jul 1, 1995",27,Serbia,€1.80m
