Name,Position,Date of Birth,Age,Nationality,Market Value
Lucas Chevalier,Goalkeeper,"Nov 6, 2001",21,France,€10.00m
Léo Jardim,Goalkeeper,"Mar 20, 1995",28,Brazil,€3.00m
Benoît Costil,Goalkeeper,"Jul 3, 1987",35,France,€1.00m
Adam Jakubech,Goalkeeper,"Jan 2, 1997",26,Slovakia,€300k
Tom Negrel,Goalkeeper,"Apr 13, 2003",20,France,€50k
Tiago Djaló,Centre-Back,"Apr 9, 2000",23,Portugal,€16.00m
Leny Yoro,Centre-Back,"Nov 13, 2005",17,France,€10.00m
Alexsandro,Centre-Back,"Aug 9, 1999",23,Brazil,€5.00m
José Fonte,Centre-Back,"Dec 22, 1983",39,Portugal,€600k
Abdoulaye Ousmane,Centre-Back,"Feb 22, 2000",23,Mauritania,€50k
Gabriel Gudmundsson,Left-Back,"Apr 29, 1999",24,Sweden,€4.50m
Ismaily,Left-Back,"Jan 11, 1990",33,Brazil,€2.50m
Bafodé Diakité,Right-Back,"Jan 6, 2001",22,France,€10.00m
Akim Zedadka,Right-Back,"May 30, 1995",28,Algeria,€2.50m
Simon Ramet,Right-Back,"Mar 13, 2003",20,France,€150k
Benjamin André,Defensive Midfield,"Aug 3, 1990",32,France,€9.00m
Carlos Baleba,Defensive Midfield,"Jan 3, 2004",19,Cameroon,€5.00m
Jonas Martin,Defensive Midfield,"Apr 9, 1990",33,France,€1.50m
André Gomes,Central Midfield,"Jul 30, 1993",29,Portugal,€16.00m
Timothy Weah,Right Midfield,"Feb 22, 2000",23,United States,€14.00m
Angel Gomes,Attacking Midfield,"Aug 31, 2000",22,England,€16.00m
Yusuf Yazıcı,Attacking Midfield,"Jan 29, 1997",26,Türkiye,€9.00m
Rémy Cabella,Attacking Midfield,"Mar 8, 1990",33,France,€5.00m
Mattéo Makhabe,Attacking Midfield,"Nov 28, 2003",19,France,€100k
Jonathan Bamba,Left Winger,"Mar 26, 1996",27,Cote d'Ivoire,€20.00m
Alan Virginius,Left Winger,"Jan 3, 2003",20,France,€4.00m
Edon Zhegrova,Right Winger,"Mar 31, 1999",24,Kosovo,€8.00m
Adam Ounas,Right Winger,"Nov 11, 1996",26,Algeria,€7.00m
Isaac Lihadji,Right Winger,"Apr 10, 2002",21,France,€1.20m
Ichem Ferrah,Right Winger,"Sep 23, 2005",17,France,€100k
Jonathan David,Centre-Forward,"Jan 14, 2000",23,Canada,€60.00m
Mohamed Bayo,Centre-Forward,"Jun 4, 1998",25,Guinea,€6.00m
Amine Messoussa,Centre-Forward,"Oct 12, 2004",18,France,€400k
