Name,Position,Date of Birth,Age,Nationality,Market Value
Anthony Lopes,Goalkeeper,"Oct 1, 1990",32,Portugal,€8.00m
Rémy Riou,Goalkeeper,"Aug 6, 1987",35,France,€400k
Kayne Bonnevie,Goalkeeper,"Jul 22, 2001",21,France,€200k
Castello Lukeba,Centre-Back,"Dec 17, 2002",20,France,€25.00m
Sinaly Diomandé,Centre-Back,"Apr 9, 2001",22,Cote d'Ivoire,€9.00m
Dejan Lovren,Centre-Back,"Jul 5, 1989",33,Croatia,€2.50m
Mamadou Sarr,Centre-Back,"Aug 29, 2005",17,France,€1.00m
Jérôme Boateng,Centre-Back,"Sep 3, 1988",34,Germany,€800k
Damien Da Silva,Centre-Back,"May 17, 1988",35,France,€500k
Nicolás Tagliafico,Left-Back,"Aug 31, 1992",30,Argentina,€9.00m
Henrique Silva,Left-Back,"Apr 25, 1994",29,Brazil,€1.00m
Achraf Laâziri,Left-Back,"Jul 8, 2003",19,Morocco,€250k
Malo Gusto,Right-Back,"May 19, 2003",20,France,€25.00m
Saël Kumbedi,Right-Back,"Mar 26, 2005",18,France,€12.00m
Johann Lepenant,Defensive Midfield,"Oct 22, 2002",20,France,€10.00m
Thiago Mendes,Defensive Midfield,"Mar 15, 1992",31,Brazil,€5.00m
Maxence Caqueret,Central Midfield,"Feb 15, 2000",23,France,€25.00m
Corentin Tolisso,Central Midfield,"Aug 3, 1994",28,France,€14.00m
Houssem Aouar,Central Midfield,"Jun 30, 1998",25,Algeria,€13.00m
Mohamed El Arouch,Central Midfield,"Apr 6, 2004",19,France,€2.00m
Romain Faivre,Right Midfield,"Jul 14, 1998",24,France,€10.00m
Lucas Paquetá,Attacking Midfield,"Aug 27, 1997",25,Brazil,€45.00m
Rayan Cherki,Attacking Midfield,"Aug 17, 2003",19,France,€30.00m
Jeff Reine-Adélaïde,Attacking Midfield,"Jan 17, 1998",25,France,€5.00m
Djibrail Dib,Attacking Midfield,"Jul 3, 2002",20,Algeria,€150k
Bradley Barcola,Left Winger,"Sep 2, 2002",20,France,€18.00m
Jeffinho,Left Winger,"Dec 30, 1999",23,Brazil,€8.00m
Tetê,Right Winger,"Feb 15, 2000",23,Brazil,€25.00m
Alexandre Lacazette,Centre-Forward,"May 28, 1991",32,France,€14.00m
Moussa Dembélé,Centre-Forward,"Jul 12, 1996",26,France,€12.00m
Karl Toko Ekambi,Centre-Forward,"Sep 14, 1992",30,Cameroon,€8.00m
Amin Sarr,Centre-Forward,"Mar 11, 2001",22,Sweden,€8.00m
Tino Kadewere,Centre-Forward,"Jan 5, 1996",27,Zimbabwe,€4.00m
Sekou Lega,Centre-Forward,"Jan 21, 2003",20,France,€150k
