Name,Position,Date of Birth,Age,Nationality,Market Value
Jonas Omlin,Goalkeeper,"Jan 10, 1994",29,Switzerland,€9.00m
Benjamin Lecomte,Goalkeeper,"Apr 26, 1991",32,France,€4.00m
Dimitry Bertaud,Goalkeeper,"Jun 6, 1998",25,DR Congo,€1.50m
Bingourou Kamara,Goalkeeper,"Oct 21, 1996",26,Senegal,€800k
Matis Carvalho,Goalkeeper,"Apr 28, 1999",24,Portugal,€300k
Maxime Estève,Centre-Back,"May 26, 2002",21,France,€7.00m
Kiki Kouyaté,Centre-Back,"Apr 15, 1997",26,Mali,€5.00m
Christopher Jullien,Centre-Back,"Mar 22, 1993",30,France,€3.50m
Mamadou Sakho,Centre-Back,"Feb 13, 1990",33,France,€2.50m
Pedro Mendes,Centre-Back,"Oct 1, 1990",32,Portugal,€1.80m
Téo Allix,Centre-Back,"Jul 5, 2004",18,France,€150k
Redouane Halhal,Centre-Back,"Mar 5, 2003",20,Morocco,€100k
Faitout Maouassa,Left-Back,"Jul 6, 1998",24,France,€6.00m
Nicolas Cozza,Left-Back,"Jan 8, 1999",24,France,€3.50m
Issiaga Sylla,Left-Back,"Jan 1, 1994",29,Guinea,€2.50m
Théo Sainte-Luce,Left-Back,"Oct 20, 1998",24,France,€2.00m
Thibault Tamas,Left-Back,"Feb 20, 2001",22,France,€150k
Falaye Sacko,Right-Back,"May 1, 1995",28,Mali,€4.00m
Enzo Tchato,Right-Back,"Nov 23, 2002",20,Cameroon,€2.50m
Arnaud Souquet,Right-Back,"Feb 12, 1992",31,France,€2.00m
Mathías Suárez,Right-Back,"Jun 24, 1996",27,Uruguay,€300k
Ryan Tchato,Right-Back,"Sep 13, 2004",18,Cameroon,€150k
Joris Chotard,Defensive Midfield,"Sep 24, 2001",21,France,€9.00m
Jordan Ferri,Central Midfield,"Mar 12, 1992",31,France,€5.00m
Khalil Fayad,Central Midfield,"Jun 9, 2004",19,France,€4.50m
Léo Leroy,Central Midfield,"Feb 14, 2000",23,France,€1.20m
Matéo Loubatières,Central Midfield,"Sep 15, 2003",19,France,€150k
Téji Savanier,Attacking Midfield,"Dec 22, 1991",31,France,€10.00m
Sacha Delaye,Attacking Midfield,"Apr 23, 2002",21,France,€400k
Stephy Mavididi,Left Winger,"May 31, 1998",25,England,€6.00m
Wahbi Khazri,Left Winger,"Feb 8, 1991",32,Tunisia,€2.50m
Béni Makouana,Left Winger,"Sep 28, 2002",20,Congo,€600k
Arnaud Nordin,Right Winger,"Jun 17, 1998",25,France,€7.00m
Axel Gueguin,Right Winger,"Mar 24, 2005",18,France,€800k
Elye Wahi,Centre-Forward,"Jan 2, 2003",20,France,€35.00m
Valère Germain,Centre-Forward,"Apr 17, 1990",33,France,€1.50m
Serigne Faye,Centre-Forward,"Apr 5, 2004",19,Senegal,€300k
Yanis Guermouche,Centre-Forward,"Apr 15, 2001",22,Algeria,€150k
Edvin Bongemba,Centre-Forward,"Jan 14, 2004",19,France,€50k
