Name,Position,Date of Birth,Age,Nationality,Market Value
Doğan Alemdar,Goalkeeper,"Oct 29, 2002",20,Türkiye,€4.00m
Steve Mandanda,Goalkeeper,"Mar 28, 1985",38,France,€1.00m
Elias Damergy,Goalkeeper,"Oct 17, 2002",20,Tunisia,€150k
Romain Salin,Goalkeeper,"Jul 29, 1984",38,France,€150k
Arthur Theate,Centre-Back,"May 25, 2000",23,Belgium,€22.00m
Loïc Badé,Centre-Back,"Apr 11, 2000",23,France,€12.00m
Warmed Omari,Centre-Back,"Apr 23, 2000",23,France,€9.00m
Joe Rodon,Centre-Back,"Oct 22, 1997",25,Wales,€7.00m
Jeanuël Belocian,Centre-Back,"Feb 17, 2005",18,France,€7.00m
Christopher Wooh,Centre-Back,"Sep 18, 2001",21,Cameroon,€6.00m
Jérémy Jacquet,Centre-Back,"Jul 13, 2005",17,France,€50k
Adrien Truffert,Left-Back,"Nov 20, 2001",21,France,€18.00m
Birger Meling,Left-Back,"Dec 17, 1994",28,Norway,€5.00m
Léo Rouillé,Left-Back,"Feb 9, 2004",19,France,€50k
Hamari Traoré,Right-Back,"Jan 27, 1992",31,Mali,€10.00m
Djed Spence,Right-Back,"Aug 9, 2000",22,England,€10.00m
Lorenz Assignon,Right-Back,"Jun 22, 2000",23,France,€5.00m
Guéla Doué,Right-Back,"Oct 17, 2002",20,Cote d'Ivoire,€300k
Baptiste Santamaria,Defensive Midfield,"Mar 9, 1995",28,France,€14.00m
Lesley Ugochukwu,Defensive Midfield,"Mar 26, 2004",19,France,€9.00m
Noah Françoise,Defensive Midfield,"Jul 5, 2003",19,France,€350k
Benjamin Bourigeaud,Central Midfield,"Jan 14, 1994",29,France,€18.00m
Flavien Tait,Central Midfield,"Feb 2, 1993",30,France,€6.00m
Xeka,Central Midfield,"Nov 10, 1994",28,Portugal,€6.00m
Gabriel Tutu,Right Midfield,"Jan 29, 2004",19,France,€50k
Lovro Majer,Attacking Midfield,"Jan 17, 1998",25,Croatia,€20.00m
Désiré Doué,Attacking Midfield,"Jun 3, 2005",18,France,€15.00m
Amine Gouiri,Left Winger,"Feb 16, 2000",23,Algeria,€35.00m
Martin Terrier,Left Winger,"Mar 4, 1997",26,France,€30.00m
Jérémy Doku,Left Winger,"May 27, 2002",21,Belgium,€28.00m
Kamaldeen Sulemana,Left Winger,"Feb 15, 2002",21,Ghana,€22.00m
Ibrahim Salah,Left Winger,"Aug 30, 2001",21,Morocco,€3.00m
Arnaud Kalimuendo,Centre-Forward,"Jan 20, 2002",21,France,€22.00m
Gaëtan Laborde,Centre-Forward,"May 3, 1994",29,France,€16.00m
Serhou Guirassy,Centre-Forward,"Mar 12, 1996",27,Guinea,€14.00m
Karl Toko Ekambi,Centre-Forward,"Sep 14, 1992",30,Cameroon,€8.00m
Matthis Abline,Centre-Forward,"Mar 28, 2003",20,France,€4.50m
Alan Do Marcolino,Centre-Forward,"Mar 19, 2002",21,Gabon,€150k
