,Team,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg
0, Nice,11.7,21.5,10.9,10.1,1.3
1, Lorient,14.9,19.4,9.7,10.4,1.3
2, Lyon,11.3,19,12.7,13.2,1.5
3, Toulouse,14.2,18.8,10.8,12.4,1.9
4, Nantes,12,18.7,11.3,12.7,1.4
5, Brest,12.9,18.6,12.5,13.1,1.6
6, Reims,12.8,18.5,10.4,13.3,2.2
7, Monaco,13.5,18.3,11.2,12.8,2.2
8, Strasbourg,11.2,18.2,11.5,13.9,1.1
9, Marseille,11.2,18,11.1,14,1.8
10, Clermont Foot,12.8,18,11.6,11.2,1.4
11, Montpellier,13.8,18,10.6,12.8,1.9
12, Auxerre,12.4,17.7,11.9,12.2,1.3
13, Angers,12.2,17.2,9.9,12.9,1.2
14, AC Ajaccio,11.1,16.8,11.1,14.2,1.7
15, Lille,8.7,16.7,7.9,13.1,1.7
16, Paris Saint-Germain,11.8,16.1,7.8,10,2
17, Troyes,16.5,16,10.5,10.6,1.5
18, Rennes,9.9,15.8,9,12.2,1.4
19, Lens,10.3,14.2,8.9,12.9,1.6
