,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
0,Victor Osimhen,276,Napoli,24,FW,30(2),2583,4,1.1,11.6,71.0,0.1,0.3,0.0,7.45,26,4,0,4.2,2.1,5,0.8,1.2,1.0,1.5,3.0,0.3,0.2,1.3,0.0,0.9,0.2,0.0,0
5,Lautaro Martínez,75,Inter,25,FW,27(11),2577,6,1.2,17.3,75.6,0.0,0.6,0.1,7.18,21,3,0,3.3,1.1,8,0.8,1.7,0.3,1.3,2.0,0.7,0.3,1.2,0.0,0.4,0.4,0.0,0
38,Olivier Giroud,80,AC Milan,36,FW,25(8),2148,5,0.7,16.8,63.3,0.0,0.2,0.0,6.88,13,6,1,2.4,3.1,1,0.2,0.7,0.5,0.5,1.9,0.2,0.1,1.2,0.0,0.7,0.2,0.1,0
48,Ciro Immobile,77,Lazio,33,FW,27(4),2228,5,0.8,19.7,75.9,0.0,0.4,0.1,6.87,12,3,0,2.5,0.5,4,0.6,0.8,0.7,0.7,2.0,0.4,0.0,0.7,0.0,0.4,0.1,0.1,0
57,Antonio Sanabria,72,Torino,27,FW,28(5),2442,4,0.8,20.8,76.1,0.0,0.5,0.0,6.82,12,4,0,2.1,2.6,4,0.7,0.8,0.4,0.9,2.5,0.3,0.1,1.0,0.0,0.2,0.2,0.1,0
86,Edin Dzeko,75,Inter,37,FW,18(15),1729,3,0.7,15.2,72.0,0.1,0.6,0.1,6.75,9,3,0,2.2,1.2,3,0.3,0.7,0.3,0.5,1.5,0.1,0.1,0.8,0.0,0.8,0.1,0.0,0
87,Dusan Vlahovic,87,Juventus,23,FW,22(5),1932,2,0.8,13.8,72.1,0.1,0.7,0.0,6.75,10,1,0,2.5,1.3,3,0.5,1.0,0.8,1.4,2.3,0.4,0.1,0.7,0.0,0.3,0.2,0.1,0
88,Tammy Abraham,84,Roma,25,FW,24(14),2199,3,0.9,13.1,68.3,0.1,0.4,0.1,6.75,8,2,0,1.6,2.1,2,0.6,1.3,0.3,0.8,1.6,0.4,0.1,0.9,0.0,0.4,0.3,0.1,0
95,Milan Djuric,76,Verona,33,FW,14(14),1364,1,0.8,18.5,51.6,0.0,0.1,0.0,6.74,1,3,0,0.6,7.1,3,0.1,1.0,0.2,0.5,0.9,0.1,0.0,0.9,0.0,0.9,0.1,0.1,0
120,Rasmus Højlund,300,Atalanta,20,FW,20(12),1836,2,0.8,13.3,74.3,0.1,0.3,0.0,6.67,9,1,0,1.7,1.0,3,0.9,1.0,0.2,1.8,2.9,0.1,0.0,0.7,0.0,0.2,0.2,0.0,0
125,Beto,86,Udinese,25,FW,23(10),2132,1,0.7,8.8,65.7,0.0,0.2,0.0,6.66,10,2,0,1.8,2.2,3,1.0,0.8,0.3,1.3,3.5,0.5,0.2,1.1,0.0,0.9,0.4,0.1,0
137,MBala Nzola,1501,Spezia,26,FW,29(2),2654,2,0.9,18.5,80.5,0.1,0.1,0.0,6.64,13,8,0,2.0,1.4,3,1.0,1.3,0.3,2.2,4.0,0.4,0.2,1.8,0.0,0.7,0.2,0.2,0
159,Arthur Cabral,73,Fiorentina,25,FW,15(13),1433,1,0.5,9.4,69.1,0.0,0.2,0.0,6.61,8,4,0,1.9,1.8,1,0.5,0.6,0.1,0.9,2.1,0.3,0.0,0.9,0.0,0.4,0.1,0.0,0
167,Krzysztof Piatek,143,Salernitana,27,FW,23(10),2144,5,0.7,16.2,70.1,0.0,0.4,0.0,6.59,4,5,0,1.8,2.7,1,0.3,1.3,0.7,1.1,2.4,0.5,0.1,1.2,0.0,1.2,0.5,0.1,0
179,Frank Tsadjout,2731,Cremonese,23,FW,14(6),1057,1,0.5,13.3,69.4,0.0,0.1,0.0,6.58,3,1,0,1.3,3.0,1,0.6,0.9,0.2,0.5,1.9,0.5,0.4,1.1,0.0,0.5,0.3,0.1,0
197,Francesco Caputo,272,Empoli,35,FW,20(1),1719,4,1.0,15.4,71.9,0.0,0.0,0.0,6.54,5,1,0,2.0,0.8,0,0.0,1.0,1.1,1.1,2.1,0.1,0.1,0.6,0.0,0.4,0.0,0.1,0
203,Luka Jovic,73,Fiorentina,25,FW,16(15),1529,3,0.7,9.5,77.5,0.0,0.5,0.0,6.53,6,3,0,1.8,0.9,2,0.5,0.3,0.4,0.5,0.8,0.2,0.1,0.7,0.0,0.3,0.2,0.1,0
210,Andrea Petagna,269,Monza,27,FW,19(12),1671,5,1.0,13.7,74.3,0.0,0.5,0.1,6.51,4,2,0,1.2,1.3,1,0.6,1.0,0.3,1.4,2.1,0.2,0.1,0.9,0.0,0.6,0.1,0.1,0
216,Duván Zapata,300,Atalanta,32,FW,16(9),1393,2,0.7,14.9,72.3,0.2,0.4,0.0,6.51,2,1,0,1.6,1.7,0,0.8,1.5,0.3,1.8,2.1,0.3,0.2,0.7,0.0,0.6,0.1,0.1,0
244,Joshua Zirkzee,71,Bologna,22,FW,5(14),809,2,0.8,13.3,77.9,0.0,0.1,0.1,6.44,2,2,0,1.5,0.6,0,0.8,0.5,0.1,1.3,1.9,0.2,0.2,0.4,0.0,0.2,0.3,0.1,0
249,Sam Lammers,271,Sampdoria,26,FW,13(6),1103,1,0.7,13.1,68.3,0.1,0.2,0.1,6.43,1,1,0,1.2,1.6,0,0.7,1.2,0.1,0.9,2.8,0.6,0.3,1.0,0.1,0.6,0.5,0.2,0
250,Assan Ceesay,79,Lecce,29,FW,20(14),1818,0,0.2,10.9,58.9,0.1,0.1,0.0,6.43,6,2,0,1.2,1.9,1,0.6,0.8,0.6,0.7,1.9,0.7,0.1,1.1,0.0,0.6,0.2,0.1,0
270,Cyriel Dessers,2731,Cremonese,28,FW,19(7),1595,2,0.9,10.3,65.3,0.1,0.2,0.0,6.38,6,3,0,1.9,0.6,0,0.5,0.5,0.9,0.8,2.3,0.4,0.1,1.3,0.0,0.2,0.2,0.1,0
271,Andrea Pinamonti,2889,Sassuolo,24,FW,25(7),2174,0,0.5,15.0,66.9,0.1,0.2,0.0,6.38,5,3,1,2.1,1.1,0,0.3,1.0,0.3,1.8,1.9,0.3,0.1,0.7,0.0,0.3,0.1,0.1,0
284,Daniel Ciofani,2731,Cremonese,37,FW,10(22),1058,0,0.3,6.0,62.5,0.0,0.2,0.0,6.34,8,1,0,1.0,1.1,0,0.0,0.5,0.2,0.3,0.8,0.2,0.1,0.3,0.0,0.3,0.1,0.0,0
289,Martín Satriano,272,Empoli,22,FW,20(11),1709,1,0.5,11.5,69.0,0.0,0.2,0.0,6.33,2,4,0,1.2,1.4,0,0.6,0.9,0.2,1.5,1.7,0.4,0.1,0.6,0.0,0.6,0.3,0.0,0
299,Ilija Nestorovski,86,Udinese,33,FW,5(16),626,1,0.1,7.7,71.6,0.0,0.2,0.1,6.31,2,3,0,0.7,0.6,0,0.1,1.0,0.2,0.1,0.7,0.3,0.1,0.9,0.0,0.5,0.3,0.0,0
301,Lorenzo Colombo,79,Lecce,21,FW,18(15),1518,2,0.5,9.6,64.4,0.1,0.2,0.0,6.3,5,4,0,1.4,1.2,0,0.3,0.5,0.2,1.2,2.4,0.5,0.1,1.1,0.0,0.2,0.2,0.0,0
311,Andrea Belotti,84,Roma,29,FW,11(20),1135,2,0.5,7.9,68.2,0.0,0.1,0.0,6.25,0,0,0,0.6,1.2,0,0.2,1.2,0.2,0.5,1.1,0.4,0.1,0.7,0.0,0.2,0.2,0.0,0
315,Demba Seck,72,Torino,22,FW,6(13),516,0,0.3,8.2,80.1,0.0,0.0,0.1,6.23,0,0,0,0.5,0.4,0,0.8,0.9,0.3,0.7,1.3,0.3,0.1,0.4,0.0,0.1,0.1,0.1,0
320,Emil Ceïde,2889,Sassuolo,21,FW,5(14),505,1,0.4,8.4,74.4,0.1,0.1,0.1,6.2,0,0,0,0.5,0.1,0,0.4,0.4,0.1,0.4,0.8,0.3,0.1,0.2,0.0,0.0,0.1,0.1,0
324,Agustín Álvarez Martínez,2889,Sassuolo,22,FW,1(21),351,1,0.1,3.6,83.8,0.0,0.2,0.0,6.18,1,1,0,0.6,0.4,0,0.3,0.2,0.1,0.5,0.7,0.3,0.1,0.4,0.0,0.1,0.1,0.0,0
325,Fabio Quagliarella,271,Sampdoria,40,FW,7(16),797,1,0.3,9.9,68.3,0.1,0.6,0.0,6.14,1,2,0,1.6,0.4,0,0.2,0.8,0.3,0.2,1.0,0.1,0.0,0.2,0.0,0.4,0.3,0.0,0
327,Matteo Cancellieri,77,Lazio,21,FW,1(19),237,0,0.2,4.0,75.9,0.1,0.0,0.0,6.12,0,4,0,0.3,0.2,0,0.2,0.5,0.3,0.2,0.7,0.5,0.1,0.7,0.0,0.1,0.2,0.0,0
328,Christian Gytkjær,269,Monza,33,FW,3(19),539,0,0.1,4.5,69.0,0.0,0.1,0.0,6.07,1,0,0,0.6,0.5,0,0.1,0.3,0.5,0.2,0.8,0.3,0.0,0.5,0.0,0.1,0.1,0.0,0
329,Felix Afena-Gyan,2731,Cremonese,20,FW,7(16),812,0,0.1,8.0,76.6,0.0,0.1,0.0,6.04,0,4,0,0.9,0.7,0,0.3,0.5,0.3,0.9,1.5,0.3,0.0,0.8,0.0,0.1,0.3,0.0,0
