,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
35,Ivan Provedel,77,Lazio,29,GK,37(1),3412,0,0.0,30.3,78.1,0.0,7.9,0.0,6.89,0,1,0,0.0,0.2,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0
52,Guglielmo Vicario,272,Empoli,26,GK,31,2784,0,0.0,36.3,68.7,0.0,5.9,0.0,6.85,0,3,0,0.0,0.3,1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0
61,Guillermo Ochoa,143,Salernitana,37,GK,20,1800,0,0.0,35.6,55.8,0.0,8.2,0.0,6.8,0,1,0,0.0,0.1,1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0
64,Lukasz Skorupski,71,Bologna,32,GK,37,3330,0,0.0,27.2,74.8,0.0,5.5,0.0,6.79,0,4,0,0.0,0.2,2,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0
70,Michele Di Gregorio,269,Monza,25,GK,37,3330,1,0.0,34.5,71.9,0.0,6.7,0.0,6.79,0,0,0,0.0,0.1,3,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.8,0.1,0.0,0
74,Emil Audero,271,Sampdoria,26,GK,25,2250,0,0.0,32.4,63.6,0.0,8.4,0.0,6.78,0,1,0,0.0,0.2,5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.0,1
80,Wojciech Szczesny,87,Juventus,33,GK,28,2473,0,0.0,23.5,75.7,0.0,5.6,0.0,6.77,0,0,0,0.0,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0
91,Marco Carnesecchi,2731,Cremonese,22,GK,27,2430,1,0.1,30.1,53.1,0.0,6.9,0.0,6.74,0,1,0,0.0,0.2,3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0
97,André Onana,75,Inter,27,GK,24,2160,0,0.1,38.0,79.2,0.0,6.1,0.0,6.72,0,1,0,0.0,0.2,2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1
110,Alex Meret,276,Napoli,26,GK,34,3060,0,0.0,23.8,86.0,0.0,3.5,0.0,6.69,0,0,0,0.0,0.1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0
132,Wladimiro Falcone,79,Lecce,28,GK,38,3420,0,0.1,26.7,44.8,0.0,6.1,0.0,6.65,0,2,0,0.0,0.3,4,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1.3,0.0,0.0,0
135,Mike Maignan,80,AC Milan,27,GK,22,1979,1,0.0,31.4,80.6,0.0,5.0,0.0,6.64,0,0,0,0.0,0.1,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0
148,Lorenzo Montipò,76,Verona,27,GK,37,3330,0,0.0,28.8,58.5,0.0,9.9,0.0,6.63,0,2,0,0.0,0.1,0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.1,0.1,0.0,0
174,Juan Musso,300,Atalanta,29,GK,24,2078,0,0.0,23.0,65.9,0.0,5.2,0.0,6.58,0,1,0,0.0,0.0,0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1
175,Bartlomiej Dragowski,1501,Spezia,25,GK,34,2948,1,0.0,29.8,64.3,0.0,5.6,0.0,6.58,0,1,0,0.0,0.3,6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0
178,Vanja Milinkovic-Savic,72,Torino,26,GK,38,3420,0,0.0,42.3,57.9,0.0,8.6,0.0,6.58,0,4,0,0.0,0.3,1,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0
188,Marco Silvestri,86,Udinese,32,GK,38,3420,0,0.0,27.2,75.0,0.0,4.6,0.0,6.55,0,0,0,0.0,0.3,0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0
211,Pietro Terracciano,73,Fiorentina,33,GK,29,2610,0,0.0,33.0,73.5,0.0,8.2,0.0,6.51,0,1,0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.8,0.0,0.0,0
241,Rui Patrício,84,Roma,35,GK,35,3150,0,0.0,21.8,72.9,0.0,4.9,0.0,6.45,0,1,0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0
296,Andrea Consigli,2889,Sassuolo,36,GK,35,3150,0,0.0,35.4,76.4,0.0,7.8,0.0,6.32,0,0,0,0.0,0.3,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0
