,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
11,Felipe Anderson,77,Lazio,30,M,35(3),2969,2,1.2,35.1,79.8,0.2,0.8,0.0,7.09,9,3,0,1.1,0.4,4,1.4,0.9,0.2,1.2,2.2,2.1,0.8,1.1,0.0,0.6,1.4,0.2,0
12,Lorenzo Pellegrini,84,Roma,27,M,29(3),2558,5,2.2,29.5,80.1,1.7,1.6,0.1,7.09,4,5,0,2.0,0.4,5,1.0,1.8,0.2,1.1,1.7,1.6,0.8,0.8,0.0,0.6,0.8,0.1,0
15,Hakan Çalhanoglu,75,Inter,29,M,28(5),2375,6,2.1,45.4,88.3,2.1,3.0,0.1,7.07,3,3,0,1.7,0.4,1,0.2,0.8,0.1,0.4,1.0,1.5,0.8,1.4,0.0,0.2,0.8,0.2,0
19,André-Frank Zambo Anguissa,276,Napoli,27,M,36,3062,5,0.9,61.8,88.8,0.0,1.7,0.0,7.03,3,3,0,1.4,1.3,1,0.9,1.3,0.1,1.4,2.0,1.5,1.4,1.2,0.0,0.7,1.3,0.1,0
24,Ismaël Bennacer,80,AC Milan,25,M,24(4),2015,2,1.5,47.8,89.2,0.8,3.3,0.1,6.96,2,5,0,0.6,0.8,2,1.0,0.9,0.0,0.8,1.5,2.1,0.9,1.3,0.0,0.5,0.8,0.3,0
27,Piotr Zielinski,276,Napoli,29,M,27(10),2306,8,2.3,38.7,87.5,1.2,1.0,0.1,6.93,3,3,0,1.4,0.1,1,0.6,0.9,0.1,0.4,0.7,0.5,0.4,0.6,0.0,0.2,0.4,0.1,0
31,Nicolás Domínguez,71,Bologna,24,M,26(5),2309,2,1.2,44.0,83.7,0.1,1.9,0.2,6.91,3,10,0,1.4,1.2,1,0.8,1.0,0.1,0.7,1.6,2.5,0.7,1.4,0.0,0.8,1.2,0.1,0
39,Manuel Locatelli,87,Juventus,25,M,29(3),2460,2,0.7,41.8,82.7,0.0,3.4,0.0,6.88,0,8,0,0.9,1.1,1,0.5,1.0,0.0,0.6,0.9,1.8,0.8,1.4,0.0,1.6,0.7,0.7,0
46,Destiny Udogie,86,Udinese,20,M,31(2),2714,4,1.0,29.2,83.0,0.2,0.6,0.0,6.87,3,5,0,0.8,0.5,0,1.5,1.8,0.2,1.1,1.8,2.2,1.1,1.1,0.2,0.5,0.8,0.2,0
53,Ángel Di María,87,Juventus,35,M,15(11),1364,4,1.6,21.3,78.7,1.3,1.3,0.2,6.83,4,1,1,1.5,0.0,0,1.2,0.9,0.2,1.0,1.2,0.4,0.3,0.2,0.0,0.0,0.6,0.0,0
54,Junior Messias,80,AC Milan,32,M,19(6),1511,2,0.6,20.5,79.1,0.1,0.8,0.0,6.82,5,3,0,1.3,1.0,2,1.4,1.0,0.0,0.6,1.3,1.0,0.3,1.0,0.0,1.0,0.6,0.2,0
58,Rade Krunic,80,AC Milan,29,M,18(5),1659,1,0.7,41.2,85.9,0.0,1.1,0.0,6.81,0,8,0,0.6,1.2,1,0.8,0.8,0.0,0.3,0.4,1.7,0.7,0.7,0.0,0.8,1.5,0.5,0
68,Nicolás González,73,Fiorentina,25,M,13(11),1355,1,0.8,21.8,69.3,0.3,1.0,0.0,6.79,6,3,0,2.5,2.7,2,1.0,2.3,0.2,0.6,1.9,0.7,0.2,0.7,0.0,0.3,0.5,0.0,0
69,Stephan El Shaarawy,84,Roma,30,M,14(15),1523,2,0.9,24.4,80.5,0.3,1.0,0.0,6.79,7,3,0,1.4,0.6,2,0.9,0.6,0.3,0.4,1.2,0.7,0.5,0.6,0.0,0.3,0.6,0.0,0
72,Marcelo Brozovic,75,Inter,30,M,19(9),1769,5,0.8,51.6,89.6,0.5,2.5,0.1,6.78,3,9,0,0.9,0.2,1,0.6,0.5,0.0,0.2,0.7,1.3,0.8,0.9,0.0,0.9,0.9,0.3,0
75,Filip Kostic,87,Juventus,30,M,33(4),2582,8,1.8,23.6,78.1,1.5,0.9,0.0,6.78,3,3,0,1.0,0.4,2,0.6,0.3,0.1,0.5,1.4,1.1,0.4,0.8,0.0,0.7,0.7,0.1,0
79,Roberto Pereyra,86,Udinese,32,M,33(1),2837,7,1.4,33.7,84.5,0.6,1.1,0.0,6.77,5,7,0,1.2,0.1,3,1.1,1.4,0.1,1.1,1.6,1.1,0.5,0.9,0.0,0.6,0.8,0.1,0
82,Riccardo Orsolini,71,Bologna,26,M,22(10),2122,4,1.4,23.8,68.1,1.0,1.7,0.0,6.77,11,6,2,2.9,0.5,3,1.1,1.3,0.6,1.1,2.2,0.9,0.3,1.2,0.0,0.4,0.8,0.1,0
84,Gabriel Strefezza,79,Lecce,26,M,30(5),2464,4,1.4,21.1,69.1,0.8,1.5,0.1,6.77,8,5,0,2.0,0.5,1,1.0,2.0,0.0,2.0,2.3,1.4,0.5,1.5,0.0,0.3,0.7,0.1,0
90,Razvan Marin,272,Empoli,27,M,28(5),2539,4,1.7,43.7,84.5,1.2,3.7,0.0,6.74,2,7,0,1.0,0.5,1,0.7,0.6,0.0,0.7,0.7,1.3,0.4,0.9,0.0,1.0,0.6,0.3,0
92,Patrick Ciurria,269,Monza,28,M,31(5),2757,5,1.0,30.3,82.5,0.8,1.1,0.0,6.74,6,4,0,1.4,0.3,3,0.5,1.1,0.2,0.4,1.3,0.9,0.2,0.9,0.0,0.7,0.4,0.1,0
96,Lewis Ferguson,71,Bologna,23,M,27(5),2324,0,0.5,37.2,86.1,0.1,0.5,0.0,6.73,7,4,0,1.3,0.9,2,0.3,1.3,0.2,0.5,1.0,1.4,0.6,1.6,0.0,0.8,0.6,0.2,0
98,Lassana Coulibaly,143,Salernitana,27,M,34(1),2901,3,0.6,33.1,84.0,0.0,1.0,0.1,6.72,3,12,0,0.5,0.9,2,1.4,1.4,0.0,0.9,1.7,2.4,0.7,1.5,0.0,0.9,1.2,0.2,0
103,Éderson,300,Atalanta,23,M,25(10),2226,1,0.6,30.6,81.9,0.1,1.8,0.0,6.71,1,4,0,1.0,0.6,0,1.1,1.2,0.0,0.9,1.4,1.9,1.0,0.8,0.0,0.7,1.1,0.2,0
109,Giacomo Bonaventura,73,Fiorentina,33,M,21(9),1914,1,1.1,28.7,85.6,0.4,1.2,0.1,6.69,5,4,1,1.6,0.5,2,0.8,1.3,0.1,1.0,0.8,1.2,0.5,0.8,0.0,0.1,0.4,0.0,0
113,Henrikh Mkhitaryan,75,Inter,34,M,24(7),1997,2,0.6,33.1,88.4,0.3,1.5,0.0,6.69,3,4,0,1.1,0.3,1,0.5,0.9,0.0,0.6,1.4,1.3,0.7,0.9,0.0,0.5,0.9,0.1,0
116,Antonio Candreva,143,Salernitana,36,M,32(3),2741,4,1.6,35.7,79.7,1.5,2.0,0.1,6.68,7,1,1,1.3,0.1,2,0.2,1.0,0.3,0.4,0.7,0.5,0.5,0.2,0.0,0.6,0.8,0.1,0
122,Darko Lazovic,76,Verona,32,M,27(3),2254,5,1.5,21.2,68.5,1.1,0.8,0.1,6.67,4,0,0,1.4,0.2,2,0.6,0.1,0.3,0.5,1.3,0.8,0.5,0.3,0.0,0.6,0.5,0.1,0
136,Aleksey Miranchuk,72,Torino,27,M,24(5),2099,5,1.5,26.9,81.4,0.3,1.2,0.1,6.64,4,0,0,1.4,0.3,0,0.5,0.8,0.0,0.9,1.6,0.4,0.1,0.3,0.0,0.2,0.3,0.0,0
139,Eljif Elmas,276,Napoli,23,M,14(22),1618,3,0.8,26.9,88.1,0.5,0.6,0.1,6.64,6,5,0,0.9,0.1,1,0.6,0.4,0.1,0.6,0.9,0.7,0.3,0.6,0.0,0.1,0.3,0.1,0
140,Emil Holm,1501,Spezia,23,M,17(3),1398,1,0.7,20.7,61.4,0.4,0.4,0.0,6.64,1,4,0,0.8,3.3,1,0.9,0.8,0.1,1.1,2.4,1.3,0.5,1.1,0.0,1.7,0.8,0.3,0
143,Wilfried Singo,72,Torino,22,M,24(7),2056,1,0.7,28.6,76.8,0.4,1.5,0.1,6.64,2,8,0,1.1,1.7,0,1.0,1.1,0.0,0.5,1.1,0.9,0.4,1.4,0.1,0.9,0.2,0.1,0
149,Pedro,77,Lazio,35,M,17(19),1896,3,0.6,25.0,84.3,0.2,0.6,0.0,6.63,4,1,0,1.2,0.0,1,0.9,0.8,0.1,0.8,1.3,1.0,0.2,0.7,0.0,0.1,0.5,0.1,0
152,Mehdi Léris,271,Sampdoria,25,M,29(3),2465,1,0.6,25.9,69.9,0.3,0.9,0.0,6.62,1,13,0,0.9,3.0,0,0.9,1.5,0.3,1.5,2.5,2.0,0.8,1.6,0.0,0.9,1.0,0.2,0
156,Samuele Ricci,72,Torino,21,M,23(5),2073,1,0.6,40.9,89.5,0.3,1.6,0.0,6.62,2,6,0,0.8,0.4,0,0.3,2.1,0.0,0.6,0.8,1.1,0.6,0.8,0.0,0.9,0.2,0.2,0
161,Danilo Cataldi,77,Lazio,28,M,26(3),1942,1,0.6,43.9,88.6,0.5,1.9,0.1,6.6,0,5,0,0.2,0.1,0,0.2,0.7,0.0,0.3,0.2,0.9,0.8,0.4,0.0,1.1,0.9,0.3,0
168,Nicola Zalewski,84,Roma,21,M,26(7),2210,1,0.4,28.7,79.1,0.4,2.0,0.0,6.59,2,3,0,0.9,0.1,1,0.9,1.5,0.0,0.4,0.9,1.4,0.9,0.7,0.0,0.6,1.5,0.0,0
170,Federico Chiesa,87,Juventus,25,M,6(15),843,5,1.0,13.1,78.5,0.5,0.2,0.0,6.59,2,2,0,1.2,0.0,1,1.1,0.6,0.1,0.9,1.2,1.0,0.0,0.6,0.0,0.0,0.4,0.0,0
171,Alexis Saelemaekers,80,AC Milan,23,M,14(16),1399,3,0.7,17.8,81.3,0.5,0.5,0.0,6.59,2,1,0,1.2,0.3,1,1.0,0.7,0.1,0.7,1.3,1.0,0.6,0.8,0.0,0.2,0.7,0.0,0
180,Remi Oudin,79,Lecce,26,M,12(19),1315,0,1.0,15.0,70.0,1.1,1.5,0.0,6.58,3,3,0,1.2,0.4,1,0.3,0.5,0.1,0.4,0.7,0.8,0.9,0.3,0.0,0.6,0.4,0.1,0
184,Matheus Henrique,2889,Sassuolo,25,M,21(9),1951,1,0.9,28.2,86.9,0.0,1.5,0.0,6.57,4,4,0,0.8,0.4,0,1.1,1.1,0.0,0.5,0.9,0.9,0.4,0.7,0.0,0.3,0.4,0.1,0
192,Filippo Bandinelli,272,Empoli,28,M,28(7),2284,0,0.9,26.0,78.4,0.8,1.1,0.0,6.55,2,10,0,0.7,0.3,1,0.4,1.1,0.0,0.9,1.2,1.6,0.5,1.5,0.0,1.1,0.8,0.2,0
196,Matías Vecino,77,Lazio,31,M,17(15),1685,0,0.3,30.2,85.9,0.0,0.8,0.0,6.54,2,6,0,0.8,1.0,1,0.1,0.3,0.1,0.1,0.6,1.5,0.5,0.8,0.0,1.2,0.8,0.3,0
204,Nicolò Fagioli,87,Juventus,22,M,17(9),1523,3,0.6,22.0,85.5,0.3,1.2,0.1,6.53,3,3,0,0.5,0.0,0,0.3,0.9,0.0,1.1,1.3,1.1,0.3,0.8,0.0,0.2,0.7,0.1,0
205,Mehdi Bourabia,1501,Spezia,31,M,36(1),2796,3,1.0,32.5,79.9,0.4,1.2,0.1,6.52,1,3,0,0.9,0.6,0,0.8,0.5,0.0,0.7,1.5,1.1,0.9,0.9,0.0,1.5,0.6,0.3,0
207,Soualiho Meïté,2731,Cremonese,29,M,28(3),2372,2,0.5,32.6,85.0,0.1,1.5,0.0,6.52,0,5,0,0.5,0.9,1,0.9,1.5,0.0,1.0,1.0,1.5,0.9,0.9,0.0,1.1,0.8,0.2,0
209,Mario Pasalic,300,Atalanta,28,M,24(8),1789,2,0.5,21.6,80.9,0.1,0.7,0.0,6.52,5,3,0,1.0,1.2,1,0.3,0.5,0.1,0.8,1.1,0.7,0.7,0.8,0.0,0.4,0.5,0.1,0
215,Maxime Lopez,2889,Sassuolo,25,M,25(5),2297,0,1.1,54.6,89.1,0.3,3.1,0.0,6.51,0,11,0,0.5,0.1,0,0.4,0.4,0.0,0.4,0.6,1.4,0.7,1.0,0.0,0.6,1.3,0.2,0
224,Nemanja Radonjic,72,Torino,27,M,16(12),1458,2,0.6,13.9,71.8,0.5,0.3,0.0,6.49,2,1,0,1.9,0.3,4,1.8,0.6,0.4,1.2,1.9,0.1,0.1,0.6,0.0,0.1,0.1,0.0,0
