player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Rafael Leão,80,AC Milan,24," AM(CL),FW  ",28(7),2434,8,1.4,21.2,74.4,0.5,1.3,0.1,7.19,15,5,1,2.6,0.8,8,2.2,0.9,0.3,1.1,2.0,0.2,0.4,0.6,0.0,0.2,0.2,0.1,0
Ismaël Bennacer,80,AC Milan,25, M(C)  ,24(4),2015,2,1.5,47.8,89.2,0.8,3.3,0.1,6.96,2,5,0,0.6,0.8,2,1.0,0.9,0.0,0.8,1.5,2.1,0.9,1.3,0.0,0.5,0.8,0.3,0
Sandro Tonali,80,AC Milan,23, DMC  ,30(4),2721,7,1.8,41.3,81.0,0.9,2.5,0.1,6.91,2,7,0,0.9,0.4,2,0.3,0.9,0.1,0.3,1.2,1.9,0.7,1.0,0.1,0.5,0.5,0.3,0
Fikayo Tomori,80,AC Milan,25, D(CR)  ,32(1),2765,1,0.3,57.5,88.9,0.0,5.1,0.1,6.89,1,5,0,0.3,1.9,2,0.1,0.8,0.0,0.1,0.3,2.1,0.9,0.8,0.3,2.3,0.4,0.8,0
Olivier Giroud,80,AC Milan,36, FW  ,25(8),2148,5,0.7,16.8,63.3,0.0,0.2,0.0,6.88,13,6,1,2.4,3.1,1,0.2,0.7,0.5,0.5,1.9,0.2,0.1,1.2,0.0,0.7,0.2,0.1,0
Theo Hernández,80,AC Milan,25," D(L),M(L)  ",32,2777,3,1.2,43.2,81.1,1.0,1.9,0.0,6.87,4,7,0,1.6,1.2,2,0.6,1.8,0.1,0.6,1.4,1.3,0.7,0.7,0.1,1.0,0.5,0.2,1
Junior Messias,80,AC Milan,32," M(CR),FW  ",19(6),1511,2,0.6,20.5,79.1,0.1,0.8,0.0,6.82,5,3,0,1.3,1.0,2,1.4,1.0,0.0,0.6,1.3,1.0,0.3,1.0,0.0,1.0,0.6,0.2,0
Rade Krunic,80,AC Milan,29, M(CL)  ,18(5),1659,1,0.7,41.2,85.9,0.0,1.1,0.0,6.81,0,8,0,0.6,1.2,1,0.8,0.8,0.0,0.3,0.4,1.7,0.7,0.7,0.0,0.8,1.5,0.5,0
Brahim Díaz,80,AC Milan,23, AM(CLR)  ,27(6),1947,7,1.2,20.8,82.2,0.1,0.5,0.2,6.79,6,3,0,1.1,0.1,2,1.2,1.5,0.1,1.5,2.2,1.0,0.2,0.9,0.0,0.1,0.3,0.0,0
Davide Calabria,80,AC Milan,26," D(LR),M(R)  ",21(4),1697,4,0.8,42.3,82.5,0.6,1.5,0.0,6.77,1,6,0,0.6,0.5,0,0.1,0.6,0.0,0.3,0.6,2.8,1.0,0.6,0.2,1.2,0.9,0.3,0
Malick Thiaw,80,AC Milan,21, D(C)  ,15(5),1364,0,0.1,52.5,88.4,0.0,3.4,0.0,6.76,0,5,0,0.4,2.6,0,0.1,0.4,0.1,0.2,0.2,1.6,0.6,0.7,0.2,3.3,0.5,0.3,0
Mike Maignan,80,AC Milan,27, GK  ,22,1979,1,0.0,31.4,80.6,0.0,5.0,0.0,6.64,0,0,0,0.0,0.1,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0
Alexis Saelemaekers,80,AC Milan,23, M(R)  ,14(16),1399,3,0.7,17.8,81.3,0.5,0.5,0.0,6.59,2,1,0,1.2,0.3,1,1.0,0.7,0.1,0.7,1.3,1.0,0.6,0.8,0.0,0.2,0.7,0.0,0
Pierre Kalulu,80,AC Milan,23, D(CR)  ,26(8),2544,0,0.3,50.1,88.7,0.2,2.6,0.1,6.59,1,4,0,0.3,1.1,1,0.3,0.7,0.1,0.1,0.7,1.7,1.2,0.7,0.3,1.4,0.4,0.5,0
Ante Rebic,80,AC Milan,29," AM(CLR),FW  ",10(13),977,2,0.6,12.5,62.2,0.2,0.3,0.1,6.46,3,4,0,1.2,0.5,1,0.7,0.7,0.3,0.7,1.1,0.4,0.0,0.8,0.0,0.2,0.3,0.0,0
Tommaso Pobega,80,AC Milan,23, M(C)  ,9(10),877,0,0.3,20.7,77.2,0.1,1.3,0.0,6.42,2,4,0,1.1,0.7,0,0.1,0.3,0.0,0.3,0.5,1.4,0.5,1.6,0.0,0.6,0.4,0.2,0
Charles De Ketelaere,80,AC Milan,22," M(CLR),FW  ",9(23),1102,1,0.6,11.4,79.4,0.0,0.2,0.1,6.38,0,2,0,0.6,0.6,0,1.1,0.5,0.1,0.9,0.8,0.8,0.1,0.6,0.0,0.3,0.5,0.1,0
Divock Origi,80,AC Milan,28," AM(LR),FW  ",10(17),1015,1,0.4,6.7,70.2,0.0,0.1,0.0,6.32,2,1,0,1.1,0.6,1,0.6,0.6,0.2,0.9,1.4,0.4,0.0,0.5,0.0,0.5,0.2,0.1,0
