player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Paulo Dybala,84,Roma,29," AM(CR),FW  ",22(4),1752,6,2.0,28.4,82.3,1.3,2.2,0.1,7.2,12,5,0,2.5,0.2,6,1.0,2.2,0.2,1.2,2.4,0.5,0.3,0.4,0.0,0.1,0.7,0.0,0
Lorenzo Pellegrini,84,Roma,27, M(CL)  ,29(3),2558,5,2.2,29.5,80.1,1.7,1.6,0.1,7.09,4,5,0,2.0,0.4,5,1.0,1.8,0.2,1.1,1.7,1.6,0.8,0.8,0.0,0.6,0.8,0.1,0
Chris Smalling,84,Roma,33, D(CR)  ,31(1),2808,1,0.2,41.8,87.5,0.0,2.3,0.0,6.91,3,7,0,0.5,2.3,2,0.1,0.4,0.0,0.1,0.3,0.8,1.3,0.6,0.2,3.8,0.3,1.1,0
Ibañez,84,Roma,24, D(C)  ,32(1),2797,0,0.2,49.8,88.0,0.0,2.6,0.1,6.87,3,9,1,0.9,1.8,1,0.4,1.5,0.0,0.5,0.8,2.0,2.0,1.3,0.2,2.8,0.5,0.3,1
Bryan Cristante,84,Roma,28," D(C),M(C)  ",34(2),2945,1,0.4,46.1,82.8,0.1,3.6,0.1,6.81,1,8,1,0.8,2.1,3,0.3,0.5,0.1,0.3,0.7,3.1,0.5,1.4,0.0,1.4,1.0,0.3,0
Stephan El Shaarawy,84,Roma,30," M(CLR),FW  ",14(15),1523,2,0.9,24.4,80.5,0.3,1.0,0.0,6.79,7,3,0,1.4,0.6,2,0.9,0.6,0.3,0.4,1.2,0.7,0.5,0.6,0.0,0.3,0.6,0.0,0
Tammy Abraham,84,Roma,25, FW  ,24(14),2199,3,0.9,13.1,68.3,0.1,0.4,0.1,6.75,8,2,0,1.6,2.1,2,0.6,1.3,0.3,0.8,1.6,0.4,0.1,0.9,0.0,0.4,0.3,0.1,0
Gianluca Mancini,84,Roma,27," D(C),DMC  ",33(2),2867,2,0.5,45.1,82.1,0.2,3.2,0.1,6.67,1,7,0,0.6,1.7,0,0.3,0.7,0.1,0.2,0.5,1.1,1.3,1.1,0.1,1.8,0.5,0.5,0
Nemanja Matic,84,Roma,34, DMC  ,16(19),1839,2,0.7,36.4,86.7,0.1,2.4,0.0,6.65,2,5,0,0.3,0.6,0,0.7,0.5,0.0,0.5,0.6,1.3,0.7,0.5,0.0,0.5,0.4,0.2,0
Nicola Zalewski,84,Roma,21, M(LR)  ,26(7),2210,1,0.4,28.7,79.1,0.4,2.0,0.0,6.59,2,3,0,0.9,0.1,1,0.9,1.5,0.0,0.4,0.9,1.4,0.9,0.7,0.0,0.6,1.5,0.0,0
Leonardo Spinazzola,84,Roma,30," D(LR),M(L)  ",18(8),1656,4,0.8,29.3,77.1,0.6,1.8,0.1,6.55,1,3,0,0.4,0.3,2,1.0,0.5,0.0,0.4,1.0,0.6,0.3,0.5,0.0,0.8,0.6,0.1,0
Zeki Çelik,84,Roma,26," D(R),M(R)  ",16(8),1503,1,0.7,29.3,76.4,0.4,1.5,0.0,6.48,0,5,1,0.2,0.5,0,0.3,0.3,0.1,0.5,0.7,1.8,0.6,1.1,0.0,1.0,0.7,0.3,0
Rui Patrício,84,Roma,35, GK  ,35,3150,0,0.0,21.8,72.9,0.0,4.9,0.0,6.45,0,1,0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0
Edoardo Bove,84,Roma,21, M(C)  ,10(12),990,0,0.3,17.3,77.4,0.0,0.3,0.0,6.34,1,2,0,0.3,0.6,0,0.2,1.0,0.0,0.8,1.1,1.6,0.5,1.1,0.0,0.3,1.0,0.0,0
Andrea Belotti,84,Roma,29, FW  ,11(20),1135,2,0.5,7.9,68.2,0.0,0.1,0.0,6.25,0,0,0,0.6,1.2,0,0.2,1.2,0.2,0.5,1.1,0.4,0.1,0.7,0.0,0.2,0.2,0.0,0
