player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Marco Carnesecchi,2731,Cremonese,22, GK  ,27,2430,1,0.1,30.1,53.1,0.0,6.9,0.0,6.74,0,1,0,0.0,0.2,3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0
Johan Vásquez,2731,Cremonese,24, D(CL)  ,19(6),1809,0,0.2,31.0,79.1,0.0,1.5,0.0,6.66,1,7,0,0.5,1.4,0,0.4,0.8,0.0,0.2,0.6,1.6,1.8,0.8,0.6,3.4,0.8,0.8,0
Leonardo Sernicola,2731,Cremonese,25," D(R),M(R)  ",27(5),2319,2,0.8,20.1,72.6,1.1,1.1,0.0,6.65,2,11,0,0.8,0.9,3,0.8,1.3,0.1,0.7,0.9,1.4,1.2,1.3,0.2,1.5,0.4,0.2,0
David Okereke,2731,Cremonese,25," AM(CLR),FW  ",25(8),2277,0,0.6,14.2,72.6,0.2,0.5,0.0,6.6,7,4,0,1.8,1.5,0,1.2,1.0,0.3,1.1,1.9,0.4,0.3,0.6,0.0,0.4,0.4,0.1,0
Frank Tsadjout,2731,Cremonese,23, FW  ,14(6),1057,1,0.5,13.3,69.4,0.0,0.1,0.0,6.58,3,1,0,1.3,3.0,1,0.6,0.9,0.2,0.5,1.9,0.5,0.4,1.1,0.0,0.5,0.3,0.1,0
Luka Lochoshvili,2731,Cremonese,25, D(C)  ,22(3),1850,2,0.2,31.1,79.9,0.0,1.2,0.0,6.55,1,4,0,0.3,1.5,0,0.2,0.4,0.0,0.2,0.4,1.8,0.9,1.1,0.2,3.4,0.4,0.4,0
Soualiho Meïté,2731,Cremonese,29, M(C)  ,28(3),2372,2,0.5,32.6,85.0,0.1,1.5,0.0,6.52,0,5,0,0.5,0.9,1,0.9,1.5,0.0,1.0,1.0,1.5,0.9,0.9,0.0,1.1,0.8,0.2,0
Matteo Bianchetti,2731,Cremonese,30, D(C)  ,22(3),2130,0,0.2,37.1,78.3,0.1,2.4,0.0,6.51,1,5,0,0.3,2.5,0,0.1,0.4,0.0,0.1,0.2,1.3,0.8,0.7,0.7,4.3,0.5,0.7,0
Emanuel Aiwu,2731,Cremonese,22, D(C)  ,17(6),1653,0,0.2,32.3,82.0,0.0,1.2,0.0,6.5,0,3,0,0.1,1.2,1,0.1,0.7,0.0,0.2,0.3,2.4,1.1,0.9,0.4,2.1,0.6,0.7,0
Emanuele Valeri,2731,Cremonese,24," D(L),M(L)  ",31(6),2791,3,1.5,22.4,66.0,1.1,1.2,0.0,6.47,2,3,0,1.1,0.4,0,0.5,1.0,0.1,0.7,1.7,1.4,0.6,0.7,0.1,0.9,1.1,0.1,0
Michele Castagnetti,2731,Cremonese,33, DMC  ,14(13),1415,1,1.0,28.0,80.6,0.4,1.4,0.1,6.45,0,2,0,0.4,0.3,0,0.3,0.4,0.0,0.1,0.6,1.7,0.6,0.6,0.0,0.8,1.3,0.1,0
Cyriel Dessers,2731,Cremonese,28, FW  ,19(7),1595,2,0.9,10.3,65.3,0.1,0.2,0.0,6.38,6,3,0,1.9,0.6,0,0.5,0.5,0.9,0.8,2.3,0.4,0.1,1.3,0.0,0.2,0.2,0.1,0
Cristian Buonaiuto,2731,Cremonese,30, Midfielder  ,7(22),970,0,0.6,13.0,73.3,0.6,0.4,0.0,6.34,1,3,0,1.5,0.2,0,0.7,0.8,0.0,1.0,1.2,0.9,0.5,0.6,0.0,0.2,0.5,0.0,0
Daniel Ciofani,2731,Cremonese,37, FW  ,10(22),1058,0,0.3,6.0,62.5,0.0,0.2,0.0,6.34,8,1,0,1.0,1.1,0,0.0,0.5,0.2,0.3,0.8,0.2,0.1,0.3,0.0,0.3,0.1,0.0,0
Charles Pickel,2731,Cremonese,26, M(C)  ,30(3),2491,0,0.6,28.8,78.3,0.0,0.7,0.0,6.33,1,8,1,0.7,1.4,0,0.1,0.5,0.1,0.5,1.0,1.7,0.7,1.0,0.0,0.9,0.8,0.2,0
Giacomo Quagliata,2731,Cremonese,23, D(L)  ,6(14),693,1,0.7,11.2,74.9,0.8,0.4,0.0,6.21,0,0,1,0.5,0.1,0,0.5,0.6,0.0,0.3,0.5,0.5,0.6,0.7,0.1,0.4,0.3,0.1,0
Felix Afena-Gyan,2731,Cremonese,20, FW  ,7(16),812,0,0.1,8.0,76.6,0.0,0.1,0.0,6.04,0,4,0,0.9,0.7,0,0.3,0.5,0.3,0.9,1.5,0.3,0.0,0.8,0.0,0.1,0.3,0.0,0
