player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Lucas Martínez,73,Fiorentina,27, D(C)  ,25(2),2173,1,0.3,55.9,81.9,0.1,6.3,0.0,7.08,1,6,0,1.0,2.8,5,0.4,0.9,0.0,0.2,0.4,3.0,1.8,0.8,0.5,2.8,0.7,0.7,0
Cristiano Biraghi,73,Fiorentina,30," D(L),M(L)  ",30(3),2556,4,2.5,42.3,78.5,2.7,2.4,0.0,6.92,2,1,0,0.8,0.6,2,0.2,1.2,0.0,0.2,0.5,2.0,0.4,0.9,0.4,1.2,1.0,0.2,1
Christian Kouamé,73,Fiorentina,25," AM(LR),FW  ",22(6),1871,4,1.4,21.0,73.3,0.5,0.5,0.0,6.79,4,5,0,1.5,2.2,3,0.8,2.0,0.3,1.5,2.9,1.0,0.4,1.1,0.0,0.2,0.3,0.1,0
Nicolás González,73,Fiorentina,25," M(CLR),FW  ",13(11),1355,1,0.8,21.8,69.3,0.3,1.0,0.0,6.79,6,3,0,2.5,2.7,2,1.0,2.3,0.2,0.6,1.9,0.7,0.2,0.7,0.0,0.3,0.5,0.0,0
Nikola Milenkovic,73,Fiorentina,25, D(CR)  ,23(4),2136,1,0.2,47.5,85.9,0.0,2.8,0.0,6.77,2,4,0,0.7,2.7,0,0.0,0.8,0.0,0.0,0.3,1.5,0.8,1.4,0.6,2.7,0.3,0.5,1
Rolando Mandragora,73,Fiorentina,25, DMC  ,22(7),1955,4,1.2,31.1,84.4,0.8,2.3,0.0,6.71,2,8,0,1.3,1.2,1,0.2,0.6,0.0,0.3,0.4,1.4,0.6,1.1,0.0,0.7,1.0,0.1,0
Giacomo Bonaventura,73,Fiorentina,33, M(CLR)  ,21(9),1914,1,1.1,28.7,85.6,0.4,1.2,0.1,6.69,5,4,1,1.6,0.5,2,0.8,1.3,0.1,1.0,0.8,1.2,0.5,0.8,0.0,0.1,0.4,0.0,0
Dodô,73,Fiorentina,24, D(R)  ,28(5),2341,3,0.8,37.3,84.2,0.3,1.6,0.0,6.64,1,3,1,0.3,0.6,1,1.0,1.2,0.0,0.5,1.1,1.2,0.8,0.8,0.4,0.8,0.7,0.1,0
Arthur Cabral,73,Fiorentina,25, FW  ,15(13),1433,1,0.5,9.4,69.1,0.0,0.2,0.0,6.61,8,4,0,1.9,1.8,1,0.5,0.6,0.1,0.9,2.1,0.3,0.0,0.9,0.0,0.4,0.1,0.0,0
Jonathan Ikoné,73,Fiorentina,25," AM(CLR),FW  ",24(9),2012,4,0.9,18.8,84.1,0.1,1.2,0.1,6.58,4,4,0,1.5,0.4,1,1.5,0.8,0.2,1.4,1.8,0.5,0.1,0.8,0.0,0.0,0.3,0.0,0
Aleksa Terzic,73,Fiorentina,23, D(L)  ,8(14),929,1,1.1,24.1,85.9,1.4,1.3,0.0,6.58,1,2,0,0.5,0.3,0,0.7,0.5,0.1,0.3,0.6,0.7,0.2,0.2,0.1,0.7,0.5,0.2,0
Luka Jovic,73,Fiorentina,25, FW  ,16(15),1529,3,0.7,9.5,77.5,0.0,0.5,0.0,6.53,6,3,0,1.8,0.9,2,0.5,0.3,0.4,0.5,0.8,0.2,0.1,0.7,0.0,0.3,0.2,0.1,0
Pietro Terracciano,73,Fiorentina,33, GK  ,29,2610,0,0.0,33.0,73.5,0.0,8.2,0.0,6.51,0,1,0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.8,0.0,0.0,0
Riccardo Saponara,73,Fiorentina,31, AM(CLR)  ,14(15),1207,3,0.7,14.4,75.7,0.3,0.3,0.0,6.47,4,4,0,1.3,0.3,2,0.6,0.8,0.2,0.7,1.0,0.3,0.2,0.5,0.0,0.3,0.1,0.0,0
Igor Julio,73,Fiorentina,25," D(C),M(L)  ",23(4),2060,0,0.1,48.6,88.0,0.0,3.4,0.0,6.47,0,8,1,0.3,1.4,0,0.3,0.5,0.0,0.4,0.3,1.6,0.9,1.1,0.7,2.0,0.3,0.5,0
Sofyan Amrabat,73,Fiorentina,26, DMC  ,24(5),2007,1,0.4,50.1,89.8,0.3,4.6,0.0,6.46,0,11,0,0.4,0.4,0,0.4,1.0,0.0,0.6,0.7,1.3,0.7,1.9,0.0,0.6,0.4,0.2,0
Alfred Duncan,73,Fiorentina,30, DMC  ,13(12),1107,0,0.6,20.2,80.8,0.4,1.1,0.0,6.4,1,3,0,0.4,0.4,0,0.5,0.5,0.0,0.6,0.7,0.7,0.3,1.0,0.0,0.2,0.4,0.0,0
Antonín Barák,73,Fiorentina,28, AM(CR)  ,21(9),1807,0,0.7,23.2,83.5,0.1,1.0,0.0,6.38,2,4,0,1.1,0.6,0,0.6,0.6,0.1,0.9,1.1,0.7,0.1,0.4,0.0,0.4,0.3,0.1,0
