player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Adrien Rabiot,87,Juventus,28," DMC,M(L)  ",31(1),2751,4,1.0,35.5,83.6,0.2,1.5,0.1,7.11,8,9,0,1.5,1.6,3,0.8,1.3,0.1,1.1,1.8,2.0,0.8,1.4,0.0,1.2,0.8,0.2,0
Danilo,87,Juventus,31," D(CLR),DMC  ",35(2),3182,3,0.5,56.0,85.1,0.1,4.3,0.1,7.04,3,5,0,0.9,1.4,2,0.2,0.5,0.0,0.2,0.6,2.5,1.3,0.9,0.2,3.0,0.6,0.5,0
Bremer,87,Juventus,26, D(C)  ,30,2640,1,0.3,55.4,90.2,0.0,3.0,0.0,6.92,4,6,0,1.1,2.6,3,0.1,0.4,0.0,0.3,0.6,1.0,1.4,1.0,0.5,3.8,0.2,0.7,0
Juan Cuadrado,87,Juventus,35," D(R),M(CLR),FW  ",24(7),2090,3,1.4,35.7,87.0,1.1,2.7,0.0,6.89,1,6,1,1.0,0.4,2,0.8,1.4,0.1,0.5,1.1,1.6,0.8,1.1,0.1,0.7,1.2,0.1,0
Manuel Locatelli,87,Juventus,25, M(C)  ,29(3),2460,2,0.7,41.8,82.7,0.0,3.4,0.0,6.88,0,8,0,0.9,1.1,1,0.5,1.0,0.0,0.6,0.9,1.8,0.8,1.4,0.0,1.6,0.7,0.7,0
Ángel Di María,87,Juventus,35," M(CLR),FW  ",15(11),1364,4,1.6,21.3,78.7,1.3,1.3,0.2,6.83,4,1,1,1.5,0.0,0,1.2,0.9,0.2,1.0,1.2,0.4,0.3,0.2,0.0,0.0,0.6,0.0,0
Filip Kostic,87,Juventus,30," M(LR),FW  ",33(4),2582,8,1.8,23.6,78.1,1.5,0.9,0.0,6.78,3,3,0,1.0,0.4,2,0.6,0.3,0.1,0.5,1.4,1.1,0.4,0.8,0.0,0.7,0.7,0.1,0
Wojciech Szczesny,87,Juventus,33, GK  ,28,2473,0,0.0,23.5,75.7,0.0,5.6,0.0,6.77,0,0,0,0.0,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0
Dusan Vlahovic,87,Juventus,23, FW  ,22(5),1932,2,0.8,13.8,72.1,0.1,0.7,0.0,6.75,10,1,0,2.5,1.3,3,0.5,1.0,0.8,1.4,2.3,0.4,0.1,0.7,0.0,0.3,0.2,0.1,0
Alex Sandro,87,Juventus,32," D(CL),M(L)  ",21(4),1789,1,0.5,44.6,87.5,0.2,2.9,0.0,6.7,0,5,1,0.2,1.6,0,0.8,1.0,0.0,0.7,1.0,1.4,0.6,1.1,0.4,2.5,0.3,0.4,0
Arkadiusz Milik,87,Juventus,29," AM(C),FW  ",17(10),1583,1,0.6,16.3,78.6,0.0,0.4,0.0,6.69,7,1,1,1.6,1.3,1,0.4,1.1,0.3,0.6,1.9,0.4,0.0,1.0,0.0,0.5,0.2,0.0,0
Federico Chiesa,87,Juventus,25," M(CLR),FW  ",6(15),843,5,1.0,13.1,78.5,0.5,0.2,0.0,6.59,2,2,0,1.2,0.0,1,1.1,0.6,0.1,0.9,1.2,1.0,0.0,0.6,0.0,0.0,0.4,0.0,0
Nicolò Fagioli,87,Juventus,22, M(C)  ,17(9),1523,3,0.6,22.0,85.5,0.3,1.2,0.1,6.53,3,3,0,0.5,0.0,0,0.3,0.9,0.0,1.1,1.3,1.1,0.3,0.8,0.0,0.2,0.7,0.1,0
Leandro Paredes,87,Juventus,28, DMC  ,8(17),969,0,0.8,28.9,91.4,0.7,2.0,0.1,6.41,1,7,1,0.6,0.2,1,0.2,0.4,0.0,0.2,0.2,0.8,0.7,0.8,0.0,0.8,0.5,0.0,0
Fabio Miretti,87,Juventus,19, AM(C)  ,14(13),1233,2,0.6,17.6,73.5,0.3,0.5,0.0,6.39,0,2,0,0.7,0.4,0,0.7,1.0,0.1,1.0,1.5,0.9,0.1,0.9,0.0,0.3,0.6,0.0,0
Moise Kean,87,Juventus,23," AM(LR),FW  ",11(17),990,0,0.3,6.4,71.5,0.0,0.1,0.0,6.33,6,5,1,1.4,0.3,1,0.5,0.6,0.3,1.0,1.0,0.3,0.2,0.5,0.0,0.1,0.1,0.0,0
