player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Victor Osimhen,276,Napoli,24, FW  ,30(2),2583,4,1.1,11.6,71.0,0.1,0.3,0.0,7.45,26,4,0,4.2,2.1,5,0.8,1.2,1.0,1.5,3.0,0.3,0.2,1.3,0.0,0.9,0.2,0.0,0
Khvicha Kvaratskhelia,276,Napoli,22, AM(CLR)  ,30(4),2541,10,1.6,30.5,83.7,0.4,1.3,0.2,7.43,12,1,0,2.5,0.2,7,2.2,1.3,0.2,1.4,1.9,1.3,0.1,0.6,0.0,0.2,0.8,0.0,0
Mário Rui,276,Napoli,32," D(L),M(L)  ",21(1),1763,6,2.1,65.0,84.2,1.6,5.1,0.1,7.09,0,2,1,0.5,0.6,2,0.4,1.4,0.0,0.3,0.5,1.5,0.7,0.9,0.1,0.8,1.0,0.2,0
Kim Min-Jae,276,Napoli,26, D(C)  ,35,3055,2,0.3,80.0,91.0,0.1,3.4,0.0,7.07,2,5,0,0.2,2.6,1,0.1,0.2,0.0,0.2,0.4,1.6,1.2,0.9,0.6,3.5,0.1,0.7,0
Giovanni Di Lorenzo,276,Napoli,29," D(CLR),M(R)  ",36(1),3257,4,1.3,61.8,86.0,0.2,2.7,0.1,7.04,3,2,0,0.8,1.1,5,0.3,1.0,0.1,0.5,0.6,1.6,0.8,0.8,0.2,1.4,0.6,0.2,0
André-Frank Zambo Anguissa,276,Napoli,27, M(C)  ,36,3062,5,0.9,61.8,88.8,0.0,1.7,0.0,7.03,3,3,0,1.4,1.3,1,0.9,1.3,0.1,1.4,2.0,1.5,1.4,1.2,0.0,0.7,1.3,0.1,0
Piotr Zielinski,276,Napoli,29, M(CLR)  ,27(10),2306,8,2.3,38.7,87.5,1.2,1.0,0.1,6.93,3,3,0,1.4,0.1,1,0.6,0.9,0.1,0.4,0.7,0.5,0.4,0.6,0.0,0.2,0.4,0.1,0
Stanislav Lobotka,276,Napoli,28, DMC  ,34(4),3113,1,0.4,60.4,94.2,0.0,2.5,0.0,6.87,1,2,0,0.3,0.3,0,0.5,1.4,0.0,0.4,0.7,2.2,0.6,0.7,0.0,0.4,0.8,0.2,0
Amir Rrahmani,276,Napoli,29, D(CL)  ,27(2),2450,1,0.4,74.5,91.4,0.0,5.3,0.0,6.87,2,2,0,0.7,2.3,0,0.1,0.4,0.0,0.1,0.3,1.1,0.5,0.8,0.2,2.6,0.3,0.7,0
Hirving Lozano,276,Napoli,27," AM(LR),FW  ",20(12),1614,3,0.9,15.8,81.7,0.7,0.2,0.0,6.77,3,3,0,1.3,0.3,1,1.2,1.0,0.1,0.4,1.2,0.8,0.5,0.8,0.0,0.1,0.4,0.0,0
Alex Meret,276,Napoli,26, GK  ,34,3060,0,0.0,23.8,86.0,0.0,3.5,0.0,6.69,0,0,0,0.0,0.1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0
Mathías Olivera,276,Napoli,25," D(L),M(L)  ",17(13),1637,2,0.8,39.5,87.3,0.2,1.1,0.0,6.66,2,2,0,0.3,1.1,3,0.3,0.8,0.1,0.8,0.7,1.3,0.7,0.7,0.2,0.8,0.7,0.1,0
Eljif Elmas,276,Napoli,23, M(CLR)  ,14(22),1618,3,0.8,26.9,88.1,0.5,0.6,0.1,6.64,6,5,0,0.9,0.1,1,0.6,0.4,0.1,0.6,0.9,0.7,0.3,0.6,0.0,0.1,0.3,0.1,0
Matteo Politano,276,Napoli,29," AM(CLR),FW  ",14(13),1168,3,1.3,19.8,81.8,0.6,0.9,0.1,6.6,3,1,0,1.2,0.1,0,0.9,0.8,0.0,0.4,1.1,0.7,0.3,0.4,0.0,0.2,0.5,0.0,0
Giacomo Raspadori,276,Napoli,23," AM(CL),FW  ",10(15),903,2,0.7,16.8,80.9,0.3,0.8,0.0,6.44,2,1,0,1.6,0.1,0,0.3,0.5,0.0,0.6,1.2,0.4,0.2,0.3,0.0,0.1,0.2,0.0,0
Giovanni Simeone,276,Napoli,27," AM(R),FW  ",1(24),389,1,0.2,4.2,73.1,0.0,0.1,0.0,6.28,4,1,0,0.6,0.2,0,0.3,0.4,0.0,0.5,1.1,0.5,0.0,0.3,0.0,0.2,0.2,0.0,0
Tanguy Ndombélé,276,Napoli,26, M(C)  ,8(22),793,0,0.3,19.0,87.9,0.0,0.2,0.0,6.24,1,5,0,0.5,0.2,0,0.6,0.8,0.0,0.6,0.9,0.5,0.2,0.5,0.0,0.2,0.1,0.0,0
