player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Boulaye Dia,143,Salernitana,26," AM(R),FW  ",27(6),2527,6,1.1,17.5,77.3,0.1,0.5,0.1,6.88,16,4,0,1.5,0.6,4,1.1,1.3,0.4,1.8,2.2,0.4,0.2,0.8,0.0,0.8,0.2,0.0,0
Guillermo Ochoa,143,Salernitana,37, GK  ,20,1800,0,0.0,35.6,55.8,0.0,8.2,0.0,6.8,0,1,0,0.0,0.1,1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0
Pasquale Mazzocchi,143,Salernitana,27," D(R),M(LR)  ",23(4),1968,3,1.1,24.8,79.9,0.8,1.1,0.0,6.74,2,2,0,0.7,0.4,1,2.1,0.6,0.2,1.3,2.0,1.2,0.4,1.0,0.0,1.0,0.7,0.1,0
Lassana Coulibaly,143,Salernitana,27, M(CL)  ,34(1),2901,3,0.6,33.1,84.0,0.0,1.0,0.1,6.72,3,12,0,0.5,0.9,2,1.4,1.4,0.0,0.9,1.7,2.4,0.7,1.5,0.0,0.9,1.2,0.2,0
Norbert Gyömbér,143,Salernitana,30," D(CR),DMC  ",23(4),1755,1,0.1,27.2,83.8,0.0,1.3,0.0,6.71,0,5,0,0.3,1.7,0,0.1,0.3,0.0,0.0,0.1,1.2,1.3,0.8,0.2,3.3,0.3,0.8,0
Antonio Candreva,143,Salernitana,36, M(CLR)  ,32(3),2741,4,1.6,35.7,79.7,1.5,2.0,0.1,6.68,7,1,1,1.3,0.1,2,0.2,1.0,0.3,0.4,0.7,0.5,0.5,0.2,0.0,0.6,0.8,0.1,0
Krzysztof Piatek,143,Salernitana,27, FW  ,23(10),2144,5,0.7,16.2,70.1,0.0,0.4,0.0,6.59,4,5,0,1.8,2.7,1,0.3,1.3,0.7,1.1,2.4,0.5,0.1,1.2,0.0,1.2,0.5,0.1,0
Lorenzo Pirola,143,Salernitana,21, D(C)  ,23(3),1949,0,0.1,37.6,80.6,0.0,1.3,0.0,6.56,2,4,0,0.5,1.8,2,0.2,0.3,0.0,0.1,0.5,1.3,1.2,1.1,0.5,3.2,0.3,1.3,0
Flavius Daniliuc,143,Salernitana,22, D(CR)  ,23(4),2195,2,0.3,41.3,86.1,0.0,2.6,0.0,6.53,0,10,0,0.4,1.4,0,0.1,0.1,0.0,0.1,0.5,2.1,1.1,1.2,0.4,2.6,0.8,0.5,0
Grigoris Kastanos,143,Salernitana,25, M(CR)  ,13(15),1280,1,0.5,19.4,77.7,0.2,0.8,0.0,6.49,2,4,0,1.1,0.8,0,0.5,1.5,0.0,0.7,0.6,1.4,0.3,0.8,0.0,0.2,0.9,0.2,0
Tonny Vilhena,143,Salernitana,28," D(L),M(CL)  ",27(6),2275,1,0.6,24.2,79.7,0.5,1.0,0.0,6.46,4,5,0,0.9,0.3,0,0.5,1.0,0.0,0.7,1.1,1.3,0.5,1.0,0.0,0.6,0.9,0.2,0
Dylan Bronn,143,Salernitana,28, D(C)  ,19(5),1684,0,0.2,40.5,85.9,0.0,2.6,0.0,6.41,0,5,1,0.3,1.4,0,0.3,0.4,0.0,0.1,0.3,1.4,0.8,1.2,0.4,2.3,0.4,0.8,0
Domagoj Bradaric,143,Salernitana,23," D(L),M(L)  ",24(7),2254,3,0.5,28.1,78.9,0.4,1.1,0.0,6.39,0,5,0,0.2,0.5,0,0.5,0.6,0.1,0.3,0.9,0.8,0.7,0.5,0.1,1.3,0.3,0.2,0
Emil Bohinen,143,Salernitana,24, DMC  ,9(15),825,0,0.5,19.8,84.8,0.0,0.4,0.0,6.38,0,0,0,0.2,0.5,0,0.3,0.5,0.0,0.4,0.4,1.0,0.7,0.6,0.0,0.8,0.5,0.3,0
Junior Sambia,143,Salernitana,26," D(R),M(CR)  ",7(15),691,1,0.3,13.3,84.2,0.3,0.4,0.0,6.33,0,3,0,0.6,0.7,0,0.5,0.8,0.0,0.4,0.6,0.5,0.4,0.5,0.0,0.5,0.2,0.1,0
Federico Bonazzoli,143,Salernitana,26," AM(C),FW  ",12(12),1119,1,0.3,14.5,75.4,0.0,1.0,0.0,6.27,2,1,0,1.3,0.3,0,0.5,1.3,0.3,0.5,1.8,0.2,0.1,0.8,0.0,0.0,0.4,0.0,0
Erik Botheim,143,Salernitana,23, AM(C)  ,9(19),858,3,0.3,8.0,72.8,0.0,0.1,0.0,6.19,1,2,0,0.3,0.8,0,0.1,0.4,0.1,0.4,0.7,0.4,0.0,0.4,0.0,0.1,0.3,0.0,0
