Name,Position,Date of Birth,Age,Nationality,Market Value
Marco Carnesecchi,Goalkeeper,"Jul 1, 2000",22,Italy,€13.00m
Andrei Radu,Goalkeeper,"May 28, 1997",26,Romania,€3.50m
Mouhamadou Sarr,Goalkeeper,"Jan 5, 1997",26,Senegal,€400k
Gianluca Saro,Goalkeeper,"Jun 25, 2000",23,Italy,€200k
Dorian Ciezkowski,Goalkeeper,"Mar 22, 2001",22,Poland,€100k
Johan Vásquez,Centre-Back,"Oct 22, 1998",24,Mexico,€3.60m
Jack Hendry,Centre-Back,"May 7, 1995",28,Scotland,€3.00m
Emanuel Aiwu,Centre-Back,"Dec 25, 2000",22,Austria,€3.00m
Luka Lochoshvili,Centre-Back,"May 29, 1998",25,Georgia,€1.80m
Luca Ravanelli,Centre-Back,"Jan 6, 1997",26,Italy,€1.40m
Alex Ferrari,Centre-Back,"Jul 1, 1994",28,Italy,€1.00m
Vlad Chiricheș,Centre-Back,"Nov 14, 1989",33,Romania,€900k
Matteo Bianchetti,Centre-Back,"Mar 17, 1993",30,Italy,€800k
Maissa Ndiaye,Centre-Back,"Jan 28, 2002",21,Senegal,€300k
Paolo Gardoni,Centre-Back,"Jan 1, 2004",19,Italy,€25k
Emanuele Valeri,Left-Back,"Dec 7, 1998",24,Italy,€3.50m
Giacomo Quagliata,Left-Back,"Feb 19, 2000",23,Italy,€2.00m
Leonardo Sernicola,Right-Back,"Jul 30, 1997",25,Italy,€2.00m
Paolo Ghiglione,Right-Back,"Feb 2, 1997",26,Italy,€1.30m
Santiago Ascacíbar,Defensive Midfield,"Feb 25, 1997",26,Argentina,€6.50m
Charles Pickel,Defensive Midfield,"May 15, 1997",26,DR Congo,€3.80m
Michele Castagnetti,Defensive Midfield,"Dec 27, 1989",33,Italy,€700k
Paolo Bartolomei,Defensive Midfield,"Aug 22, 1989",33,Italy,€250k
Soualiho Meïté,Central Midfield,"Mar 17, 1994",29,France,€3.50m
Pablo Galdames,Central Midfield,"Dec 30, 1996",26,Chile,€2.30m
Gonzalo Escalante,Central Midfield,"Mar 27, 1993",30,Argentina,€2.00m
Marco Benassi,Central Midfield,"Sep 8, 1994",28,Italy,€1.50m
Tommaso Milanese,Central Midfield,"Jul 31, 2002",20,Italy,€1.20m
Joshua Tenkorang,Central Midfield,"May 26, 2000",23,Italy,€200k
Christian Acella,Central Midfield,"Jul 7, 2002",20,Italy,€150k
Luca Borghesan,Central Midfield,"Jan 5, 2004",19,Italy,€50k
Jaime Báez,Left Winger,"Apr 25, 1995",28,Uruguay,€1.20m
Cristian Buonaiuto,Left Winger,"Dec 29, 1992",30,Italy,€800k
Dennis Politic,Left Winger,"Mar 5, 2000",23,Romania,€150k
Luca Zanimacchia,Right Winger,"Jul 19, 1998",24,Italy,€1.80m
Felix Afena-Gyan,Centre-Forward,"Jan 19, 2003",20,Ghana,€5.00m
Cyriel Dessers,Centre-Forward,"Dec 8, 1994",28,Nigeria,€5.00m
David Okereke,Centre-Forward,"Aug 29, 1997",25,Nigeria,€4.00m
Frank Tsadjout,Centre-Forward,"Jul 28, 1999",23,Italy,€1.20m
Samuel Di Carmine,Centre-Forward,"Sep 29, 1988",34,Italy,€350k
Daniel Ciofani,Centre-Forward,"Jul 31, 1985",37,Italy,€200k
Alberto Basso Ricci,Centre-Forward,"Jun 29, 2004",19,Italy,€100k
