Name,Position,Date of Birth,Age,Nationality,Market Value
Guglielmo Vicario,Goalkeeper,"Oct 7, 1996",26,Italy,€16.00m
Samuele Perisan,Goalkeeper,"Aug 21, 1997",25,Italy,€800k
Jacopo Furlan,Goalkeeper,"Feb 22, 1993",30,Italy,€200k
Lovro Stubljar,Goalkeeper,"Aug 9, 2004",18,Slovenia,€200k
Samir Ujkani,Goalkeeper,"Jul 5, 1988",34,Kosovo,€100k
Gian Marco Fantoni,Goalkeeper,"Jan 24, 2004",19,Italy,€50k
Jacopo Seghetti,Goalkeeper,"Feb 17, 2005",18,Italy,-
Koni De Winter,Centre-Back,"Jun 12, 2002",21,Belgium,€4.00m
Ardian Ismajli,Centre-Back,"Sep 30, 1996",26,Albania,€3.50m
Sebastian Walukiewicz,Centre-Back,"Apr 5, 2000",23,Poland,€3.00m
Sebastiano Luperto,Centre-Back,"Sep 6, 1996",26,Italy,€3.00m
Gabriele Guarino,Centre-Back,"Apr 14, 2004",19,Italy,€800k
Lorenzo Tonelli,Centre-Back,"Jan 17, 1990",33,Italy,€500k
Gabriele Indragoli,Centre-Back,"Feb 20, 2004",19,Italy,€100k
Fabiano Parisi,Left-Back,"Nov 9, 2000",22,Italy,€10.00m
Liberato Cacace,Left-Back,"Sep 27, 2000",22,New Zealand,€2.00m
Samuele Angori,Left-Back,"Oct 7, 2003",19,Italy,€200k
Tyronne Ebuehi,Right-Back,"Dec 16, 1995",27,Nigeria,€2.50m
Petar Stojanović,Right-Back,"Oct 7, 1995",27,Slovenia,€2.30m
Alberto Grassi,Defensive Midfield,"Mar 7, 1995",28,Italy,€2.00m
Leo Stulac,Defensive Midfield,"Sep 26, 1994",28,Slovenia,€1.00m
Duccio Degli Innocenti,Defensive Midfield,"Apr 28, 2003",20,Italy,€500k
Răzvan Marin,Central Midfield,"May 23, 1996",27,Romania,€8.00m
Jacopo Fazzini,Central Midfield,"Mar 16, 2003",20,Italy,€3.50m
Filippo Bandinelli,Central Midfield,"Mar 29, 1995",28,Italy,€3.50m
Liam Henderson,Central Midfield,"Apr 25, 1996",27,Scotland,€2.50m
Nicolas Haas,Central Midfield,"Jan 23, 1996",27,Switzerland,€2.00m
Jean-Daniel Akpa Akpro,Central Midfield,"Oct 11, 1992",30,Cote d'Ivoire,€1.50m
Giovanni Crociata,Central Midfield,"Aug 11, 1997",25,Italy,€750k
Lorenzo Ignacchiti,Central Midfield,"Apr 25, 2004",19,Italy,€250k
Alessandro Renzi,Central Midfield,"Jan 27, 2004",19,Italy,€175k
Tommaso Baldanzi,Attacking Midfield,"Mar 23, 2003",20,Italy,€15.00m
Nedim Bajrami,Attacking Midfield,"Feb 28, 1999",24,Albania,€7.50m
Nicolò Cambiaghi,Left Winger,"Dec 28, 2000",22,Italy,€8.00m
Marko Pjaca,Left Winger,"May 6, 1995",28,Croatia,€1.70m
Emanuel Vignato,Right Winger,"Aug 24, 2000",22,Italy,€2.00m
Davide Merola,Right Winger,"Mar 27, 2000",23,Italy,€400k
Martín Satriano,Centre-Forward,"Feb 20, 2001",22,Uruguay,€7.00m
Roberto Piccoli,Centre-Forward,"Jan 27, 2001",22,Italy,€3.50m
Sam Lammers,Centre-Forward,"Apr 30, 1997",26,Netherlands,€2.00m
Francesco Caputo,Centre-Forward,"Aug 6, 1987",35,Italy,€1.50m
Mattia Destro,Centre-Forward,"Mar 20, 1991",32,Italy,€1.30m
Herculano Nabian,Centre-Forward,"Jan 25, 2004",19,Portugal,€450k
Emmanuel Ekong,Centre-Forward,"Jun 25, 2002",21,Sweden,€250k
