Name,Position,Date of Birth,Age,Nationality,Market Value
Pierluigi Gollini,Goalkeeper,"Mar 18, 1995",28,Italy,€4.50m
Pietro Terracciano,Goalkeeper,"Mar 8, 1990",33,Italy,€2.00m
Michele Cerofolini,Goalkeeper,"Jan 4, 1999",24,Italy,€500k
Salvatore Sirigu,Goalkeeper,"Jan 12, 1987",36,Italy,€500k
Tommaso Martinelli,Goalkeeper,"Jan 6, 2006",17,Italy,-
Tommaso Vannucchi,Goalkeeper,"Mar 5, 2007",16,Italy,-
Nikola Milenković,Centre-Back,"Oct 12, 1997",25,Serbia,€18.00m
Lucas Martínez Quarta,Centre-Back,"May 10, 1996",27,Argentina,€10.00m
Igor,Centre-Back,"Feb 7, 1998",25,Brazil,€10.00m
Luca Ranieri,Centre-Back,"Apr 23, 1999",24,Italy,€2.50m
Matija Nastasic,Centre-Back,"Mar 28, 1993",30,Serbia,€1.50m
Dimo Krastev,Centre-Back,"Feb 10, 2003",20,Bulgaria,€200k
Cristiano Biraghi,Left-Back,"Sep 1, 1992",30,Italy,€5.00m
Aleksa Terzic,Left-Back,"Aug 17, 1999",23,Serbia,€2.00m
Dodô,Right-Back,"Nov 17, 1998",24,Brazil,€20.00m
Lorenzo Venuti,Right-Back,"Apr 12, 1995",28,Italy,€2.00m
Michael Kayode,Right-Back,"Jul 10, 2004",18,Italy,€800k
Sofyan Amrabat,Defensive Midfield,"Aug 21, 1996",26,Morocco,€30.00m
Rolando Mandragora,Defensive Midfield,"Jun 29, 1997",26,Italy,€10.00m
Lorenzo Amatucci,Defensive Midfield,"Feb 5, 2004",19,Italy,€700k
Gaetano Castrovilli,Central Midfield,"Feb 17, 1997",26,Italy,€10.00m
Youssef Maleh,Central Midfield,"Aug 22, 1998",24,Morocco,€4.50m
Alfred Duncan,Central Midfield,"Mar 10, 1993",30,Ghana,€4.00m
Szymon Żurkowski,Central Midfield,"Sep 25, 1997",25,Poland,€3.50m
Giacomo Bonaventura,Central Midfield,"Aug 22, 1989",33,Italy,€2.50m
Marco Benassi,Central Midfield,"Sep 8, 1994",28,Italy,€1.50m
Alessandro Bianco,Central Midfield,"Oct 1, 2002",20,Italy,€800k
Costantino Favasuli,Left Midfield,"Apr 26, 2004",19,Italy,€200k
Antonín Barák,Attacking Midfield,"Dec 3, 1994",28,Czech Republic,€10.00m
Riccardo Saponara,Attacking Midfield,"Dec 21, 1991",31,Italy,€2.00m
Christian Kouamé,Left Winger,"Dec 6, 1997",25,Cote d'Ivoire,€12.00m
Riccardo Sottil,Left Winger,"Jun 3, 1999",24,Italy,€8.00m
Josip Brekalo,Left Winger,"Jun 23, 1998",25,Croatia,€5.00m
Nicolás González,Right Winger,"Apr 6, 1998",25,Argentina,€30.00m
Jonathan Ikoné,Right Winger,"May 2, 1998",25,France,€16.00m
Filippo Distefano,Second Striker,"Aug 28, 2003",19,Italy,€600k
Arthur Cabral,Centre-Forward,"Apr 25, 1998",25,Brazil,€20.00m
Luka Jović,Centre-Forward,"Dec 23, 1997",25,Serbia,€8.00m
