Name,Position,Date of Birth,Age,Nationality,Market Value
André Onana,Goalkeeper,"Apr 2, 1996",27,Cameroon,€35.00m
Samir Handanovic,Goalkeeper,"Jul 14, 1984",38,Slovenia,€500k
Gabriel Brazão,Goalkeeper,"Oct 5, 2000",22,Brazil,€400k
Alex Cordaz,Goalkeeper,"Jan 1, 1983",40,Italy,€200k
Nikolaos Botis,Goalkeeper,"Mar 31, 2004",19,Greece,€100k
Alessandro Bastoni,Centre-Back,"Apr 13, 1999",24,Italy,€60.00m
Milan Skriniar,Centre-Back,"Feb 11, 1995",28,Slovakia,€50.00m
Stefan de Vrij,Centre-Back,"Feb 5, 1992",31,Netherlands,€8.00m
Francesco Acerbi,Centre-Back,"Feb 10, 1988",35,Italy,€4.00m
Danilo D'Ambrosio,Centre-Back,"Sep 9, 1988",34,Italy,€1.50m
Alessandro Fontanarosa,Centre-Back,"Feb 7, 2003",20,Italy,€400k
Federico Dimarco,Left-Back,"Nov 10, 1997",25,Italy,€35.00m
Dalbert,Left-Back,"Sep 8, 1993",29,Brazil,€1.00m
Matteo Darmian,Right-Back,"Dec 2, 1989",33,Italy,€4.00m
Mattia Zanotti,Right-Back,"Jan 11, 2003",20,Italy,€800k
Hakan Çalhanoğlu,Defensive Midfield,"Feb 8, 1994",29,Türkiye,€40.00m
Marcelo Brozovic,Defensive Midfield,"Nov 16, 1992",30,Croatia,€25.00m
Kristjan Asllani,Defensive Midfield,"Mar 9, 2002",21,Albania,€12.00m
Lucien Agoumé,Defensive Midfield,"Feb 9, 2002",21,France,€7.00m
Aleksandar Stankovic,Defensive Midfield,"Aug 3, 2005",17,Serbia,-
Nicolò Barella,Central Midfield,"Feb 7, 1997",26,Italy,€75.00m
Henrikh Mkhitaryan,Central Midfield,"Jan 21, 1989",34,Armenia,€6.00m
Roberto Gagliardini,Central Midfield,"Apr 7, 1994",29,Italy,€4.00m
Ebenezer Akinsanmiro,Central Midfield,"Nov 25, 2004",18,Nigeria,€800k
Denzel Dumfries,Right Midfield,"Apr 18, 1996",27,Netherlands,€28.00m
Raoul Bellanova,Right Midfield,"May 17, 2000",23,Italy,€5.00m
Robin Gosens,Left Midfield,"Jul 5, 1994",28,Germany,€15.00m
Valentín Carboni,Attacking Midfield,"Mar 5, 2005",18,Argentina,€5.00m
Issiaka Kamate,Right Winger,"Aug 2, 2004",18,France,€200k
Joaquín Correa,Second Striker,"Aug 13, 1994",28,Argentina,€12.00m
Lautaro Martínez,Centre-Forward,"Aug 22, 1997",25,Argentina,€85.00m
Romelu Lukaku,Centre-Forward,"May 13, 1993",30,Belgium,€40.00m
Edin Dzeko,Centre-Forward,"Mar 17, 1986",37,Bosnia-Herzegovina,€4.00m
Eddie Salcedo,Centre-Forward,"Oct 1, 2001",21,Italy,€2.50m
Dennis Curatolo,Centre-Forward,"Apr 3, 2004",19,Italy,€150k
