Name,Position,Date of Birth,Age,Nationality,Market Value
Wojciech Szczęsny,Goalkeeper,"Apr 18, 1990",33,Poland,€10.00m
Mattia Perin,Goalkeeper,"Nov 10, 1992",30,Italy,€4.00m
Gian Marco Crespi,Goalkeeper,"Jun 28, 2001",22,Italy,€200k
Giovanni Garofani,Goalkeeper,"Oct 20, 2002",20,Italy,€200k
Carlo Pinsoglio,Goalkeeper,"Mar 16, 1990",33,Italy,€200k
Simone Scaglia,Goalkeeper,"Jul 12, 2004",18,Italy,€25k
Bremer,Centre-Back,"Mar 18, 1997",26,Brazil,€40.00m
Danilo,Centre-Back,"Jul 15, 1991",31,Brazil,€15.00m
Federico Gatti,Centre-Back,"Jun 24, 1998",25,Italy,€12.00m
Daniele Rugani,Centre-Back,"Jul 29, 1994",28,Italy,€2.00m
Leonardo Bonucci,Centre-Back,"May 1, 1987",36,Italy,€1.50m
Alessandro Pio Riccio,Centre-Back,"Feb 6, 2002",21,Italy,€700k
Alex Sandro,Left-Back,"Jan 26, 1991",32,Brazil,€3.00m
Mattia De Sciglio,Right-Back,"Oct 20, 1992",30,Italy,€3.00m
Tommaso Barbieri,Right-Back,"Aug 26, 2002",20,Italy,€1.20m
Manuel Locatelli,Defensive Midfield,"Jan 8, 1998",25,Italy,€30.00m
Denis Zakaria,Defensive Midfield,"Nov 20, 1996",26,Switzerland,€18.00m
Nicolò Rovella,Defensive Midfield,"Dec 4, 2001",21,Italy,€18.00m
Leandro Paredes,Defensive Midfield,"Jun 29, 1994",29,Argentina,€12.00m
Enzo Barrenechea,Defensive Midfield,"May 22, 2001",22,Argentina,€900k
Adrien Rabiot,Central Midfield,"Apr 3, 1995",28,France,€40.00m
Nicolò Fagioli,Central Midfield,"Feb 12, 2001",22,Italy,€35.00m
Weston McKennie,Central Midfield,"Aug 28, 1998",24,United States,€18.00m
Paul Pogba,Central Midfield,"Mar 15, 1993",30,France,€15.00m
Fabio Miretti,Central Midfield,"Aug 3, 2003",19,Italy,€15.00m
Alessandro Sersanti,Central Midfield,"Feb 16, 2002",21,Italy,€400k
Juan Cuadrado,Right Midfield,"May 26, 1988",35,Colombia,€4.00m
Filip Kostić,Left Midfield,"Nov 1, 1992",30,Serbia,€22.00m
Mohamed Ihattaren,Attacking Midfield,"Feb 12, 2002",21,Netherlands,-
Federico Chiesa,Left Winger,"Oct 25, 1997",25,Italy,€40.00m
Samuel Iling-Junior,Left Winger,"Oct 4, 2003",19,England,€9.00m
Ángel Di María,Right Winger,"Feb 14, 1988",35,Argentina,€8.00m
Matías Soulé,Right Winger,"Apr 15, 2003",20,Argentina,€4.00m
Nikola Sekulov,Right Winger,"Feb 18, 2002",21,Italy,€600k
Mattia Compagnon,Right Winger,"Nov 6, 2001",21,Italy,€400k
Dušan Vlahović,Centre-Forward,"Jan 28, 2000",23,Serbia,€70.00m
Moise Kean,Centre-Forward,"Feb 28, 2000",23,Italy,€18.00m
Arkadiusz Milik,Centre-Forward,"Feb 28, 1994",29,Poland,€8.00m
Kaio Jorge,Centre-Forward,"Jan 24, 2002",21,Brazil,€3.00m
Cosimo da Graça,Centre-Forward,"May 1, 2002",21,Italy,€800k
