Name,Position,Date of Birth,Age,Nationality,Market Value
Wladimiro Falcone,Goalkeeper,"Apr 12, 1995",28,Italy,€5.00m
Federico Brancolini,Goalkeeper,"Jul 14, 2001",21,Italy,€200k
Marco Bleve,Goalkeeper,"Oct 18, 1995",27,Italy,€150k
Jasper Samooja,Goalkeeper,"Jul 21, 2003",19,Finland,€75k
Federico Baschirotto,Centre-Back,"Sep 20, 1996",26,Italy,€8.00m
Marin Pongracic,Centre-Back,"Sep 11, 1997",25,Croatia,€4.00m
Samuel Umtiti,Centre-Back,"Nov 14, 1993",29,France,€4.00m
Pietro Ceccaroni,Centre-Back,"Dec 21, 1995",27,Italy,€1.60m
Mert Çetin,Centre-Back,"Jan 1, 1997",26,Türkiye,€1.20m
Simone Romagnoli,Centre-Back,"Feb 9, 1990",33,Italy,€750k
Kastriot Dermaku,Centre-Back,"Jan 15, 1992",31,Albania,€400k
Alessandro Tuia,Centre-Back,"Jun 8, 1990",33,Italy,€400k
Mattia Ciucci,Centre-Back,"Nov 11, 2002",20,Italy,€25k
Antonino Gallo,Left-Back,"Jan 5, 2000",23,Italy,€2.50m
Giuseppe Pezzella,Left-Back,"Nov 29, 1997",25,Italy,€2.50m
Gianluca Frabotta,Left-Back,"Jun 24, 1999",24,Italy,€1.40m
Valentin Gendrey,Right-Back,"Jun 21, 2000",23,France,€4.00m
Arturo Calabresi,Right-Back,"Mar 17, 1996",27,Italy,€1.10m
Tommaso Cassandro,Right-Back,"Jan 9, 2000",23,Italy,€900k
Mats Lemmens,Right-Back,"Mar 10, 2002",21,Belgium,€100k
Morten Hjulmand,Defensive Midfield,"Jun 25, 1999",24,Denmark,€15.00m
Alexis Blin,Defensive Midfield,"Sep 16, 1996",26,France,€2.50m
Joan González,Central Midfield,"Feb 1, 2002",21,Spain,€6.00m
Youssef Maleh,Central Midfield,"Aug 22, 1998",24,Morocco,€4.50m
Kristijan Bistrovic,Central Midfield,"Apr 9, 1998",25,Croatia,€2.50m
Kristoffer Askildsen,Central Midfield,"Jan 9, 2001",22,Norway,€2.00m
Daniel Samek,Central Midfield,"Feb 19, 2004",19,Czech Republic,€1.50m
Thórir Jóhann Helgason,Central Midfield,"Sep 28, 2000",22,Iceland,€800k
Medon Berisha,Central Midfield,"Oct 21, 2003",19,Albania,€500k
Rémi Oudin,Attacking Midfield,"Nov 18, 1996",26,France,€4.00m
Lameck Banda,Left Winger,"Jan 29, 2001",22,Zambia,€4.00m
Federico Di Francesco,Left Winger,"Jun 14, 1994",29,Italy,€1.80m
Francesco Di Mariano,Left Winger,"Apr 20, 1996",27,Italy,€1.40m
Marcin Listkowski,Left Winger,"Feb 10, 1998",25,Poland,€300k
Gabriel Strefezza,Right Winger,"Apr 18, 1997",26,Brazil,€10.00m
Pablo Rodríguez,Second Striker,"Aug 4, 2001",21,Spain,€2.00m
Lorenzo Colombo,Centre-Forward,"Mar 8, 2002",21,Italy,€5.00m
Assan Ceesay,Centre-Forward,"Mar 17, 1994",29,The Gambia,€2.50m
Joel Voelkerling Persson,Centre-Forward,"Jan 15, 2003",20,Sweden,€600k
