Name,Position,Date of Birth,Age,Nationality,Market Value
Lorenzo Montipò,Goalkeeper,"Feb 20, 1996",27,Italy,€4.00m
Simone Perilli,Goalkeeper,"Jan 7, 1995",28,Italy,€200k
Mattia Chiesa,Goalkeeper,"Jul 16, 2000",22,Italy,€100k
Alessandro Berardi,Goalkeeper,"Jan 16, 1991",32,Italy,€50k
Giacomo Toniolo,Goalkeeper,"Apr 1, 2004",19,Italy,€10k
Manuel Ravasio,Goalkeeper,"Jul 7, 2005",17,Italy,-
Isak Hien,Centre-Back,"Jan 13, 1999",24,Sweden,€6.00m
Diego Coppola,Centre-Back,"Dec 28, 2003",19,Italy,€4.00m
Koray Günter,Centre-Back,"Aug 16, 1994",28,Germany,€3.50m
Giangiacomo Magnani,Centre-Back,"Oct 4, 1995",27,Italy,€3.00m
Paweł Dawidowicz,Centre-Back,"May 20, 1995",28,Poland,€3.00m
Bruno Amione,Centre-Back,"Jan 3, 2002",21,Argentina,€2.70m
Panagiotis Retsos,Centre-Back,"Aug 9, 1998",24,Greece,€2.00m
Federico Ceccherini,Centre-Back,"May 11, 1992",31,Italy,€1.50m
Josh Doig,Left-Back,"May 18, 2002",21,Scotland,€8.00m
Juan Cabal,Left-Back,"Jan 8, 2001",22,Colombia,€2.50m
Davide Faraoni,Right-Back,"Oct 25, 1991",31,Italy,€3.00m
Fabio Depaoli,Right-Back,"Apr 24, 1997",26,Italy,€3.00m
Filippo Terracciano,Right-Back,"Feb 8, 2003",20,Italy,€1.50m
Deyovaisio Zeefuik,Right-Back,"Mar 11, 1998",25,Netherlands,€1.20m
Adrien Tamèze,Defensive Midfield,"Feb 4, 1994",29,Cameroon,€6.00m
Oliver Abildgaard,Defensive Midfield,"Jun 10, 1996",27,Denmark,€4.50m
Martin Hongla,Defensive Midfield,"Mar 16, 1998",25,Cameroon,€3.00m
Ibrahim Sulemana,Defensive Midfield,"May 22, 2003",20,Ghana,€1.50m
Miguel Veloso,Defensive Midfield,"May 11, 1986",37,Portugal,€500k
Joselito,Defensive Midfield,"Feb 9, 2004",19,Spain,€75k
Ivan Ilić,Central Midfield,"Mar 17, 2001",22,Serbia,€19.00m
Ondrej Duda,Central Midfield,"Dec 5, 1994",28,Slovakia,€3.40m
Darko Lazović,Left Midfield,"Sep 15, 1990",32,Serbia,€2.50m
Antonín Barák,Attacking Midfield,"Dec 3, 1994",28,Czech Republic,€10.00m
Simone Verdi,Attacking Midfield,"Jul 12, 1992",30,Italy,€4.00m
Ajdin Hrustić,Attacking Midfield,"Jul 5, 1996",26,Australia,€1.50m
Mateusz Praszelik,Attacking Midfield,"Sep 26, 2000",22,Poland,€900k
Alessandro Cortinovis,Attacking Midfield,"Jan 25, 2001",22,Italy,€700k
Alphadjo Cissè,Attacking Midfield,"Oct 22, 2006",16,Italy,-
Jayden Braaf,Left Winger,"Aug 31, 2002",20,Netherlands,€1.00m
Cyril Ngonge,Right Winger,"May 26, 2000",23,Belgium,€2.00m
Yayah Kallon,Right Winger,"Jun 30, 2001",22,Sierra Leone,€1.50m
Davide Bragantini,Right Winger,"Aug 17, 2003",19,Italy,€150k
Denis Cazzadori,Second Striker,"Mar 16, 2004",19,Italy,€150k
Thomas Henry,Centre-Forward,"Sep 20, 1994",28,France,€4.00m
Roberto Piccoli,Centre-Forward,"Jan 27, 2001",22,Italy,€3.50m
Kevin Lasagna,Centre-Forward,"Aug 10, 1992",30,Italy,€1.80m
Adolfo Gaich,Centre-Forward,"Feb 26, 1999",24,Argentina,€1.80m
Milan Djuric,Centre-Forward,"May 22, 1990",33,Bosnia-Herzegovina,€1.00m
Federico Caia,Centre-Forward,"Apr 21, 2003",20,Italy,€150k
