,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
5,Dominik Szoboszlai,7614,RB Leipzig,22,AM,31,2453,8,2.3,45.2,83.0,1.5,2.5,0.3,7.32,6,3,2,1.9,0.2,4,1.7,1.3,0.1,1.1,1.8,1.5,0.5,0.8,0.0,0.7,0.8,0.1,0
6,Randal Kolo Muani,45,Eintracht Frankfurt,24,AM,32,2648,11,1.3,19.3,67.0,0.1,0.4,0.1,7.29,15,4,1,2.4,1.9,10,2.2,2.2,0.7,2.0,3.4,0.4,0.1,1.6,0.0,0.4,0.3,0.1,0
9,Vincenzo Grifo,50,Freiburg,30,AM,33,2427,5,1.7,35.7,78.8,1.0,2.3,0.2,7.26,15,2,0,2.0,0.5,5,1.3,0.9,0.2,0.8,1.3,0.9,0.6,0.2,0.0,0.4,0.5,0.0,0
12,Donyell Malen,44,Borussia Dortmund,24,AM,26,1724,5,1.1,21.0,80.4,0.7,0.5,0.0,7.2,9,0,0,2.5,0.2,3,2.0,1.5,0.1,1.5,1.5,0.5,0.2,0.5,0.0,0.3,0.3,0.0,0
20,Michael Gregoritsch,50,Freiburg,29,AM,30,2173,4,0.8,17.3,56.6,0.0,0.2,0.0,7.11,10,6,0,2.2,4.7,5,0.4,1.4,0.4,0.7,1.7,0.6,0.2,0.8,0.0,0.3,0.6,0.1,0
21,Serge Gnabry,37,Bayern Munich,27,AM,34,1943,5,1.1,23.9,82.3,0.3,0.6,0.0,7.1,14,0,0,2.4,0.3,4,0.8,0.3,0.3,0.8,1.5,1.0,0.3,1.0,0.0,0.1,0.8,0.0,0
22,Marcus Thuram,134,Borussia M.Gladbach,25,AM,30,2519,6,1.0,18.3,75.2,0.1,0.1,0.0,7.09,13,3,0,3.1,1.4,4,1.4,1.5,0.6,1.7,3.7,0.5,0.2,1.1,0.0,0.7,0.2,0.1,0
25,Florian Kainz,282,FC Koln,30,AM,32,2372,10,2.2,28.7,72.6,2.3,1.7,0.2,7.06,6,4,1,1.7,0.3,3,1.0,1.3,0.0,1.1,1.2,0.7,1.0,0.9,0.0,0.7,0.6,0.2,0
35,Marvin Ducksch,42,Werder Bremen,29,AM,34,2867,6,1.5,22.9,69.2,1.2,1.1,0.1,7.0,12,4,0,2.8,0.7,2,0.4,0.5,0.4,0.5,1.9,0.2,0.3,0.1,0.0,1.1,0.4,0.1,0
36,Patrick Wimmer,33,Wolfsburg,22,AM,26,1665,8,1.4,17.6,65.5,0.7,0.4,0.1,6.99,4,7,0,1.2,0.8,0,1.0,1.2,0.3,1.2,1.9,1.5,0.6,1.6,0.0,0.4,1.0,0.1,0
45,Dani Olmo,7614,RB Leipzig,25,AM,23,1285,5,1.7,25.0,77.4,0.1,0.8,0.5,6.92,2,2,0,1.9,0.3,2,1.7,1.7,0.0,1.3,2.0,0.7,0.3,0.7,0.0,0.2,0.3,0.0,0
46,Christoph Baumgartner,1211,Hoffenheim,23,AM,33,2582,3,0.7,25.6,68.3,0.2,1.0,0.1,6.91,7,7,0,2.0,2.2,1,1.6,1.5,0.3,1.1,2.5,1.1,0.5,2.0,0.0,0.5,1.3,0.2,0
47,Sheraldo Becker,796,Union Berlin,28,AM,34,2582,7,1.3,14.7,68.9,1.0,0.6,0.0,6.91,11,4,0,2.0,0.5,3,0.8,0.8,0.7,1.0,1.8,0.4,0.1,0.9,0.0,0.2,0.3,0.0,0
49,Ritsu Doan,50,Freiburg,25,AM,33,2445,4,0.8,17.9,72.2,0.3,0.5,0.0,6.9,5,3,0,1.7,0.3,0,1.5,1.6,0.2,1.6,2.3,1.8,0.4,0.9,0.0,0.3,0.9,0.0,0
60,Karim Adeyemi,44,Borussia Dortmund,21,AM,24,1399,5,1.2,17.4,77.2,0.0,0.4,0.1,6.86,6,9,0,1.6,0.4,1,1.4,1.3,0.0,1.1,1.8,0.7,0.3,0.9,0.0,0.1,0.9,0.0,0
61,Sadio Mané,37,Bayern Munich,31,AM,25,1432,5,1.0,15.4,76.4,0.3,0.2,0.0,6.86,7,2,0,2.2,0.9,0,1.0,1.0,0.8,0.6,2.1,0.4,0.0,0.6,0.0,0.1,0.3,0.1,0
63,Dodi Lukébakio,47,Hertha Berlin,25,AM,32,2407,3,0.9,17.0,73.9,0.5,0.9,0.0,6.85,11,8,0,2.0,0.5,3,2.1,1.8,0.5,1.5,2.6,0.6,0.4,1.0,0.0,0.5,0.7,0.2,0
64,Lucas Höler,50,Freiburg,28,AM,26,1508,2,0.5,18.0,66.3,0.0,0.3,0.0,6.84,5,1,0,1.2,2.7,2,0.4,1.4,0.3,0.5,1.1,0.7,0.4,0.8,0.0,0.7,0.6,0.2,0
68,Karim Onisiwo,219,Mainz 05,31,AM,31,2549,2,1.1,17.5,60.1,0.4,0.2,0.1,6.82,10,4,0,2.2,1.8,2,1.2,1.1,0.7,1.6,3.6,0.6,0.1,1.6,0.0,0.2,0.5,0.0,0
69,Timo Werner,7614,RB Leipzig,27,AM,27,1948,3,0.7,23.4,76.6,0.1,0.6,0.1,6.82,9,2,0,2.3,0.2,4,1.0,0.5,0.9,0.8,2.0,0.4,0.3,0.3,0.0,0.1,0.3,0.0,0
77,Daichi Kamada,45,Eintracht Frankfurt,26,AM,32,2271,6,1.1,37.2,83.3,0.4,1.5,0.1,6.8,9,3,0,1.4,0.6,2,0.5,0.8,0.2,0.8,1.0,1.6,0.5,1.3,0.0,0.5,0.8,0.1,0
83,Lee Jae-Sung,219,Mainz 05,30,AM,34,1904,4,0.8,21.8,74.4,0.2,0.6,0.0,6.78,7,2,0,1.0,1.1,3,0.7,0.7,0.2,0.7,1.3,1.1,0.5,0.5,0.0,0.4,0.6,0.1,0
