,player_name,team_number,Team,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
28,Ellyes Skhiri,282,FC Koln,28,DM,32,2857,1,0.8,52.7,88.4,0.1,2.1,0.0,7.04,7,5,0,1.0,1.3,2,0.8,0.3,0.1,0.6,0.8,2.5,1.8,1.1,0.0,1.3,1.3,0.4,0
40,Wataru Endo,41,VfB Stuttgart,30,DM,33,2925,4,1.4,44.3,79.7,0.1,2.5,0.2,6.97,5,3,0,1.4,2.3,1,0.8,1.7,0.1,1.6,1.7,2.1,0.8,1.2,0.0,1.8,1.4,0.2,0
53,Lucas Tousart,47,Hertha Berlin,26,DM,33,2948,2,0.5,25.8,61.7,0.1,0.8,0.0,6.87,5,1,0,1.3,2.8,3,0.7,1.3,0.0,0.8,1.5,2.2,1.5,1.1,0.1,2.0,1.0,0.2,0
73,Manu Koné,134,Borussia M.Gladbach,22,DM,30,2620,1,0.7,45.3,87.3,0.0,0.9,0.0,6.81,1,12,0,0.9,0.5,0,1.9,2.5,0.0,1.7,2.7,2.5,1.1,1.7,0.1,0.7,0.8,0.4,0
91,Leandro Barreiro,219,Mainz 05,23,DM,31,2144,3,0.5,17.7,69.0,0.0,0.4,0.0,6.75,4,5,0,1.0,1.3,2,0.2,1.1,0.1,0.4,1.3,1.9,1.3,1.5,0.0,1.1,0.9,0.4,0
112,Eric Martel,282,FC Koln,21,DM,29,2024,1,0.2,29.8,79.7,0.2,0.8,0.0,6.68,1,6,0,1.0,2.0,0,0.2,0.9,0.0,0.9,1.2,2.3,1.1,1.4,0.0,1.5,1.0,0.3,0
122,Tom Krauß,39,Schalke 04,22,DM,32,2531,0,0.3,24.5,73.3,0.1,0.8,0.0,6.66,2,8,0,0.8,0.8,0,0.6,1.0,0.0,1.0,0.8,3.5,1.1,1.4,0.1,1.1,1.5,0.2,0
145,Dominik Kohr,219,Mainz 05,29,DM,30,2296,0,0.5,38.9,73.6,0.0,2.0,0.1,6.62,3,11,0,1.3,1.2,0,0.3,1.2,0.0,0.3,0.6,2.0,1.1,1.5,0.0,0.8,1.1,0.3,0
240,Alex Král,39,Schalke 04,25,DM,29,2357,0,0.4,28.0,71.2,0.2,1.3,0.0,6.38,0,3,0,1.1,1.7,0,0.8,0.6,0.1,0.7,1.0,1.2,0.6,0.7,0.0,1.8,0.7,0.2,1
241,Angelo Stiller,1211,Hoffenheim,22,DM,21,700,1,0.1,16.8,78.1,0.0,0.8,0.0,6.37,1,1,0,0.3,0.8,0,0.1,0.1,0.0,0.5,0.7,1.2,0.5,0.5,0.0,0.6,0.2,0.1,0
258,Ivan Sunjic,47,Hertha Berlin,26,DM,18,993,0,0.2,20.0,75.0,0.0,1.0,0.1,6.32,0,4,0,0.3,0.4,1,0.0,0.5,0.1,0.3,0.4,2.1,0.7,0.9,0.0,1.0,0.4,0.3,0
260,Ilia Gruev,42,Werder Bremen,23,DM,31,1588,0,0.3,24.7,86.9,0.2,0.8,0.0,6.31,0,2,0,0.2,0.5,0,0.2,0.4,0.0,0.4,0.6,1.4,0.7,0.9,0.2,0.7,0.4,0.2,0
263,Ryan Gravenberch,37,Bayern Munich,21,DM,24,561,0,0.3,15.1,89.3,0.0,0.4,0.0,6.29,0,1,0,0.5,0.2,0,0.5,0.3,0.0,0.5,0.9,0.7,0.4,0.4,0.0,0.4,0.3,0.0,0
266,Yannik Keitel,50,Freiburg,23,DM,22,678,2,0.2,11.0,78.4,0.0,0.6,0.0,6.28,0,4,0,0.2,0.6,0,0.2,0.1,0.0,0.2,0.3,0.5,0.6,1.0,0.0,0.4,0.1,0.1,0
274,Patrick Osterhage,109,Bochum,23,DM,23,1024,0,0.2,13.9,71.5,0.2,0.2,0.0,6.23,0,3,0,0.3,0.5,0,0.2,0.4,0.0,0.5,0.7,0.9,0.5,0.8,0.0,1.0,0.2,0.3,0
