Name,Position,Date of Birth,Age,Nationality,Market Value
Lukas Hradecky,Goalkeeper,"Nov 24, 1989",33,Finland,€2.50m
Patrick Pentz,Goalkeeper,"Jan 2, 1997",26,Austria,€1.50m
Andrey Lunev,Goalkeeper,"Nov 13, 1991",31,Russia,€1.20m
Niklas Lomb,Goalkeeper,"Jul 28, 1993",29,Germany,€250k
Maximilian Neutgens,Goalkeeper,"Mar 3, 2004",19,Germany,-
Piero Hincapié,Centre-Back,"Jan 9, 2002",21,Ecuador,€35.00m
Edmond Tapsoba,Centre-Back,"Feb 2, 1999",24,Burkina Faso,€30.00m
Jonathan Tah,Centre-Back,"Feb 11, 1996",27,Germany,€20.00m
Odilon Kossounou,Centre-Back,"Jan 4, 2001",22,Cote d'Ivoire,€18.00m
Madi Monamay,Centre-Back,"Apr 6, 2006",17,Belgium,-
Daley Sinkgraven,Left-Back,"Jul 4, 1995",27,Netherlands,€2.50m
Timothy Fosu-Mensah,Right-Back,"Jan 2, 1998",25,Netherlands,€2.00m
Robert Andrich,Defensive Midfield,"Sep 22, 1994",28,Germany,€11.00m
Noah Mbamba,Defensive Midfield,"Jan 5, 2005",18,Belgium,€3.00m
Ayman Azhil,Defensive Midfield,"Apr 10, 2001",22,Morocco,€400k
Joshua Eze,Defensive Midfield,"Mar 20, 2003",20,Germany,€150k
Leon Köhl,Defensive Midfield,"Feb 17, 2004",19,Germany,-
Exequiel Palacios,Central Midfield,"Oct 5, 1998",24,Argentina,€22.00m
Kerem Demirbay,Central Midfield,"Jul 3, 1993",29,Germany,€6.00m
Nadiem Amiri,Central Midfield,"Oct 27, 1996",26,Germany,€6.00m
Charles Aránguiz,Central Midfield,"Apr 17, 1989",34,Chile,€3.50m
Zidan Sertdemir,Central Midfield,"Feb 4, 2005",18,Denmark,€1.00m
Jeremie Frimpong,Right Midfield,"Dec 10, 2000",22,Netherlands,€40.00m
Mitchel Bakker,Left Midfield,"Jun 20, 2000",23,Netherlands,€9.00m
Florian Wirtz,Attacking Midfield,"May 3, 2003",20,Germany,€85.00m
Ayman Aourir,Attacking Midfield,"Oct 6, 2004",18,Morocco,-
Amine Adli,Left Winger,"May 10, 2000",23,Morocco,€20.00m
Callum Hudson-Odoi,Left Winger,"Nov 7, 2000",22,England,€15.00m
Paulinho,Left Winger,"Jul 15, 2000",22,Brazil,€7.50m
Moussa Diaby,Right Winger,"Jul 7, 1999",23,France,€50.00m
Karim Bellarabi,Right Winger,"Apr 8, 1990",33,Germany,€1.50m
Patrik Schick,Centre-Forward,"Jan 24, 1996",27,Czech Republic,€25.00m
Adam Hlozek,Centre-Forward,"Jul 25, 2002",20,Czech Republic,€18.00m
Sardar Azmoun,Centre-Forward,"Jan 1, 1995",28,Iran,€12.00m
Joel Pohjanpalo,Centre-Forward,"Sep 13, 1994",28,Finland,€3.50m
